Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,58.9,59.3,57.3,59.2,569479,ARS
2021-07-05,58.8,60.4,58.0,60.0,466421,ARS
2021-07-06,60.2,60.3,57.9,58.9,409878,ARS
2021-07-07,59.2,59.9,57.2,58.7,839301,ARS
2021-07-08,58.5,58.5,57.2,57.8,263019,ARS
2021-07-12,57.8,59.5,57.0,58.2,600143,ARS
2021-07-13,58.6,59.2,57.7,58.4,298819,ARS
2021-07-14,59.4,59.4,57.5,57.6,567663,ARS
2021-07-15,57.6,58.3,56.6,57.2,417026,ARS
2021-07-16,57.5,58.2,56.4,57.2,256517,ARS
2021-07-19,56.6,56.9,55.0,55.5,613266,ARS
2021-07-20,56.9,57.2,55.3,57.1,613521,ARS
2021-07-21,56.9,59.3,56.8,59.2,698438,ARS
2021-07-22,59.2,60.1,58.7,60.0,497867,ARS
2021-07-23,60.0,60.5,59.0,60.0,276095,ARS
2021-07-26,60.5,60.5,59.0,59.4,175761,ARS
2021-07-27,59.0,59.5,58.0,59.2,294630,ARS
2021-07-28,59.0,59.9,58.2,59.2,285079,ARS
2021-07-29,59.4,60.7,59.4,60.4,479921,ARS
2021-07-30,60.4,61.0,59.5,60.4,488605,ARS
2021-08-02,60.4,61.7,60.0,61.5,733687,ARS
2021-08-03,61.6,61.7,60.0,61.2,451617,ARS
2021-08-04,61.5,61.7,59.2,59.8,324256,ARS
2021-08-05,60.1,61.1,59.0,61.0,560792,ARS
2021-08-06,61.0,61.5,60.0,61.0,774221,ARS
2021-08-09,61.2,62.2,61.0,61.4,659382,ARS
2021-08-10,62.0,62.7,61.0,62.7,1000802,ARS
2021-08-11,62.4,64.4,61.5,64.2,1306030,ARS
2021-08-12,62.5,64.5,62.5,64.0,1078560,ARS
2021-08-13,64.3,64.3,62.2,63.3,788216,ARS
2021-08-17,64.0,64.0,61.2,61.4,461570,ARS
2021-08-18,61.1,61.9,60.7,61.2,503884,ARS
2021-08-19,61.2,61.4,60.0,61.4,304183,ARS
2021-08-20,62.0,62.0,60.5,61.3,517176,ARS
