Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,94.9,96.0,93.1,95.5,3834,ARS
2021-07-05,95.5,98.5,94.7,98.3,24405,ARS
2021-07-06,98.5,98.5,96.5,97.7,3830,ARS
2021-07-07,96.8,100.0,95.8,98.6,1894,ARS
2021-07-08,98.0,100.5,95.6,98.8,820,ARS
2021-07-12,100.5,100.5,95.1,97.8,6539,ARS
2021-07-13,97.3,99.0,96.9,99.0,10024,ARS
2021-07-14,98.1,99.1,96.7,98.0,7081,ARS
2021-07-15,98.6,99.9,95.4,97.6,10572,ARS
2021-07-16,100.0,100.0,96.7,97.8,8318,ARS
2021-07-19,98.0,99.0,94.0,95.9,4815,ARS
2021-07-20,95.0,96.0,94.5,96.0,14700,ARS
2021-07-21,95.1,99.5,95.1,98.0,1262,ARS
2021-07-22,99.5,99.5,96.0,97.6,5127,ARS
2021-07-23,100.0,100.0,95.7,96.5,2067,ARS
2021-07-26,100.0,100.0,95.7,95.7,3461,ARS
2021-07-27,95.0,95.0,93.8,94.0,27617,ARS
2021-07-28,93.9,93.9,88.0,89.6,52349,ARS
2021-07-29,90.0,92.5,90.0,92.4,21510,ARS
2021-07-30,91.7,93.5,89.6,91.3,25149,ARS
2021-08-02,90.4,91.0,88.3,91.0,17192,ARS
2021-08-03,89.1,91.0,88.0,89.8,8804,ARS
2021-08-04,89.0,89.9,83.4,84.9,67594,ARS
2021-08-05,84.5,86.5,84.0,86.0,42443,ARS
2021-08-06,85.2,85.5,82.5,83.6,7368,ARS
2021-08-09,85.0,85.0,80.0,82.9,5190,ARS
2021-08-10,82.9,85.8,82.9,84.3,7235,ARS
2021-08-11,84.4,84.4,82.0,83.0,9828,ARS
2021-08-12,82.2,83.0,79.0,79.5,35630,ARS
2021-08-13,79.5,81.0,78.8,80.9,9037,ARS
2021-08-17,80.1,80.9,79.0,79.8,12812,ARS
2021-08-18,79.7,82.5,79.7,82.2,11490,ARS
2021-08-19,83.5,83.5,75.0,80.5,15048,ARS
2021-08-20,83.0,83.0,79.1,82.0,9367,ARS
