Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,183.4,190.0,181.1,189.2,82110,ARS
2021-07-05,189.0,194.0,188.0,192.2,44630,ARS
2021-07-06,194.0,194.0,185.0,187.0,84705,ARS
2021-07-07,184.5,187.0,180.8,186.0,164917,ARS
2021-07-08,182.15,183.05,180.0,182.6,171303,ARS
2021-07-12,182.0,192.0,181.55,192.0,235112,ARS
2021-07-13,189.85,194.0,188.0,193.0,223976,ARS
2021-07-14,195.0,199.9,191.2,194.0,116896,ARS
2021-07-15,193.3,193.3,186.6,187.2,76912,ARS
2021-07-16,187.2,189.8,186.1,188.5,73205,ARS
2021-07-19,183.05,185.2,175.05,183.15,230136,ARS
2021-07-20,181.95,185.7,180.05,185.5,115963,ARS
2021-07-21,188.05,191.5,186.0,191.4,144889,ARS
2021-07-22,189.8,189.8,185.65,186.9,79690,ARS
2021-07-23,185.0,187.1,182.0,185.0,125205,ARS
2021-07-26,185.05,190.0,185.05,189.4,84196,ARS
2021-07-27,185.25,192.0,182.5,192.0,31051,ARS
2021-07-28,193.5,193.5,188.05,192.0,70128,ARS
2021-07-29,192.0,196.0,185.15,194.2,210080,ARS
2021-07-30,193.1,193.6,186.0,189.95,81219,ARS
2021-08-02,191.5,191.5,185.2,185.4,20609,ARS
2021-08-03,185.0,188.0,182.1,185.0,74061,ARS
2021-08-04,185.15,186.5,181.1,183.95,40709,ARS
2021-08-05,186.0,187.15,185.15,187.0,43770,ARS
2021-08-06,188.4,189.65,183.05,188.0,83164,ARS
2021-08-09,186.55,188.75,181.6,187.75,82844,ARS
2021-08-10,187.5,196.0,185.05,195.0,198375,ARS
2021-08-11,195.95,200.0,190.25,198.5,138891,ARS
2021-08-12,196.4,198.0,193.0,198.0,99637,ARS
2021-08-13,195.2,195.2,192.0,195.15,16221,ARS
2021-08-17,195.2,198.0,190.2,192.3,30931,ARS
2021-08-18,193.1,197.25,188.2,193.5,52218,ARS
2021-08-19,190.6,192.9,188.2,192.8,83995,ARS
2021-08-20,193.0,199.9,192.0,199.9,104249,ARS
