Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,7.9,7.9,7.66,7.83,152777,ARS
2021-05-14,7.86,8.12,7.86,8.03,487919,ARS
2021-05-17,8.1,8.1,7.91,8.02,179925,ARS
2021-05-18,7.9,8.05,7.88,7.88,294659,ARS
2021-05-19,7.9,8.02,7.85,7.89,182509,ARS
2021-05-20,7.85,8.1,7.85,7.95,108595,ARS
2021-05-21,7.9,8.07,7.9,7.95,87578,ARS
2021-05-26,8.0,8.0,7.83,7.94,804467,ARS
2021-05-27,8.0,8.26,8.0,8.26,241090,ARS
2021-05-28,8.3,8.49,8.23,8.43,700342,ARS
2021-05-31,8.44,8.5,8.33,8.39,231146,ARS
2021-06-01,8.5,8.67,8.5,8.67,437721,ARS
2021-06-02,8.69,9.0,8.65,8.93,511851,ARS
2021-06-03,8.97,9.27,8.79,9.23,557824,ARS
2021-06-04,9.48,9.81,8.95,9.81,848434,ARS
2021-06-07,9.9,10.7,9.9,10.0,1378093,ARS
2021-06-08,10.0,10.15,9.76,9.9,550588,ARS
2021-06-09,9.94,10.4,9.9,10.35,448892,ARS
2021-06-10,10.35,10.9,10.0,10.15,677757,ARS
2021-06-11,10.25,10.25,9.85,10.15,400329,ARS
2021-06-14,10.45,10.45,10.0,10.15,307179,ARS
2021-06-15,10.15,10.3,10.0,10.3,134732,ARS
2021-06-16,10.5,10.6,10.2,10.55,352649,ARS
2021-06-17,10.5,10.7,9.9,10.5,331226,ARS
2021-06-18,10.5,10.5,10.0,10.35,220914,ARS
2021-06-22,10.35,10.4,10.0,10.3,111211,ARS
2021-06-23,10.5,10.5,10.15,10.25,87186,ARS
2021-06-24,10.15,10.2,9.96,10.1,142538,ARS
2021-06-25,9.85,9.91,9.35,9.75,254469,ARS
2021-06-28,9.7,9.75,9.25,9.56,94436,ARS
2021-06-29,9.73,9.73,9.25,9.33,309192,ARS
2021-06-30,9.4,9.6,9.32,9.47,74310,ARS
2021-07-01,9.6,9.6,9.35,9.46,86043,ARS
2021-07-02,9.46,9.55,9.35,9.55,183790,ARS
2021-07-05,9.6,9.85,9.6,9.83,150713,ARS
2021-07-06,9.87,9.9,9.52,9.65,65192,ARS
2021-07-07,9.85,9.85,9.58,9.7,46260,ARS
2021-07-08,9.82,9.82,9.54,9.65,47501,ARS
2021-07-12,9.6,9.74,9.5,9.56,124312,ARS
2021-07-13,9.4,9.57,9.4,9.49,77907,ARS
2021-07-14,9.55,9.84,9.5,9.57,36053,ARS
2021-07-15,9.71,9.71,9.4,9.54,105232,ARS
2021-07-16,9.64,9.7,9.38,9.49,73838,ARS
2021-07-19,9.35,9.62,9.2,9.25,34399,ARS
2021-07-20,9.25,9.44,9.2,9.29,56485,ARS
2021-07-21,9.44,9.54,9.22,9.34,77854,ARS
2021-07-22,9.44,9.44,9.11,9.21,109347,ARS
2021-07-23,9.22,9.38,9.01,9.09,121163,ARS
2021-07-26,9.09,9.25,9.09,9.15,72708,ARS
2021-07-27,9.13,9.22,9.0,9.05,104979,ARS
2021-07-28,9.1,9.18,9.0,9.05,19041,ARS
2021-07-29,9.18,9.18,8.88,9.05,77339,ARS
2021-07-30,9.05,9.17,8.84,8.9,162914,ARS
2021-08-02,9.1,9.35,8.86,9.05,107796,ARS
2021-08-03,8.81,9.04,8.8,8.98,49539,ARS
2021-08-04,8.9,9.0,8.8,8.8,115820,ARS
2021-08-05,8.77,9.03,8.77,8.97,30328,ARS
2021-08-06,8.78,9.04,8.78,8.85,73560,ARS
2021-08-09,8.83,8.99,8.83,8.85,23550,ARS
2021-08-10,8.8,9.0,8.8,8.98,56810,ARS
2021-08-11,9.0,9.4,8.87,9.12,133554,ARS
2021-08-12,9.3,9.44,9.1,9.2,24592,ARS
2021-08-13,9.2,9.28,9.02,9.15,43802,ARS
2021-08-17,9.15,9.15,8.87,8.96,78564,ARS
2021-08-18,9.06,9.06,8.8,9.03,60931,ARS
2021-08-19,9.03,9.03,8.7,8.81,91649,ARS
2021-08-20,8.71,9.08,8.71,9.01,87906,ARS
