Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,255.95,263.5,252.05,260.3,214674,ARS
2021-07-05,265.0,267.0,261.0,266.0,75098,ARS
2021-07-06,265.5,265.5,252.1,252.8,362507,ARS
2021-07-07,252.05,252.95,246.1,250.0,397289,ARS
2021-07-08,247.3,248.7,242.4,245.0,176971,ARS
2021-07-12,246.15,257.0,244.15,256.5,231171,ARS
2021-07-13,255.0,259.9,253.05,258.0,135742,ARS
2021-07-14,260.05,264.25,253.1,257.0,163223,ARS
2021-07-15,257.0,257.95,249.1,252.0,104472,ARS
2021-07-16,249.95,250.8,247.2,248.0,61598,ARS
2021-07-19,242.9,250.5,239.1,248.8,244382,ARS
2021-07-20,245.6,248.9,243.0,247.0,275595,ARS
2021-07-21,254.0,260.95,254.0,258.8,229390,ARS
2021-07-22,256.75,256.75,251.6,253.2,131778,ARS
2021-07-23,251.0,254.0,246.0,247.5,197444,ARS
2021-07-26,250.0,254.9,247.25,251.0,81312,ARS
2021-07-27,248.65,253.05,245.75,253.05,76363,ARS
2021-07-28,253.1,256.9,251.0,253.0,117411,ARS
2021-07-29,254.0,258.3,247.0,252.0,144012,ARS
2021-07-30,255.0,255.0,245.55,245.9,150799,ARS
2021-08-02,249.5,249.5,241.5,243.0,230807,ARS
2021-08-03,244.0,247.65,240.8,247.5,152407,ARS
2021-08-04,247.9,248.0,241.0,241.5,108768,ARS
2021-08-05,247.5,249.0,244.5,248.5,158492,ARS
2021-08-06,249.25,249.95,244.5,246.7,63159,ARS
2021-08-09,246.45,249.35,243.5,249.0,116558,ARS
2021-08-10,253.0,261.0,247.0,260.5,188193,ARS
2021-08-11,259.85,266.0,253.5,264.9,261770,ARS
2021-08-12,263.2,267.55,259.5,262.0,137461,ARS
2021-08-13,261.0,261.4,254.4,261.0,95501,ARS
2021-08-17,256.15,259.0,247.25,255.0,131792,ARS
2021-08-18,254.95,258.95,248.6,251.0,82712,ARS
2021-08-19,252.1,259.5,247.0,259.25,110621,ARS
2021-08-20,259.0,263.0,257.15,261.9,70912,ARS
