Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,3.78,3.8,3.71,3.77,666349,ARS
2021-07-05,3.78,3.95,3.7,3.89,1545723,ARS
2021-07-06,3.93,4.09,3.75,4.0,1801213,ARS
2021-07-07,4.0,4.23,4.0,4.2,2593589,ARS
2021-07-08,4.1,4.19,4.0,4.04,705031,ARS
2021-07-12,4.1,4.2,3.98,4.02,673089,ARS
2021-07-13,4.02,4.06,3.8,3.88,1296117,ARS
2021-07-14,3.88,3.92,3.77,3.83,519730,ARS
2021-07-15,3.83,3.84,3.69,3.84,1024810,ARS
2021-07-16,3.84,3.92,3.72,3.8,250090,ARS
2021-07-19,3.66,3.84,3.6,3.62,1085240,ARS
2021-07-20,3.65,3.76,3.52,3.76,674970,ARS
2021-07-21,3.83,3.95,3.77,3.86,836190,ARS
2021-07-22,3.92,3.92,3.78,3.8,221680,ARS
2021-07-23,3.84,3.87,3.78,3.8,301200,ARS
2021-07-26,3.85,3.94,3.8,3.9,150426,ARS
2021-07-27,3.9,3.91,3.82,3.88,157684,ARS
2021-07-28,3.85,3.86,3.61,3.85,86789,ARS
2021-07-29,3.84,3.89,3.78,3.81,84715,ARS
2021-07-30,3.85,3.85,3.73,3.75,164619,ARS
2021-08-02,3.72,3.8,3.65,3.69,241558,ARS
2021-08-03,3.72,3.74,3.67,3.74,197685,ARS
2021-08-04,3.69,3.83,3.67,3.76,319604,ARS
2021-08-05,3.8,3.8,3.69,3.75,121638,ARS
2021-08-06,3.77,3.85,3.7,3.82,410581,ARS
2021-08-09,3.87,3.88,3.73,3.79,414542,ARS
2021-08-10,3.93,3.99,3.86,3.99,1471943,ARS
2021-08-11,4.0,4.05,3.91,3.98,361383,ARS
2021-08-12,4.02,4.25,3.81,4.19,1737920,ARS
2021-08-13,4.16,4.16,4.02,4.06,472869,ARS
2021-08-17,4.1,4.1,3.88,3.94,648574,ARS
2021-08-18,3.98,3.98,3.82,3.86,331669,ARS
2021-08-19,3.9,3.9,3.75,3.83,239708,ARS
2021-08-20,3.88,3.9,3.76,3.86,359038,ARS
