Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,70.0,71.4,70.0,71.0,7755,ARS
2021-07-05,70.3,72.5,70.1,72.1,15521,ARS
2021-07-06,72.5,72.5,70.5,71.0,4699,ARS
2021-07-07,70.5,71.9,70.0,71.9,1289,ARS
2021-07-08,72.3,72.3,70.6,70.6,45,ARS
2021-07-12,71.0,73.0,70.0,72.0,5577,ARS
2021-07-13,72.8,74.8,70.1,72.0,764,ARS
2021-07-14,72.0,74.3,70.5,72.0,977,ARS
2021-07-15,72.4,73.3,70.0,70.2,3391,ARS
2021-07-16,70.0,72.3,70.0,70.4,2320,ARS
2021-07-19,70.0,70.0,68.5,69.6,5248,ARS
2021-07-20,69.0,71.0,69.0,69.6,2388,ARS
2021-07-21,72.0,72.0,71.0,71.0,2242,ARS
2021-07-22,71.0,71.0,70.0,70.7,427,ARS
2021-07-23,69.5,71.5,69.0,70.0,3695,ARS
2021-07-26,71.5,71.5,69.1,70.0,1256,ARS
2021-07-27,69.0,71.0,68.9,71.0,632,ARS
2021-07-28,70.7,70.7,69.1,70.7,331,ARS
2021-07-29,69.1,71.3,69.1,71.3,3534,ARS
2021-07-30,71.2,72.0,69.5,70.5,6315,ARS
2021-08-02,68.1,71.0,68.1,69.0,725,ARS
2021-08-03,68.5,71.5,68.5,70.4,515,ARS
2021-08-04,72.4,72.4,68.6,71.7,4473,ARS
2021-08-05,72.2,72.2,69.1,71.9,1451,ARS
2021-08-06,71.6,71.9,70.0,71.9,5555,ARS
2021-08-09,68.4,71.7,68.4,71.7,3713,ARS
2021-08-10,70.0,72.0,68.4,72.0,4625,ARS
2021-08-11,72.0,72.9,69.4,72.9,4577,ARS
2021-08-12,75.4,75.4,69.8,71.0,8061,ARS
2021-08-13,71.0,71.5,70.2,71.5,5130,ARS
2021-08-17,70.0,70.5,69.3,69.3,5772,ARS
2021-08-18,72.0,72.0,68.1,70.0,11181,ARS
2021-08-19,71.0,71.0,68.1,69.9,95,ARS
2021-08-20,70.0,70.0,68.2,70.0,2281,ARS
