Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,21.5,21.5,20.3,20.9,11522,ARS
2021-07-05,21.0,22.0,21.0,21.5,34666,ARS
2021-07-06,21.3,21.8,21.3,21.5,4532,ARS
2021-07-07,21.3,21.8,21.3,21.5,2679,ARS
2021-07-08,21.3,21.5,20.9,21.5,9440,ARS
2021-07-12,21.3,22.5,21.1,22.2,3507,ARS
2021-07-13,21.6,22.4,21.55,22.0,3461,ARS
2021-07-14,22.45,22.45,21.6,22.1,4128,ARS
2021-07-15,22.45,22.45,21.25,21.55,4928,ARS
2021-07-16,21.65,22.5,21.0,21.0,10412,ARS
2021-07-19,21.7,21.7,20.1,20.8,8776,ARS
2021-07-20,21.0,21.0,20.3,20.65,30427,ARS
2021-07-21,21.3,21.3,20.75,21.0,10087,ARS
2021-07-22,21.0,21.0,20.3,20.85,5112,ARS
2021-07-23,21.0,21.0,20.6,20.8,2388,ARS
2021-07-26,20.8,21.1,20.8,20.8,31201,ARS
2021-07-27,20.8,20.8,20.4,20.8,4555,ARS
2021-07-28,20.6,21.1,20.0,21.0,2921,ARS
2021-07-29,21.1,21.1,20.0,20.7,7951,ARS
2021-07-30,20.7,20.7,20.5,20.7,6861,ARS
2021-08-02,21.0,21.3,20.0,20.8,2066,ARS
2021-08-03,20.0,21.3,20.0,20.85,3452,ARS
2021-08-04,21.3,21.3,20.1,20.8,2586,ARS
2021-08-05,20.25,21.25,20.25,20.55,1797,ARS
2021-08-06,20.55,21.1,20.5,20.8,59634,ARS
2021-08-09,20.35,21.2,20.35,20.95,3590,ARS
2021-08-10,20.6,21.5,20.6,21.45,23558,ARS
2021-08-11,21.5,21.5,20.8,21.5,21054,ARS
2021-08-12,21.2,21.6,20.6,21.5,10086,ARS
2021-08-13,22.0,22.25,21.05,21.85,7096,ARS
2021-08-17,21.85,21.85,21.0,21.8,1511,ARS
2021-08-18,22.0,22.0,21.0,21.7,1041,ARS
2021-08-19,21.45,21.65,20.85,21.65,4379,ARS
2021-08-20,21.6,21.65,20.9,21.65,6368,ARS
