Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-14,19.0,19.0,19.0,19.0,20,ARS
2021-05-17,19.0,19.0,19.0,19.0,2,ARS
2021-05-20,18.9,18.9,18.6,18.6,952,ARS
2021-05-21,18.2,18.2,18.2,18.2,46,ARS
2021-05-26,17.1,17.1,17.1,17.1,9,ARS
2021-05-27,17.7,17.7,17.7,17.7,350,ARS
2021-05-28,19.0,19.0,19.0,19.0,1,ARS
2021-05-31,19.95,19.95,19.95,19.95,50,ARS
2021-06-01,19.2,19.6,19.2,19.6,587,ARS
2021-06-03,19.6,20.5,19.6,20.5,5,ARS
2021-06-07,21.05,21.05,21.05,21.05,918,ARS
2021-06-08,21.1,21.35,21.1,21.35,668,ARS
2021-06-09,22.0,22.0,22.0,22.0,317,ARS
2021-06-15,22.1,22.1,22.1,22.1,5,ARS
2021-06-16,20.2,20.2,20.2,20.2,92,ARS
2021-06-18,21.0,21.0,21.0,21.0,300,ARS
2021-06-25,19.0,19.0,19.0,19.0,502,ARS
2021-06-29,19.1,19.1,19.1,19.1,1,ARS
2021-07-05,19.1,19.1,19.1,19.1,13,ARS
2021-07-19,19.3,19.3,19.3,19.3,200,ARS
2021-07-22,20.8,20.8,20.8,20.8,28,ARS
2021-07-28,21.0,21.0,21.0,21.0,5,ARS
