Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,718.0,733.5,664.0,693.0,43886,ARS
2021-05-14,698.0,710.0,680.0,697.0,55899,ARS
2021-05-17,697.0,700.0,681.0,681.0,25005,ARS
2021-05-18,688.5,689.0,677.0,681.0,44031,ARS
2021-05-19,675.0,687.0,665.0,687.0,40338,ARS
2021-05-20,685.5,702.0,679.0,700.0,52482,ARS
2021-05-21,700.0,714.5,685.0,703.0,30276,ARS
2021-05-26,710.0,715.0,699.0,711.5,10452,ARS
2021-05-27,713.0,770.0,701.5,763.0,43634,ARS
2021-05-28,763.0,770.0,737.5,740.5,82366,ARS
2021-05-31,750.0,760.0,731.0,738.5,20418,ARS
2021-06-01,741.0,745.0,735.0,735.0,18881,ARS
2021-06-02,736.5,756.0,725.0,755.0,51955,ARS
2021-06-03,754.0,763.0,739.5,749.5,51618,ARS
2021-06-04,769.0,769.0,745.5,759.0,45585,ARS
2021-06-07,761.5,790.0,760.0,788.0,72665,ARS
2021-06-08,788.5,788.5,760.0,760.0,65899,ARS
2021-06-09,760.0,775.0,752.0,757.0,65888,ARS
2021-06-10,757.0,768.5,741.5,746.0,56708,ARS
2021-06-11,742.0,754.5,730.0,745.0,19473,ARS
2021-06-14,747.0,760.5,734.5,747.0,42868,ARS
2021-06-15,758.0,758.0,735.5,748.0,16126,ARS
2021-06-16,762.0,762.0,746.0,753.5,14507,ARS
2021-06-17,760.5,771.5,752.0,769.0,26549,ARS
2021-06-18,772.0,773.0,765.0,769.5,15331,ARS
2021-06-22,773.5,773.5,748.0,766.0,15740,ARS
2021-06-23,769.0,771.0,755.5,761.0,18433,ARS
2021-06-24,770.5,770.5,751.0,764.0,23689,ARS
2021-06-25,729.0,743.0,695.0,736.0,48341,ARS
2021-06-28,734.0,734.0,719.0,725.0,49313,ARS
2021-06-29,723.5,728.5,715.0,724.0,26525,ARS
2021-06-30,719.0,724.0,710.0,720.5,30135,ARS
2021-07-01,720.0,720.0,710.0,716.0,11383,ARS
2021-07-02,720.0,727.5,716.0,727.5,10688,ARS
2021-07-05,730.0,740.0,727.0,736.0,8741,ARS
2021-07-06,730.0,745.0,729.0,745.0,10731,ARS
2021-07-07,746.0,749.0,737.0,745.0,19495,ARS
2021-07-08,742.0,745.0,732.0,744.0,9517,ARS
2021-07-12,749.0,751.0,720.0,749.0,8096,ARS
2021-07-13,755.0,757.0,749.0,755.0,16263,ARS
2021-07-14,760.0,760.0,750.0,757.0,16706,ARS
2021-07-15,765.0,765.0,749.0,753.5,19805,ARS
2021-07-16,753.5,758.0,733.5,755.0,17971,ARS
2021-07-19,760.0,770.0,736.5,768.5,35308,ARS
2021-07-20,769.0,770.0,765.0,768.5,18236,ARS
2021-07-21,773.0,774.5,761.0,774.5,34947,ARS
2021-07-22,773.0,774.5,763.0,767.0,10210,ARS
2021-07-23,766.0,769.0,762.0,766.0,4135,ARS
2021-07-26,770.0,773.0,758.0,772.5,6011,ARS
2021-07-27,774.0,775.0,771.5,773.0,31751,ARS
2021-07-28,780.0,780.0,772.0,780.0,42414,ARS
2021-07-29,782.0,784.0,775.0,780.0,40618,ARS
2021-07-30,785.0,785.0,775.0,780.0,55238,ARS
2021-08-02,781.0,785.0,775.0,785.0,51157,ARS
2021-08-03,785.0,790.0,783.5,790.0,26640,ARS
2021-08-04,791.0,794.0,780.0,790.0,42639,ARS
2021-08-05,769.0,800.0,769.0,800.0,23750,ARS
2021-08-06,799.5,802.0,792.5,801.0,14598,ARS
2021-08-09,801.0,805.0,795.0,799.0,7777,ARS
2021-08-10,803.0,804.5,798.0,803.0,11210,ARS
2021-08-11,804.0,825.0,802.0,815.0,20264,ARS
2021-08-12,815.0,816.0,797.0,799.0,12041,ARS
2021-08-13,800.0,800.0,761.0,761.0,19627,ARS
2021-08-17,767.0,777.0,765.0,770.0,12427,ARS
2021-08-18,771.0,778.0,765.0,765.0,10668,ARS
2021-08-19,765.0,767.0,746.0,752.0,9907,ARS
2021-08-20,758.0,758.0,733.0,735.0,8541,ARS
