Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,77.0,79.6,76.9,79.3,2507,ARS
2021-07-05,83.0,83.0,82.0,82.0,178,ARS
2021-07-06,82.0,82.0,81.5,81.5,171,ARS
2021-07-07,81.0,81.0,81.0,81.0,123,ARS
2021-07-08,81.5,85.4,81.5,85.4,3960,ARS
2021-07-12,85.0,85.0,80.0,84.6,383,ARS
2021-07-14,84.0,84.0,77.5,81.0,482,ARS
2021-07-15,81.0,81.0,78.0,80.0,1253,ARS
2021-07-16,80.0,80.0,80.0,80.0,2600,ARS
2021-07-19,76.5,78.0,70.0,75.0,3428,ARS
2021-07-20,74.9,77.0,74.9,77.0,909,ARS
2021-07-21,77.0,78.5,73.2,73.2,878,ARS
2021-07-22,75.0,78.9,75.0,78.7,716,ARS
2021-07-23,78.7,79.0,75.0,78.5,3483,ARS
2021-07-26,78.5,79.0,78.2,78.2,755,ARS
2021-07-27,78.5,80.4,78.5,80.0,9623,ARS
2021-07-28,81.3,82.8,78.0,78.0,284,ARS
2021-07-29,77.0,79.0,77.0,79.0,101,ARS
2021-07-30,79.0,79.0,79.0,79.0,921,ARS
2021-08-02,76.6,79.1,76.0,79.1,873,ARS
2021-08-03,78.0,80.0,78.0,80.0,4197,ARS
2021-08-04,82.0,82.0,81.9,82.0,658,ARS
2021-08-05,78.0,81.0,78.0,79.8,6660,ARS
2021-08-09,78.0,78.0,75.5,75.8,123,ARS
2021-08-10,75.8,75.8,74.0,75.5,655,ARS
2021-08-11,77.5,78.0,75.6,78.0,2510,ARS
2021-08-12,78.0,78.0,77.5,78.0,474,ARS
2021-08-13,77.0,77.0,77.0,77.0,172,ARS
2021-08-17,73.7,75.0,73.7,75.0,351,ARS
2021-08-18,75.0,75.0,75.0,75.0,235,ARS
2021-08-19,75.0,75.0,74.0,74.0,770,ARS
