Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,1.73,1.73,1.68,1.71,930313,ARS
2021-05-14,1.73,1.74,1.71,1.73,309273,ARS
2021-05-17,1.74,1.76,1.7,1.75,443519,ARS
2021-05-18,1.75,1.78,1.7,1.74,453144,ARS
2021-05-19,1.75,1.78,1.72,1.78,714612,ARS
2021-05-20,1.79,1.99,1.77,1.98,4387173,ARS
2021-05-21,1.98,2.16,1.98,2.16,5233428,ARS
2021-05-26,2.16,2.38,2.0,2.38,5052749,ARS
2021-05-27,2.38,2.66,2.32,2.39,5114906,ARS
2021-05-28,2.46,2.51,2.15,2.35,2796956,ARS
2021-05-31,2.36,2.4,2.2,2.3,1551186,ARS
2021-06-01,2.34,2.34,2.14,2.22,3040647,ARS
2021-06-02,2.2,2.25,2.13,2.21,1570774,ARS
2021-06-03,2.25,2.25,2.19,2.24,523757,ARS
2021-06-04,2.28,2.35,2.27,2.27,1656919,ARS
2021-06-07,2.28,2.35,2.28,2.35,1559944,ARS
2021-06-08,2.35,2.35,2.2,2.29,612579,ARS
2021-06-09,2.29,2.32,2.24,2.3,796248,ARS
2021-06-10,2.3,2.38,2.3,2.37,1242987,ARS
2021-06-11,2.36,2.39,2.26,2.32,1239488,ARS
2021-06-14,2.35,2.36,2.26,2.29,430958,ARS
2021-06-15,2.35,2.35,2.26,2.28,181072,ARS
2021-06-16,2.32,2.34,2.2,2.29,2019957,ARS
2021-06-17,2.28,2.31,2.23,2.31,589448,ARS
2021-06-18,2.3,2.3,2.17,2.22,945294,ARS
2021-06-22,2.15,2.25,2.13,2.22,541530,ARS
2021-06-23,2.21,2.32,2.15,2.24,817954,ARS
2021-06-24,2.3,2.3,2.17,2.2,1199401,ARS
2021-06-25,2.15,2.27,2.0,2.23,1196195,ARS
2021-06-28,2.25,2.29,2.14,2.16,1305574,ARS
2021-06-29,2.23,2.23,2.1,2.15,1242463,ARS
2021-06-30,2.2,2.2,2.1,2.14,537642,ARS
2021-07-01,2.17,2.17,2.1,2.16,195253,ARS
2021-07-02,2.15,2.28,2.12,2.26,1144607,ARS
2021-07-05,2.26,2.38,2.26,2.38,1403282,ARS
2021-07-06,2.4,2.44,2.25,2.31,595317,ARS
2021-07-07,2.35,2.37,2.26,2.26,890169,ARS
2021-07-08,2.3,2.3,2.21,2.27,616592,ARS
2021-07-12,2.21,2.3,2.21,2.27,341560,ARS
2021-07-13,2.3,2.3,2.22,2.27,438110,ARS
2021-07-14,2.29,2.29,2.23,2.27,305750,ARS
2021-07-15,2.26,2.29,2.22,2.26,182108,ARS
2021-07-16,2.25,2.25,2.22,2.25,202276,ARS
2021-07-19,2.2,2.25,2.18,2.23,478722,ARS
2021-07-20,2.25,2.28,2.2,2.25,742069,ARS
2021-07-21,2.28,2.35,2.23,2.32,2022021,ARS
2021-07-22,2.28,2.32,2.25,2.29,182012,ARS
2021-07-23,2.24,2.31,2.23,2.25,107842,ARS
2021-07-26,2.3,2.34,2.23,2.31,1081960,ARS
2021-07-27,2.3,2.32,2.23,2.28,374741,ARS
2021-07-28,2.33,2.33,2.22,2.25,504441,ARS
2021-07-29,2.27,2.27,2.19,2.26,902373,ARS
2021-07-30,2.3,2.31,2.21,2.23,111286,ARS
2021-08-02,2.22,2.28,2.2,2.25,188702,ARS
2021-08-03,2.26,2.27,2.2,2.27,166841,ARS
2021-08-04,2.29,2.31,2.23,2.3,997796,ARS
2021-08-05,2.3,2.42,2.25,2.4,1175667,ARS
2021-08-06,2.4,2.45,2.26,2.4,656557,ARS
2021-08-09,2.33,2.42,2.27,2.36,345927,ARS
2021-08-10,2.35,2.39,2.28,2.36,1128417,ARS
2021-08-11,2.38,2.38,2.29,2.31,1772612,ARS
2021-08-12,2.27,2.35,2.27,2.34,587866,ARS
2021-08-13,2.3,2.35,2.24,2.32,225008,ARS
2021-08-17,2.35,2.35,2.21,2.28,123143,ARS
2021-08-18,2.3,2.3,2.17,2.22,1119599,ARS
2021-08-19,2.2,2.24,2.14,2.14,575647,ARS
2021-08-20,2.14,2.21,2.12,2.2,400929,ARS
