Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,16.9,16.9,16.8,16.8,153430,ARS
2021-05-14,16.55,17.0,16.55,17.0,110153,ARS
2021-05-17,16.7,17.0,16.7,17.0,35817,ARS
2021-05-18,16.8,17.1,16.8,17.0,49886,ARS
2021-05-19,16.8,16.9,16.8,16.8,12946,ARS
2021-05-20,17.0,17.2,16.8,17.2,229717,ARS
2021-05-21,17.3,17.3,16.7,17.0,52486,ARS
2021-05-26,17.0,17.45,16.9,17.45,114704,ARS
2021-05-27,17.5,17.65,17.3,17.6,198499,ARS
2021-05-28,17.3,17.75,17.3,17.5,43510,ARS
2021-05-31,17.3,17.8,16.9,17.7,23376,ARS
2021-06-01,17.75,19.0,17.7,18.5,97936,ARS
2021-06-02,18.5,19.0,17.95,19.0,52225,ARS
2021-06-03,19.25,20.1,18.65,19.7,52392,ARS
2021-06-04,19.7,20.0,19.2,20.0,28804,ARS
2021-06-07,20.05,20.4,19.1,20.25,187032,ARS
2021-06-08,19.6,20.15,19.2,20.15,24431,ARS
2021-06-09,20.0,22.7,19.5,22.7,107497,ARS
2021-06-10,22.5,24.35,22.0,22.8,60869,ARS
2021-06-11,22.9,22.9,21.35,21.7,44525,ARS
2021-06-14,22.0,22.8,21.3,22.6,23306,ARS
2021-06-15,22.6,22.6,21.55,22.0,45563,ARS
2021-06-16,22.0,22.0,21.4,21.6,12939,ARS
2021-06-17,21.5,21.9,21.3,21.4,4928,ARS
2021-06-18,21.2,21.2,20.7,20.7,12905,ARS
2021-06-22,19.8,20.7,19.4,20.7,9615,ARS
2021-06-23,20.5,20.5,20.1,20.5,11686,ARS
2021-06-24,21.4,21.4,20.45,20.8,11321,ARS
2021-06-25,20.0,21.0,19.2,21.0,110946,ARS
2021-06-28,21.0,21.4,20.3,20.45,1455,ARS
2021-06-29,20.4,20.5,19.9,20.5,32886,ARS
2021-06-30,20.9,21.0,20.1,21.0,56452,ARS
2021-07-01,21.0,21.3,20.8,20.8,12483,ARS
2021-07-02,20.9,20.9,20.65,20.8,50628,ARS
2021-07-05,20.8,21.0,20.8,21.0,12589,ARS
2021-07-06,21.0,21.1,20.7,21.1,62152,ARS
2021-07-07,21.2,21.2,20.5,21.0,6432,ARS
2021-07-08,20.9,20.9,20.3,20.55,28422,ARS
2021-07-12,21.1,21.3,20.3,21.3,28727,ARS
2021-07-13,21.3,22.0,21.3,22.0,52383,ARS
2021-07-14,22.9,22.9,21.8,22.7,14077,ARS
2021-07-15,22.6,23.0,21.8,21.8,29871,ARS
2021-07-16,22.6,22.9,21.2,21.5,5800,ARS
2021-07-19,21.0,21.0,20.0,21.0,5469,ARS
2021-07-20,20.8,21.0,20.8,20.8,4269,ARS
2021-07-21,21.0,21.1,20.85,21.1,65769,ARS
2021-07-22,21.0,22.0,21.0,21.45,7474,ARS
2021-07-23,22.0,22.0,20.4,20.9,7859,ARS
2021-07-26,21.1,21.8,21.1,21.8,58539,ARS
2021-07-27,21.4,22.0,21.4,22.0,37060,ARS
2021-07-28,21.8,22.7,21.6,22.7,90369,ARS
2021-07-29,22.65,22.65,21.8,22.5,142789,ARS
2021-07-30,21.6,21.85,20.7,21.0,114487,ARS
2021-08-02,21.0,21.4,20.7,21.4,21095,ARS
2021-08-03,21.35,21.4,21.0,21.1,33487,ARS
2021-08-04,21.1,21.35,20.7,21.2,29972,ARS
2021-08-05,20.6,21.25,20.6,20.8,23691,ARS
2021-08-06,21.0,21.0,20.7,20.8,15624,ARS
2021-08-09,20.8,21.2,20.65,21.0,25874,ARS
2021-08-10,21.0,21.7,20.95,21.7,45023,ARS
2021-08-11,21.7,21.9,21.35,21.8,17055,ARS
2021-08-12,21.8,21.9,20.6,21.9,94690,ARS
2021-08-13,22.0,22.0,21.5,21.9,9434,ARS
2021-08-17,21.9,21.9,21.5,21.7,22063,ARS
2021-08-18,20.7,22.0,20.7,21.7,2138,ARS
2021-08-19,21.0,21.5,20.6,21.0,25289,ARS
2021-08-20,21.0,21.9,21.0,21.9,29570,ARS
