Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,21.0,21.5,20.6,21.45,27001,ARS
2021-07-05,21.45,23.0,21.45,22.95,71929,ARS
2021-07-06,23.0,23.45,22.5,23.1,56685,ARS
2021-07-07,23.0,23.0,21.45,23.0,19484,ARS
2021-07-08,22.9,23.0,22.0,22.8,5584,ARS
2021-07-12,22.7,23.2,22.0,23.0,34383,ARS
2021-07-13,23.1,23.1,22.0,22.9,1116,ARS
2021-07-14,23.0,23.0,22.3,22.3,613,ARS
2021-07-15,22.85,22.9,22.0,22.0,4474,ARS
2021-07-16,22.2,22.2,21.0,21.55,3030,ARS
2021-07-19,21.4,21.4,20.3,21.0,950,ARS
2021-07-20,20.7,22.0,20.7,22.0,8004,ARS
2021-07-21,21.25,22.6,21.25,22.6,33402,ARS
2021-07-22,22.6,22.6,21.8,22.6,1113,ARS
2021-07-23,22.45,22.45,21.9,22.4,1099,ARS
2021-07-26,22.4,22.55,21.55,22.0,2397,ARS
2021-07-27,22.55,22.55,21.25,22.0,1104,ARS
2021-07-28,22.0,23.1,21.05,23.0,29073,ARS
2021-07-29,23.35,23.4,22.85,23.4,25900,ARS
2021-07-30,23.3,23.5,22.7,22.9,24667,ARS
2021-08-02,23.4,23.5,22.55,23.35,10683,ARS
2021-08-03,23.5,23.5,23.0,23.5,8335,ARS
2021-08-04,23.5,24.0,23.2,23.5,21115,ARS
2021-08-05,23.15,24.0,22.85,24.0,240216,ARS
2021-08-06,24.0,24.0,23.0,23.5,43503,ARS
2021-08-09,23.5,23.5,22.5,23.0,2913,ARS
2021-08-10,23.5,24.05,23.0,24.0,12132,ARS
2021-08-11,24.0,24.0,22.9,23.9,15736,ARS
2021-08-12,23.9,23.9,23.0,23.8,1507,ARS
2021-08-13,23.0,23.95,23.0,23.75,2498,ARS
2021-08-17,24.0,24.0,21.7,22.15,26191,ARS
2021-08-18,22.0,23.0,21.6,22.0,13955,ARS
2021-08-19,22.0,22.0,21.1,21.95,2110,ARS
2021-08-20,21.3,22.35,21.3,21.95,1123,ARS
