Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,42.0,42.8,41.3,42.7,144866,ARS
2021-07-05,42.6,42.9,41.7,42.55,98262,ARS
2021-07-06,42.6,43.0,41.7,42.65,328396,ARS
2021-07-07,43.2,43.4,41.3,42.2,386735,ARS
2021-07-08,42.0,42.0,40.25,40.25,216772,ARS
2021-07-12,41.0,42.0,40.4,41.4,150891,ARS
2021-07-13,41.95,42.4,41.15,41.95,120044,ARS
2021-07-14,42.95,43.2,41.8,41.85,265468,ARS
2021-07-15,42.0,42.0,41.0,41.4,308364,ARS
2021-07-16,41.3,41.75,40.55,40.7,174832,ARS
2021-07-19,40.15,40.95,38.7,40.6,373973,ARS
2021-07-20,40.1,41.6,39.6,41.0,455138,ARS
2021-07-21,41.5,41.7,40.8,41.5,803197,ARS
2021-07-22,42.05,42.05,40.8,41.4,382741,ARS
2021-07-23,41.6,41.95,40.4,41.0,135586,ARS
2021-07-26,40.15,41.95,40.15,41.8,278124,ARS
2021-07-27,42.0,42.95,41.35,42.9,371481,ARS
2021-07-28,43.05,44.5,42.9,44.5,527903,ARS
2021-07-29,44.4,45.7,44.4,45.2,429079,ARS
2021-07-30,45.25,45.3,44.4,44.85,633161,ARS
2021-08-02,44.5,46.25,43.5,45.9,1001739,ARS
2021-08-03,45.75,45.75,44.4,44.65,354212,ARS
2021-08-04,44.7,44.7,42.5,42.5,616192,ARS
2021-08-05,43.05,43.75,42.7,43.3,214885,ARS
2021-08-06,43.4,44.45,42.6,43.0,201109,ARS
2021-08-09,43.2,43.65,42.55,43.3,136518,ARS
2021-08-10,43.0,45.6,42.6,45.6,447433,ARS
2021-08-11,45.55,46.55,44.1,46.5,271719,ARS
2021-08-12,45.6,46.75,44.5,46.15,368489,ARS
2021-08-13,46.7,46.7,45.1,45.4,190203,ARS
2021-08-17,45.4,45.4,42.7,44.2,170096,ARS
2021-08-18,44.0,44.5,43.0,44.4,207965,ARS
2021-08-19,44.0,45.15,41.75,44.25,97082,ARS
2021-08-20,44.4,44.9,43.0,44.5,100939,ARS
