Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,17.05,17.4,16.9,17.35,3084,ARS
2021-05-14,17.5,18.05,16.9,17.45,44372,ARS
2021-05-17,17.15,18.1,17.15,17.4,8504,ARS
2021-05-18,17.0,17.8,17.0,17.5,3684,ARS
2021-05-19,17.0,17.65,17.0,17.55,7502,ARS
2021-05-20,17.9,18.0,17.5,17.5,6678,ARS
2021-05-21,18.05,18.05,17.1,17.35,1870,ARS
2021-05-26,17.1,18.0,17.1,17.8,35065,ARS
2021-05-27,18.0,18.55,17.9,18.55,16159,ARS
2021-05-28,18.7,19.0,18.5,19.0,11499,ARS
2021-05-31,18.5,19.1,18.25,19.1,4708,ARS
2021-06-01,19.3,20.5,19.05,19.95,29495,ARS
2021-06-02,19.7,20.45,19.7,20.1,30992,ARS
2021-06-03,20.4,20.4,19.5,20.2,4685,ARS
2021-06-04,20.2,21.6,20.2,21.6,31596,ARS
2021-06-07,21.6,24.65,21.6,24.65,104421,ARS
2021-06-08,25.2,26.7,25.0,25.55,49546,ARS
2021-06-09,25.5,29.5,25.5,28.2,88700,ARS
2021-06-10,29.0,32.0,26.5,30.0,141092,ARS
2021-06-11,29.85,29.85,27.0,28.5,43845,ARS
2021-06-14,28.0,29.4,27.15,29.05,20105,ARS
2021-06-15,29.0,29.0,28.75,29.0,8762,ARS
2021-06-16,29.8,29.8,29.2,29.5,6999,ARS
2021-06-17,30.0,30.45,28.5,30.0,12344,ARS
2021-06-18,29.0,30.0,28.9,30.0,9460,ARS
2021-06-22,30.0,30.0,27.6,29.8,18317,ARS
2021-06-23,30.0,30.0,28.1,29.0,7615,ARS
2021-06-24,29.0,29.5,27.7,28.1,28101,ARS
2021-06-25,26.7,27.4,25.5,27.4,60982,ARS
2021-06-28,27.75,27.75,26.3,27.0,638,ARS
2021-06-29,26.8,26.8,25.75,26.4,11119,ARS
2021-06-30,26.4,26.7,25.5,25.5,7527,ARS
2021-07-01,26.15,26.6,24.85,25.6,10632,ARS
2021-07-02,24.9,27.6,24.9,26.65,4130,ARS
2021-07-05,26.3,27.15,26.3,26.5,3899,ARS
2021-07-06,27.5,27.5,25.2,26.0,6787,ARS
2021-07-07,26.0,26.65,25.9,26.25,5148,ARS
2021-07-08,25.5,26.0,25.5,26.0,5030,ARS
2021-07-12,25.2,27.4,25.2,26.5,8082,ARS
2021-07-13,26.5,27.5,26.0,26.8,2382,ARS
2021-07-14,26.8,27.0,25.65,25.65,7915,ARS
2021-07-15,26.5,26.5,25.3,25.3,5962,ARS
2021-07-16,26.0,26.0,25.2,26.0,7592,ARS
2021-07-19,26.8,26.8,25.15,25.2,2971,ARS
2021-07-20,25.1,25.2,24.6,24.95,15820,ARS
2021-07-21,25.0,26.7,25.0,26.45,3663,ARS
2021-07-22,26.0,26.4,25.4,26.3,2076,ARS
2021-07-23,25.5,26.3,25.5,26.3,906,ARS
2021-07-26,26.3,26.5,25.3,26.3,2148,ARS
2021-07-27,26.5,26.5,25.4,26.0,6836,ARS
2021-07-28,25.85,25.9,25.25,25.85,8490,ARS
2021-07-29,25.3,26.0,25.3,26.0,416,ARS
2021-07-30,26.0,26.0,25.15,26.0,382,ARS
2021-08-02,25.8,25.8,25.15,25.8,656,ARS
2021-08-03,25.15,26.2,25.15,26.0,3400,ARS
2021-08-04,26.0,26.0,25.35,25.35,2340,ARS
2021-08-05,25.15,25.95,25.15,25.8,414,ARS
2021-08-06,25.25,25.35,25.25,25.35,4164,ARS
2021-08-09,25.35,25.35,24.9,24.9,5595,ARS
2021-08-10,25.2,26.0,24.65,26.0,4752,ARS
2021-08-11,26.0,28.75,25.2,28.7,26042,ARS
2021-08-12,28.6,28.6,27.0,27.7,6133,ARS
2021-08-13,27.65,27.65,27.45,27.45,800,ARS
2021-08-17,26.15,26.85,25.55,25.6,5907,ARS
2021-08-18,25.6,25.7,25.6,25.7,142,ARS
2021-08-19,25.5,26.0,25.2,25.6,1993,ARS
2021-08-20,25.6,25.9,25.0,25.65,1258,ARS
