Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,2.66,2.79,2.66,2.79,14961450,ARS
2021-05-14,2.81,2.85,2.78,2.82,9116820,ARS
2021-05-17,2.82,2.9,2.75,2.89,7785600,ARS
2021-05-18,2.86,2.89,2.77,2.85,7456300,ARS
2021-05-19,2.84,2.89,2.72,2.85,6540570,ARS
2021-05-20,2.86,2.98,2.85,2.95,5888910,ARS
2021-05-21,2.95,2.95,2.88,2.91,5319340,ARS
2021-05-26,2.89,2.89,2.78,2.87,5497530,ARS
2021-05-27,2.89,2.97,2.86,2.95,6851640,ARS
2021-05-28,2.98,3.05,2.96,3.02,16660860,ARS
2021-05-31,3.02,3.08,3.0,3.04,6319120,ARS
2021-06-01,3.05,3.17,3.04,3.16,13123650,ARS
2021-06-02,3.2,3.2,3.12,3.17,8276670,ARS
2021-06-03,3.18,3.18,3.08,3.16,13256210,ARS
2021-06-04,3.18,3.2,3.1,3.2,6964390,ARS
2021-06-07,3.22,3.26,3.16,3.17,6211580,ARS
2021-06-08,3.17,3.2,3.05,3.07,6047520,ARS
2021-06-09,3.07,3.13,3.05,3.13,10262030,ARS
2021-06-10,3.18,3.31,3.17,3.3,15929080,ARS
2021-06-11,3.3,3.33,3.21,3.27,15523880,ARS
2021-06-14,3.3,3.4,3.25,3.36,11387180,ARS
2021-06-15,3.36,3.39,3.23,3.39,15530250,ARS
2021-06-16,3.38,3.39,3.26,3.35,22531890,ARS
2021-06-17,3.32,3.37,3.27,3.29,19028540,ARS
2021-06-18,3.29,3.29,3.17,3.18,13193530,ARS
2021-06-22,3.18,3.32,3.1,3.3,8419280,ARS
2021-06-23,3.31,3.38,3.3,3.37,3745120,ARS
2021-06-24,3.37,3.52,3.32,3.47,8258490,ARS
2021-06-25,3.37,3.65,3.3,3.6,8835360,ARS
2021-06-28,3.64,3.91,3.64,3.9,10128300,ARS
2021-06-29,3.9,4.14,3.84,3.87,13782300,ARS
2021-06-30,3.9,3.98,3.7,3.77,10098100,ARS
2021-07-01,3.8,4.01,3.8,4.0,6227600,ARS
2021-07-02,3.99,4.47,3.99,4.4,10846500,ARS
2021-07-05,4.5,4.97,4.5,4.85,18579700,ARS
2021-07-06,4.85,5.12,4.73,5.0,14793400,ARS
2021-07-07,5.02,5.17,4.85,4.88,11074600,ARS
2021-07-08,4.87,4.87,4.73,4.82,5872400,ARS
2021-07-12,4.8,4.94,4.73,4.87,2205800,ARS
2021-07-13,4.86,4.89,4.7,4.72,4153800,ARS
2021-07-14,4.72,4.74,4.52,4.54,4489900,ARS
2021-07-15,4.5,4.6,4.38,4.39,7047400,ARS
2021-07-16,4.39,4.4,4.22,4.23,5513700,ARS
2021-07-19,4.16,4.19,4.06,4.08,5567200,ARS
2021-07-20,4.08,4.4,4.08,4.39,4290800,ARS
2021-07-21,4.44,4.68,4.44,4.66,4286500,ARS
2021-07-22,4.71,4.71,4.55,4.69,2526800,ARS
2021-07-23,4.69,4.81,4.65,4.76,1700300,ARS
2021-07-26,4.79,4.86,4.68,4.73,2318400,ARS
2021-07-27,4.72,4.72,4.58,4.59,1579240,ARS
2021-07-28,4.58,4.63,4.48,4.51,2146650,ARS
2021-07-29,4.5,4.53,4.4,4.43,6122830,ARS
2021-07-30,4.4,4.47,4.29,4.33,1861970,ARS
2021-08-02,4.39,4.51,4.18,4.51,4315760,ARS
2021-08-03,4.48,4.6,4.42,4.52,2280230,ARS
2021-08-04,4.56,4.6,4.41,4.58,2429880,ARS
2021-08-05,4.61,4.81,4.57,4.8,4928590,ARS
2021-08-06,4.83,4.91,4.75,4.89,2934490,ARS
2021-08-09,4.86,4.93,4.79,4.83,1347530,ARS
2021-08-10,4.82,4.82,4.66,4.7,1280520,ARS
2021-08-11,4.74,4.86,4.7,4.83,2387340,ARS
2021-08-12,4.8,4.8,4.62,4.64,5440350,ARS
2021-08-13,4.69,4.69,4.52,4.61,2564570,ARS
2021-08-17,4.57,4.57,4.46,4.47,1250670,ARS
2021-08-18,4.47,4.48,4.4,4.47,1951070,ARS
2021-08-19,4.48,4.48,4.37,4.42,2299000,ARS
2021-08-20,4.42,4.57,4.4,4.55,4294130,ARS
