Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,99.6,102.0,97.0,99.4,241583,ARS
2021-05-14,99.5,106.65,99.5,105.2,193160,ARS
2021-05-17,108.2,119.0,108.2,118.5,686532,ARS
2021-05-18,117.85,117.85,112.0,112.8,449502,ARS
2021-05-19,113.0,113.0,107.3,108.7,246421,ARS
2021-05-20,108.7,113.5,108.7,111.2,438747,ARS
2021-05-21,111.8,112.0,107.5,108.3,219362,ARS
2021-05-26,105.5,106.9,101.0,106.0,164025,ARS
2021-05-27,106.0,108.0,101.85,102.4,415685,ARS
2021-05-28,103.0,104.15,101.9,102.7,282665,ARS
2021-05-31,103.0,103.4,100.3,101.0,228241,ARS
2021-06-01,103.5,106.0,103.4,104.25,533178,ARS
2021-06-02,106.3,111.0,106.3,111.0,487208,ARS
2021-06-03,111.0,116.75,111.0,115.8,613226,ARS
2021-06-04,114.5,114.75,109.3,112.2,354674,ARS
2021-06-07,112.6,121.0,112.55,120.6,943435,ARS
2021-06-08,120.45,120.45,113.9,114.7,859211,ARS
2021-06-09,118.65,121.5,117.95,118.6,1045549,ARS
2021-06-10,119.0,121.8,116.0,116.85,498083,ARS
2021-06-11,116.95,116.95,113.0,115.0,607999,ARS
2021-06-14,116.25,118.0,114.15,116.0,138356,ARS
2021-06-15,116.0,119.0,112.0,114.5,216634,ARS
2021-06-16,115.0,115.7,111.5,114.3,224350,ARS
2021-06-17,112.5,113.6,106.0,108.55,242302,ARS
2021-06-18,107.05,107.05,102.95,105.15,120583,ARS
2021-06-22,105.25,105.9,100.0,104.35,226093,ARS
2021-06-23,103.7,106.0,103.0,104.3,278526,ARS
2021-06-24,105.25,108.5,103.75,105.0,325930,ARS
2021-06-25,103.85,103.9,101.4,102.5,387417,ARS
2021-06-28,98.0,101.9,97.5,97.5,163551,ARS
2021-06-29,97.7,100.9,95.5,99.75,277743,ARS
2021-06-30,100.0,101.9,97.3,101.0,215112,ARS
2021-07-01,101.7,106.9,101.7,105.4,192895,ARS
2021-07-02,106.1,112.6,106.1,112.5,243214,ARS
2021-07-05,112.6,116.0,112.6,114.9,97545,ARS
2021-07-06,113.95,113.95,108.05,110.4,133359,ARS
2021-07-07,111.0,111.0,105.55,109.0,127224,ARS
2021-07-08,107.6,113.4,107.6,113.3,105543,ARS
2021-07-12,114.15,116.0,113.1,113.65,111623,ARS
2021-07-13,114.75,115.0,112.0,115.0,279871,ARS
2021-07-14,115.05,116.5,111.3,113.45,128594,ARS
2021-07-15,113.5,113.5,110.2,111.5,43825,ARS
2021-07-16,110.4,111.8,110.0,110.95,30072,ARS
2021-07-19,107.0,107.0,101.5,102.5,296085,ARS
2021-07-20,103.55,109.0,103.5,107.65,147488,ARS
2021-07-21,108.7,113.5,108.7,113.4,84324,ARS
2021-07-22,114.55,116.9,113.55,116.3,257996,ARS
2021-07-23,116.3,116.3,113.5,114.0,59379,ARS
2021-07-26,115.4,116.4,113.8,113.8,70885,ARS
2021-07-27,114.0,114.0,110.35,110.6,96480,ARS
2021-07-28,113.6,114.05,110.6,114.0,183868,ARS
2021-07-29,114.55,115.9,114.0,115.5,149592,ARS
2021-07-30,115.7,116.4,112.0,112.8,73143,ARS
2021-08-02,112.25,114.95,112.25,114.6,157216,ARS
2021-08-03,115.0,115.0,110.5,112.95,58082,ARS
2021-08-04,112.9,112.9,109.05,111.2,59095,ARS
2021-08-05,112.0,112.5,110.15,110.95,102214,ARS
2021-08-06,110.1,110.4,107.1,108.8,149622,ARS
2021-08-09,108.0,110.5,105.5,106.5,56272,ARS
2021-08-10,105.8,108.7,105.1,107.05,82693,ARS
2021-08-11,107.1,107.65,104.5,106.8,130986,ARS
2021-08-12,103.85,108.5,103.0,106.7,250639,ARS
2021-08-13,107.0,107.45,104.0,106.25,34727,ARS
2021-08-17,105.6,105.6,99.2,100.7,299709,ARS
2021-08-18,100.95,101.9,97.0,98.0,174050,ARS
2021-08-19,97.9,97.95,92.8,94.8,314877,ARS
2021-08-20,95.0,97.0,95.0,96.4,201840,ARS
