Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,133.0,135.0,128.25,134.0,1212,ARS
2021-05-14,138.0,138.0,132.0,135.0,10077,ARS
2021-05-17,135.0,138.0,128.0,130.0,2577,ARS
2021-05-18,128.0,131.5,126.0,128.0,1496,ARS
2021-05-19,126.0,126.0,120.0,124.0,3000,ARS
2021-05-20,124.75,130.0,124.0,128.5,6143,ARS
2021-05-21,128.0,131.0,125.0,129.5,16860,ARS
2021-05-26,129.25,133.0,125.5,131.75,1905,ARS
2021-05-27,129.0,131.5,126.0,130.0,13460,ARS
2021-05-28,129.5,131.0,129.0,131.0,13342,ARS
2021-05-31,128.0,132.0,128.0,131.0,15487,ARS
2021-06-01,125.0,137.0,125.0,137.0,14443,ARS
2021-06-02,137.0,145.0,137.0,143.0,15695,ARS
2021-06-03,143.0,145.0,139.0,145.0,5992,ARS
2021-06-04,145.0,148.0,142.25,148.0,17011,ARS
2021-06-07,148.0,159.5,148.0,152.5,18717,ARS
2021-06-08,159.0,159.0,145.0,147.5,3890,ARS
2021-06-09,147.5,152.5,145.5,151.0,3296,ARS
2021-06-10,151.0,155.0,145.25,152.0,20189,ARS
2021-06-11,152.5,153.0,146.0,151.0,15567,ARS
2021-06-14,151.0,158.0,149.0,153.75,3171,ARS
2021-06-15,153.75,153.75,147.0,150.5,8723,ARS
2021-06-16,150.5,153.0,148.0,151.5,10919,ARS
2021-06-17,151.0,154.0,150.0,154.0,11458,ARS
2021-06-18,152.0,152.0,148.0,149.75,7938,ARS
2021-06-22,150.0,150.75,149.0,150.75,16063,ARS
2021-06-23,148.0,154.0,148.0,149.5,5390,ARS
2021-06-24,147.0,150.5,147.0,148.0,1748,ARS
2021-06-25,145.0,147.0,143.0,145.0,12757,ARS
2021-06-28,144.0,144.0,142.0,144.0,4372,ARS
2021-06-29,144.0,145.0,140.0,144.0,5842,ARS
2021-06-30,145.0,145.0,135.5,142.25,9226,ARS
2021-07-01,142.0,142.0,136.25,140.0,8536,ARS
2021-07-02,140.0,145.0,140.0,144.5,9995,ARS
2021-07-05,146.0,146.0,140.5,144.0,3773,ARS
2021-07-06,145.0,145.0,140.0,140.0,2195,ARS
2021-07-07,140.0,142.0,137.5,142.0,2684,ARS
2021-07-08,142.0,147.0,142.0,144.0,4778,ARS
2021-07-12,144.0,144.0,142.0,142.0,180,ARS
2021-07-13,144.0,144.0,138.0,142.0,5352,ARS
2021-07-14,136.0,146.0,136.0,146.0,5911,ARS
2021-07-15,143.0,147.0,140.25,146.5,11950,ARS
2021-07-16,143.5,146.5,143.0,145.0,6080,ARS
2021-07-19,144.0,147.0,140.0,147.0,69809,ARS
2021-07-20,150.0,150.0,146.5,148.0,40776,ARS
2021-07-21,151.75,151.75,148.0,151.25,13803,ARS
2021-07-22,152.0,152.0,145.0,148.5,5275,ARS
2021-07-23,151.75,151.75,144.5,144.5,15804,ARS
2021-07-26,144.0,150.0,144.0,149.0,12091,ARS
2021-07-27,150.0,154.0,146.5,150.5,12139,ARS
2021-07-28,147.0,152.0,146.0,148.75,21268,ARS
2021-07-29,149.75,154.0,149.75,153.25,50279,ARS
2021-07-30,155.0,155.0,148.0,150.5,3290,ARS
2021-08-02,154.0,154.0,150.5,150.5,578,ARS
2021-08-03,150.5,151.0,145.25,149.0,2086,ARS
2021-08-04,152.75,152.75,144.5,150.5,46855,ARS
2021-08-05,150.0,160.0,149.5,160.0,17164,ARS
2021-08-06,160.0,160.0,155.0,159.0,6300,ARS
2021-08-09,166.0,166.0,153.0,155.0,7614,ARS
2021-08-10,159.0,159.0,152.5,157.0,10738,ARS
2021-08-11,157.0,161.5,157.0,160.0,8193,ARS
2021-08-12,160.0,163.75,158.0,163.75,6606,ARS
2021-08-13,163.0,164.5,160.0,164.5,3602,ARS
2021-08-17,166.0,167.0,160.0,164.0,13009,ARS
2021-08-18,164.5,164.5,160.5,164.0,3725,ARS
2021-08-19,161.0,165.0,160.0,164.75,8791,ARS
2021-08-20,167.0,167.0,162.0,164.0,2948,ARS
