Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,299.0,310.0,285.5,306.0,33925,ARS
2021-05-14,307.0,315.0,301.0,312.0,50926,ARS
2021-05-17,310.5,312.0,300.0,307.0,21531,ARS
2021-05-18,307.0,316.0,304.0,312.0,68379,ARS
2021-05-19,314.0,324.5,304.0,318.5,65325,ARS
2021-05-20,325.0,325.0,317.0,320.0,60480,ARS
2021-05-21,323.0,323.0,311.0,317.0,30802,ARS
2021-05-26,323.0,323.0,305.5,319.0,67809,ARS
2021-05-27,315.5,335.0,315.5,330.0,71267,ARS
2021-05-28,330.0,337.0,322.0,328.5,13328,ARS
2021-05-31,328.5,335.0,323.0,327.0,18212,ARS
2021-06-01,332.0,333.5,327.0,328.0,18144,ARS
2021-06-02,329.0,342.0,329.0,333.0,71120,ARS
2021-06-03,335.0,338.0,328.0,337.0,25769,ARS
2021-06-04,337.0,342.5,330.0,337.0,123816,ARS
2021-06-07,343.0,350.0,337.5,349.5,93752,ARS
2021-06-08,348.0,357.0,341.0,355.0,34718,ARS
2021-06-09,358.0,374.0,356.5,364.0,31530,ARS
2021-06-10,371.0,372.0,360.5,365.0,34506,ARS
2021-06-11,365.0,369.5,350.0,363.0,25529,ARS
2021-06-14,364.0,373.5,359.5,372.5,21520,ARS
2021-06-15,374.0,377.0,362.0,369.0,24258,ARS
2021-06-16,369.0,373.5,366.5,372.0,21235,ARS
2021-06-17,371.0,376.5,360.0,374.0,28750,ARS
2021-06-18,371.5,371.5,357.0,370.0,10069,ARS
2021-06-22,369.0,370.0,356.0,368.0,6597,ARS
2021-06-23,367.5,378.0,361.0,373.0,30806,ARS
2021-06-24,365.5,385.0,365.0,380.0,33571,ARS
2021-06-25,366.0,375.0,351.5,375.0,28432,ARS
2021-06-28,374.0,374.0,364.0,373.0,10650,ARS
2021-06-29,370.0,373.0,353.5,371.5,13022,ARS
2021-06-30,370.0,373.5,355.0,370.5,14646,ARS
2021-07-01,373.5,373.5,358.5,363.0,31291,ARS
2021-07-02,363.5,369.5,356.0,365.0,11030,ARS
2021-07-05,356.0,369.5,356.0,368.0,2840,ARS
2021-07-06,367.0,367.0,356.0,356.0,7012,ARS
2021-07-07,359.0,359.0,340.5,345.5,6312,ARS
2021-07-08,347.0,356.0,345.0,350.0,6523,ARS
2021-07-12,351.0,358.0,345.5,352.0,3595,ARS
2021-07-13,352.0,359.0,346.0,353.5,4086,ARS
2021-07-14,359.0,359.0,345.0,346.5,9228,ARS
2021-07-15,343.0,352.0,343.0,350.0,5643,ARS
2021-07-16,350.0,358.0,344.0,355.0,7470,ARS
2021-07-19,355.0,368.0,344.0,363.0,16487,ARS
2021-07-20,365.0,365.0,355.0,363.0,13276,ARS
2021-07-21,363.0,376.0,360.0,376.0,18453,ARS
2021-07-22,367.0,378.0,361.0,362.5,10055,ARS
2021-07-23,370.0,375.0,352.5,352.5,9342,ARS
2021-07-26,355.0,365.0,346.0,349.0,10658,ARS
2021-07-27,355.0,355.0,335.5,340.0,15465,ARS
2021-07-28,339.0,347.0,326.0,338.5,194593,ARS
2021-07-29,342.0,345.0,335.0,345.0,20421,ARS
2021-07-30,349.5,349.5,327.0,339.0,17281,ARS
2021-08-02,338.5,342.0,333.0,333.5,8912,ARS
2021-08-03,333.0,339.0,326.5,334.5,15016,ARS
2021-08-04,330.0,334.0,323.0,329.5,12533,ARS
2021-08-05,329.5,334.0,328.5,332.0,6715,ARS
2021-08-06,333.0,340.0,326.0,335.0,16024,ARS
2021-08-09,328.0,335.0,322.0,328.0,7241,ARS
2021-08-10,328.5,336.0,321.0,332.0,24352,ARS
2021-08-11,334.5,370.0,332.0,347.5,58561,ARS
2021-08-12,348.0,363.0,345.0,359.0,62258,ARS
2021-08-13,353.0,365.0,350.0,365.0,15102,ARS
2021-08-17,360.0,364.0,345.5,356.0,20998,ARS
2021-08-18,365.0,365.5,350.0,360.0,25591,ARS
2021-08-19,357.0,361.0,349.0,358.0,30173,ARS
2021-08-20,358.0,368.5,352.5,366.0,29011,ARS
