Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,18.9,19.0,18.05,19.0,63580,ARS
2021-05-14,19.0,20.2,19.0,20.0,227624,ARS
2021-05-17,20.0,20.2,19.15,20.2,48607,ARS
2021-05-18,20.0,20.0,19.05,19.7,32133,ARS
2021-05-19,19.6,19.6,18.6,18.8,20909,ARS
2021-05-20,19.05,19.5,18.7,19.0,54251,ARS
2021-05-21,19.35,19.35,18.6,18.9,14554,ARS
2021-05-26,18.55,19.75,18.3,19.75,32382,ARS
2021-05-27,19.8,21.5,19.5,21.0,195985,ARS
2021-05-28,20.0,21.8,20.0,21.3,156121,ARS
2021-05-31,20.9,21.8,20.9,21.6,237240,ARS
2021-06-01,21.5,22.45,21.5,22.25,147879,ARS
2021-06-02,22.45,22.65,22.05,22.6,121686,ARS
2021-06-03,22.0,23.0,21.55,22.95,80706,ARS
2021-06-04,22.3,25.1,22.25,25.0,433436,ARS
2021-06-07,25.5,27.0,25.15,26.45,471639,ARS
2021-06-08,26.2,27.2,25.1,26.4,189551,ARS
2021-06-09,27.0,29.2,26.0,29.0,243508,ARS
2021-06-10,29.0,30.45,27.8,27.85,315699,ARS
2021-06-11,27.5,27.75,25.6,27.45,148587,ARS
2021-06-14,27.4,29.7,27.0,28.9,135999,ARS
2021-06-15,29.1,29.9,27.8,29.9,56206,ARS
2021-06-16,30.0,30.9,29.0,30.75,264506,ARS
2021-06-17,31.0,31.0,28.5,30.5,108876,ARS
2021-06-18,29.0,30.5,29.0,29.4,81777,ARS
2021-06-22,29.4,29.5,28.1,29.4,38996,ARS
2021-06-23,29.4,29.8,28.8,29.0,28343,ARS
2021-06-24,29.0,29.0,28.05,28.7,82083,ARS
2021-06-25,28.0,28.4,25.2,28.05,186133,ARS
2021-06-28,28.0,28.0,27.3,27.95,55975,ARS
2021-06-29,28.0,28.0,26.5,26.5,57952,ARS
2021-06-30,26.0,28.0,25.1,28.0,80431,ARS
2021-07-01,28.0,28.0,26.9,27.0,35256,ARS
2021-07-02,28.1,28.4,26.75,28.4,8135,ARS
2021-07-05,29.0,29.5,27.5,28.85,71755,ARS
2021-07-06,28.3,28.3,27.35,28.3,7211,ARS
2021-07-07,27.0,29.0,27.0,29.0,16627,ARS
2021-07-08,28.9,29.0,27.5,28.5,38523,ARS
2021-07-12,27.75,28.95,27.7,28.9,36623,ARS
2021-07-13,27.7,28.9,27.7,28.85,13156,ARS
2021-07-14,29.3,29.3,28.25,28.95,16034,ARS
2021-07-15,29.0,29.4,28.1,28.4,5954,ARS
2021-07-16,27.6,28.1,27.5,27.5,30411,ARS
2021-07-19,27.5,27.5,26.3,26.75,68980,ARS
2021-07-20,26.0,27.0,26.0,26.7,25900,ARS
2021-07-21,27.65,28.4,27.0,27.8,11730,ARS
2021-07-22,28.5,28.7,27.5,27.9,2268,ARS
2021-07-23,28.95,29.0,27.0,27.95,16772,ARS
2021-07-26,27.5,28.5,27.15,28.0,25946,ARS
2021-07-27,28.5,28.5,27.3,28.0,13565,ARS
2021-07-28,28.9,28.9,27.35,28.0,19347,ARS
2021-07-29,28.0,28.5,27.15,27.4,25423,ARS
2021-07-30,27.35,27.4,27.0,27.3,6897,ARS
2021-08-02,28.4,28.4,26.5,26.75,104366,ARS
2021-08-03,26.5,28.0,26.0,27.0,52969,ARS
2021-08-04,26.5,27.0,26.5,27.0,92140,ARS
2021-08-05,28.0,28.0,27.0,27.0,3595,ARS
2021-08-06,26.9,27.0,26.3,26.8,56515,ARS
2021-08-09,26.5,26.75,26.0,26.7,7673,ARS
2021-08-10,27.7,27.7,26.2,27.65,50814,ARS
2021-08-11,27.85,28.6,27.0,28.3,76270,ARS
2021-08-12,27.55,28.3,27.55,28.2,29641,ARS
2021-08-13,28.6,28.75,27.6,27.6,15848,ARS
2021-08-17,27.6,27.6,27.0,27.5,9049,ARS
2021-08-18,27.5,27.5,26.5,27.0,19317,ARS
2021-08-19,28.0,28.0,26.0,26.0,4174,ARS
2021-08-20,26.0,27.0,26.0,27.0,17500,ARS
