Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,10.0,10.0,10.0,10.0,2134,ARS
2021-07-05,11.0,11.0,11.0,11.0,1,ARS
2021-07-06,11.0,11.0,10.5,10.5,681,ARS
2021-07-07,10.7,10.7,10.7,10.7,500,ARS
2021-07-12,10.0,11.0,10.0,11.0,700,ARS
2021-07-13,11.0,11.0,11.0,11.0,271,ARS
2021-07-16,11.5,11.5,11.5,11.5,200,ARS
2021-07-19,11.5,11.5,11.5,11.5,1,ARS
2021-07-20,11.5,11.5,11.5,11.5,1,ARS
2021-07-22,11.5,11.5,11.5,11.5,354,ARS
2021-07-27,11.5,11.5,11.5,11.5,2,ARS
2021-07-29,11.4,11.4,11.4,11.4,956,ARS
2021-07-30,11.45,11.45,11.45,11.45,7,ARS
2021-08-02,11.5,11.5,11.5,11.5,2842,ARS
2021-08-03,10.95,10.95,10.95,10.95,49,ARS
2021-08-04,10.45,10.45,10.45,10.45,1122,ARS
2021-08-05,11.0,11.0,11.0,11.0,2702,ARS
2021-08-09,12.0,12.0,12.0,12.0,85,ARS
2021-08-10,11.5,11.5,11.5,11.5,1029,ARS
2021-08-11,11.5,11.5,10.5,10.5,872,ARS
2021-08-12,10.2,10.6,10.2,10.6,7955,ARS
2021-08-13,10.7,10.9,10.5,10.5,1582,ARS
2021-08-17,10.5,10.5,10.5,10.5,50,ARS
2021-08-19,10.5,10.5,10.5,10.5,50,ARS
