Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,94.0,98.0,93.1,96.0,90,ARS
2021-07-05,95.1,95.5,92.0,95.0,555,ARS
2021-07-06,93.0,94.5,90.0,94.0,4394,ARS
2021-07-07,94.0,95.0,89.3,95.0,134,ARS
2021-07-08,91.0,96.0,91.0,96.0,3683,ARS
2021-07-12,98.0,100.0,93.5,93.5,3719,ARS
2021-07-13,93.5,93.5,93.5,93.5,1109,ARS
2021-07-14,93.2,95.0,93.2,95.0,2346,ARS
2021-07-15,93.2,94.0,93.2,94.0,1210,ARS
2021-07-16,94.0,95.0,94.0,95.0,85,ARS
2021-07-19,93.0,95.0,93.0,95.0,1143,ARS
2021-07-20,93.5,100.0,93.5,100.0,120,ARS
2021-07-21,100.0,100.0,96.0,100.0,906,ARS
2021-07-22,98.0,98.5,96.0,98.5,562,ARS
2021-07-23,96.0,98.5,96.0,97.5,167,ARS
2021-07-26,97.5,99.0,97.5,99.0,415,ARS
2021-07-27,100.0,100.0,96.0,96.0,333,ARS
2021-07-28,100.0,100.0,98.5,98.5,336,ARS
2021-07-29,98.5,99.0,95.0,98.5,1318,ARS
2021-07-30,95.0,97.5,95.0,97.5,2567,ARS
2021-08-02,98.0,98.0,97.0,97.0,2440,ARS
2021-08-03,98.0,99.0,97.0,99.0,1277,ARS
2021-08-04,98.0,98.0,98.0,98.0,100,ARS
2021-08-05,97.5,97.5,95.0,95.0,1065,ARS
2021-08-06,96.0,96.0,92.0,94.0,3997,ARS
2021-08-09,92.1,102.0,92.1,102.0,5349,ARS
2021-08-10,97.5,100.0,97.4,99.0,1789,ARS
2021-08-11,101.0,101.0,97.5,100.0,1247,ARS
2021-08-12,95.0,100.0,95.0,99.0,2144,ARS
2021-08-13,99.0,100.0,99.0,100.0,224,ARS
2021-08-17,98.0,100.0,98.0,100.0,10911,ARS
2021-08-18,99.0,99.0,98.0,99.0,797,ARS
2021-08-19,100.0,100.0,95.0,97.5,7901,ARS
2021-08-20,97.3,97.3,97.3,97.3,47,ARS
