Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,27.1,27.8,26.55,27.5,237929,ARS
2021-05-14,27.5,28.3,27.3,27.8,211252,ARS
2021-05-17,28.0,28.3,27.5,28.0,100452,ARS
2021-05-18,28.9,28.9,27.5,27.9,122624,ARS
2021-05-19,27.7,28.1,27.4,27.65,90914,ARS
2021-05-20,27.4,28.2,27.4,27.65,387834,ARS
2021-05-21,27.75,28.7,27.75,28.6,368573,ARS
2021-05-26,29.0,30.35,29.0,30.15,493181,ARS
2021-05-27,30.4,31.0,30.2,30.95,298758,ARS
2021-05-28,31.4,31.45,30.7,31.3,232660,ARS
2021-05-31,31.25,31.5,30.0,30.7,84115,ARS
2021-06-01,31.0,32.0,31.0,31.45,258354,ARS
2021-06-02,31.95,32.9,31.25,32.65,113139,ARS
2021-06-03,32.65,34.5,32.25,34.5,302203,ARS
2021-06-04,34.3,36.55,34.0,35.6,557071,ARS
2021-06-07,36.55,41.8,35.9,41.1,1168633,ARS
2021-06-08,41.5,42.2,39.0,42.2,424354,ARS
2021-06-09,42.1,46.7,41.75,45.75,840655,ARS
2021-06-10,46.8,48.25,41.6,41.8,1074268,ARS
2021-06-11,42.0,42.5,39.7,42.25,602569,ARS
2021-06-14,44.05,45.2,42.0,43.5,555221,ARS
2021-06-15,44.0,44.1,41.8,42.7,132186,ARS
2021-06-16,42.0,43.3,41.95,42.6,146274,ARS
2021-06-17,43.2,43.2,41.5,41.8,225847,ARS
2021-06-18,42.0,42.0,40.1,40.75,172929,ARS
2021-06-22,40.0,40.75,38.1,40.7,206832,ARS
2021-06-23,41.1,42.5,41.05,41.45,135588,ARS
2021-06-24,42.0,43.2,41.65,41.95,157336,ARS
2021-06-25,39.9,46.0,39.2,45.0,391657,ARS
2021-06-28,42.5,42.5,40.5,40.6,198247,ARS
2021-06-29,40.0,40.6,38.5,39.0,372714,ARS
2021-06-30,39.0,40.2,37.0,39.7,242704,ARS
2021-07-01,40.3,41.3,39.35,39.65,99514,ARS
2021-07-02,40.0,40.9,37.4,39.3,368257,ARS
2021-07-05,38.75,39.0,38.0,38.8,170519,ARS
2021-07-06,39.0,39.35,37.3,37.9,217173,ARS
2021-07-07,38.0,38.55,36.3,37.45,274464,ARS
2021-07-08,38.0,38.0,36.15,36.85,158861,ARS
2021-07-12,37.55,38.0,36.8,38.0,156299,ARS
2021-07-13,38.5,39.2,36.9,38.4,71473,ARS
2021-07-14,38.4,38.75,37.85,38.7,98770,ARS
2021-07-15,38.7,38.7,36.9,38.0,65363,ARS
2021-07-16,38.0,38.25,37.0,37.6,230692,ARS
2021-07-19,37.5,37.5,36.1,36.65,106101,ARS
2021-07-20,36.4,38.0,36.4,37.45,56271,ARS
2021-07-21,38.0,39.3,37.4,39.0,220629,ARS
2021-07-22,39.0,39.2,37.95,38.35,189202,ARS
2021-07-23,38.45,39.0,38.4,38.95,195124,ARS
2021-07-26,38.85,39.25,38.25,38.7,57400,ARS
2021-07-27,37.4,39.0,37.4,38.75,70076,ARS
2021-07-28,39.2,39.2,38.5,38.9,32543,ARS
2021-07-29,39.0,40.5,38.3,39.95,133776,ARS
2021-07-30,40.0,40.75,38.95,39.0,63644,ARS
2021-08-02,40.0,40.5,38.95,40.25,129209,ARS
2021-08-03,39.8,41.4,39.25,41.0,68028,ARS
2021-08-04,41.0,41.0,39.75,39.75,47757,ARS
2021-08-05,41.0,41.0,39.3,40.0,82156,ARS
2021-08-06,40.0,40.85,39.5,40.3,130585,ARS
2021-08-09,40.3,40.45,39.6,39.8,29589,ARS
2021-08-10,40.3,40.8,38.15,40.8,46917,ARS
2021-08-11,40.8,41.05,40.45,41.0,142342,ARS
2021-08-12,40.0,41.2,39.8,40.8,78039,ARS
2021-08-13,41.5,41.5,40.0,41.25,68796,ARS
2021-08-17,41.25,42.55,40.55,41.7,154017,ARS
2021-08-18,43.0,43.0,40.7,41.1,121854,ARS
2021-08-19,41.1,42.0,39.7,42.0,343010,ARS
2021-08-20,42.0,42.0,40.15,40.35,78613,ARS
