Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,8.2,8.2,8.1,8.2,3134,ARS
2021-07-05,8.2,8.2,8.2,8.2,5003,ARS
2021-07-06,8.5,8.5,8.5,8.5,232,ARS
2021-07-07,8.5,8.5,8.5,8.5,5898,ARS
2021-07-08,8.5,8.5,8.5,8.5,103,ARS
2021-07-12,8.5,8.9,8.5,8.9,6537,ARS
2021-07-13,9.08,9.08,8.9,8.9,21075,ARS
2021-07-14,9.0,9.0,8.8,9.0,597,ARS
2021-07-15,9.19,9.19,9.19,9.19,29815,ARS
2021-07-16,9.1,9.19,9.1,9.19,3638,ARS
2021-07-19,8.9,8.9,8.9,8.9,5000,ARS
2021-07-20,8.9,8.9,8.9,8.9,1,ARS
2021-07-22,9.0,9.0,9.0,9.0,3010,ARS
2021-07-23,8.81,8.81,8.81,8.81,20773,ARS
2021-07-26,9.19,9.19,8.9,8.9,2095,ARS
2021-07-27,8.89,8.9,8.89,8.9,11798,ARS
2021-07-28,8.75,9.0,8.75,9.0,2002,ARS
2021-07-29,9.0,9.0,8.9,8.9,1114,ARS
2021-07-30,8.9,8.9,8.9,8.9,100,ARS
2021-08-02,8.9,9.0,8.9,9.0,1004,ARS
2021-08-03,8.81,9.0,8.81,9.0,27749,ARS
2021-08-04,9.2,9.2,9.2,9.2,123,ARS
2021-08-06,8.75,9.15,8.75,9.15,3632,ARS
2021-08-09,9.0,9.0,9.0,9.0,3,ARS
2021-08-10,9.0,9.0,9.0,9.0,10,ARS
2021-08-11,9.0,9.0,9.0,9.0,1237,ARS
2021-08-12,9.1,9.1,9.1,9.1,5,ARS
2021-08-13,9.2,9.2,9.2,9.2,1000,ARS
2021-08-17,8.8,9.14,8.8,9.14,9012,ARS
2021-08-18,9.15,9.15,9.15,9.15,102,ARS
2021-08-20,9.14,9.14,9.14,9.14,50,ARS
