Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,20.4,20.4,19.9,20.4,6020,ARS
2021-07-05,20.5,20.5,20.4,20.4,8290,ARS
2021-07-06,20.4,20.4,20.0,20.4,16819,ARS
2021-07-07,20.45,20.45,20.35,20.35,1999,ARS
2021-07-08,20.85,21.8,20.85,21.8,171557,ARS
2021-07-12,21.85,22.45,21.85,22.45,6928,ARS
2021-07-13,22.45,22.45,22.4,22.45,10800,ARS
2021-07-14,22.5,22.5,22.5,22.5,4847,ARS
2021-07-15,22.5,22.5,22.45,22.45,10238,ARS
2021-07-16,22.3,23.0,22.3,23.0,77023,ARS
2021-07-19,23.55,23.7,23.55,23.7,29589,ARS
2021-07-20,23.7,23.7,23.6,23.6,68176,ARS
2021-07-21,23.7,23.7,23.7,23.7,31524,ARS
2021-07-22,23.7,23.7,23.7,23.7,10964,ARS
2021-07-23,23.7,23.7,23.6,23.7,40518,ARS
2021-07-26,23.7,23.7,23.7,23.7,175129,ARS
2021-07-27,23.7,23.95,23.7,23.95,58560,ARS
2021-07-28,23.7,23.75,23.7,23.75,19095,ARS
2021-07-29,24.0,24.0,23.8,24.0,2791,ARS
2021-07-30,23.95,23.95,23.95,23.95,990,ARS
2021-08-02,23.7,23.8,23.7,23.75,8676,ARS
2021-08-03,23.8,23.8,23.75,23.8,29537,ARS
2021-08-04,23.8,23.8,23.75,23.8,14972,ARS
2021-08-05,23.8,23.85,23.8,23.8,85454,ARS
2021-08-06,23.8,23.9,23.8,23.9,14070,ARS
2021-08-09,24.0,24.0,23.85,23.85,74822,ARS
2021-08-10,24.0,24.0,23.8,23.8,40510,ARS
2021-08-11,23.85,24.0,23.85,24.0,114350,ARS
2021-08-12,24.0,24.05,24.0,24.05,26565,ARS
2021-08-13,24.0,24.15,24.0,24.15,47977,ARS
2021-08-17,24.15,24.2,24.15,24.2,9837,ARS
2021-08-18,24.2,24.2,24.2,24.2,23039,ARS
2021-08-19,24.2,24.2,24.15,24.15,29433,ARS
2021-08-20,24.15,24.25,24.15,24.25,71961,ARS
