Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-14,27.0,27.0,26.85,27.0,5251,ARS
2021-05-17,26.0,26.0,26.0,26.0,1,ARS
2021-05-18,27.05,27.15,27.05,27.15,4097,ARS
2021-05-19,27.05,27.05,27.05,27.05,198,ARS
2021-05-26,29.0,29.0,29.0,29.0,100,ARS
2021-05-27,29.0,29.0,29.0,29.0,4900,ARS
2021-05-28,29.1,29.35,29.1,29.1,2428,ARS
2021-05-31,29.0,29.0,29.0,29.0,2902,ARS
2021-06-01,31.0,31.0,31.0,31.0,35,ARS
2021-06-02,31.05,31.05,31.05,31.05,1736,ARS
2021-06-03,31.05,31.05,31.05,31.05,649,ARS
2021-06-04,31.05,31.05,31.05,31.05,100,ARS
2021-06-07,31.0,33.7,31.0,33.05,3275,ARS
2021-06-08,34.0,36.55,34.0,36.55,882,ARS
2021-06-09,38.0,39.0,38.0,39.0,687,ARS
2021-06-10,39.25,39.25,39.25,39.25,1487,ARS
2021-06-11,39.0,39.0,39.0,39.0,500,ARS
2021-06-14,39.0,39.0,39.0,39.0,60,ARS
2021-06-16,38.0,38.0,38.0,38.0,418,ARS
2021-06-17,38.05,39.4,38.05,39.4,21,ARS
2021-06-18,40.0,40.0,40.0,40.0,400,ARS
2021-06-22,39.0,39.0,39.0,39.0,276,ARS
2021-06-25,36.0,36.5,36.0,36.5,6958,ARS
2021-06-28,39.5,39.5,39.0,39.0,617,ARS
2021-06-29,38.5,38.5,35.0,35.0,5,ARS
2021-06-30,35.0,35.05,35.0,35.05,3131,ARS
2021-07-01,38.5,38.5,38.5,38.5,20,ARS
2021-07-02,38.1,38.1,38.1,38.1,3,ARS
2021-07-05,37.0,37.0,37.0,37.0,2572,ARS
2021-07-06,38.1,38.1,38.1,38.1,5,ARS
2021-07-07,38.0,38.0,37.95,37.95,5,ARS
2021-07-08,41.0,41.0,41.0,41.0,20,ARS
2021-07-12,40.0,41.0,40.0,41.0,3290,ARS
2021-07-15,41.0,41.0,41.0,41.0,1698,ARS
2021-07-16,38.05,41.0,38.05,41.0,1083,ARS
2021-07-19,38.0,40.2,38.0,40.2,2002,ARS
2021-07-22,38.0,39.0,38.0,39.0,612,ARS
2021-07-23,39.5,39.55,39.5,39.5,7528,ARS
2021-07-26,39.8,39.8,39.8,39.8,10,ARS
2021-07-27,38.0,38.0,38.0,38.0,1581,ARS
2021-07-28,40.0,40.0,37.5,37.5,90,ARS
2021-07-29,37.5,38.0,37.5,38.0,3010,ARS
2021-07-30,37.95,37.95,37.95,37.95,4,ARS
2021-08-03,37.0,37.0,37.0,37.0,10,ARS
2021-08-04,35.0,36.3,35.0,36.3,1497,ARS
2021-08-06,36.3,36.3,36.3,36.3,2,ARS
2021-08-09,36.0,36.0,36.0,36.0,100,ARS
2021-08-10,36.75,36.75,36.75,36.75,30,ARS
2021-08-11,37.5,37.5,37.5,37.5,622,ARS
2021-08-13,35.9,35.9,35.9,35.9,9,ARS
2021-08-17,35.0,35.0,35.0,35.0,1600,ARS
2021-08-18,38.5,38.5,38.5,38.5,119,ARS
2021-08-19,38.5,41.0,38.5,41.0,37,ARS
2021-08-20,41.0,41.0,41.0,41.0,7,ARS
