Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,42.3,44.5,42.3,44.4,35829,ARS
2021-05-14,45.3,48.5,45.0,48.0,12994,ARS
2021-05-17,48.0,52.5,47.0,51.5,5349,ARS
2021-05-18,52.0,58.5,52.0,58.5,8743,ARS
2021-05-19,56.0,62.5,55.0,61.9,7728,ARS
2021-05-20,61.9,64.0,59.75,61.4,3732,ARS
2021-05-21,62.0,64.7,57.0,64.0,3810,ARS
2021-05-26,65.0,65.0,60.0,64.0,6167,ARS
2021-05-27,61.8,62.75,58.0,58.0,72592,ARS
2021-05-28,59.0,59.0,55.0,57.0,19567,ARS
2021-05-31,57.0,63.5,57.0,63.5,2438,ARS
2021-06-01,63.0,63.0,60.0,61.75,4978,ARS
2021-06-02,62.5,62.5,58.0,59.6,9068,ARS
2021-06-03,59.6,59.9,58.0,59.7,368,ARS
2021-06-04,60.65,70.5,58.7,68.6,89928,ARS
2021-06-07,70.0,71.25,67.0,67.0,6465,ARS
2021-06-08,68.0,68.0,62.3,63.5,7810,ARS
2021-06-09,63.55,65.0,62.9,65.0,726,ARS
2021-06-10,65.2,67.0,64.0,66.0,3260,ARS
2021-06-11,66.0,66.0,64.3,65.0,490,ARS
2021-06-14,66.0,66.0,63.0,64.5,1245,ARS
2021-06-15,67.2,67.2,63.0,64.9,1989,ARS
2021-06-16,65.0,65.9,64.9,65.7,4398,ARS
2021-06-17,66.0,67.0,62.0,65.0,4596,ARS
2021-06-18,64.4,67.2,63.0,65.0,640,ARS
2021-06-22,65.0,66.0,63.0,66.0,813,ARS
2021-06-23,65.5,67.2,64.6,66.5,269,ARS
2021-06-24,67.0,67.0,64.0,66.3,151,ARS
2021-06-25,66.2,66.2,62.2,64.5,666,ARS
2021-06-28,63.5,66.3,63.5,66.0,634,ARS
2021-06-29,66.0,66.0,64.0,65.5,90,ARS
2021-06-30,67.1,67.1,63.7,66.0,2592,ARS
2021-07-01,65.0,65.0,63.7,64.5,312,ARS
2021-07-02,64.0,67.0,62.3,64.5,1095,ARS
2021-07-05,67.0,67.0,64.5,66.0,4377,ARS
2021-07-06,66.5,66.5,65.0,65.0,876,ARS
2021-07-07,67.2,67.2,64.6,65.45,3290,ARS
2021-07-08,67.2,67.2,61.0,63.5,1891,ARS
2021-07-12,63.0,63.5,63.0,63.5,1104,ARS
2021-07-13,63.3,64.9,62.5,63.5,1184,ARS
2021-07-14,64.9,64.9,62.0,62.7,2707,ARS
2021-07-15,63.5,64.5,62.0,62.4,363,ARS
2021-07-16,63.0,63.5,63.0,63.5,698,ARS
2021-07-19,63.0,63.0,61.0,63.0,639,ARS
2021-07-20,62.5,63.2,62.0,63.2,32,ARS
2021-07-21,64.5,65.0,62.0,65.0,6366,ARS
2021-07-22,67.0,67.0,65.0,65.5,173,ARS
2021-07-23,64.5,68.0,64.5,67.0,2273,ARS
2021-07-26,67.0,69.8,67.0,67.5,534,ARS
2021-07-27,65.5,67.2,62.5,65.0,1768,ARS
2021-07-28,67.5,67.5,62.5,65.0,5984,ARS
2021-07-29,64.05,67.0,62.4,67.0,2217,ARS
2021-07-30,66.5,69.0,65.0,69.0,2003,ARS
2021-08-02,68.25,70.0,68.0,69.3,556,ARS
2021-08-03,71.2,71.2,69.3,70.0,3231,ARS
2021-08-04,70.65,71.0,67.5,69.0,2753,ARS
2021-08-05,70.0,71.2,70.0,70.0,1643,ARS
2021-08-06,70.0,70.0,67.5,69.0,1018,ARS
2021-08-09,70.0,73.0,70.0,70.5,2704,ARS
2021-08-10,72.0,72.0,68.6,70.5,835,ARS
2021-08-11,71.0,72.9,68.7,72.0,3029,ARS
2021-08-12,70.0,70.0,67.0,69.0,6231,ARS
2021-08-13,69.2,70.0,67.5,70.0,130,ARS
2021-08-17,69.6,70.0,68.0,70.0,2024,ARS
2021-08-18,68.5,70.0,68.5,69.95,27,ARS
2021-08-19,69.0,69.95,66.5,69.95,320,ARS
2021-08-20,68.0,68.0,66.7,68.0,350,ARS
