Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,145.5,148.45,142.7,147.5,1573940,ARS
2021-07-05,149.5,151.5,148.15,150.6,722868,ARS
2021-07-06,149.0,149.0,144.05,145.6,1342295,ARS
2021-07-07,145.0,146.45,143.2,145.5,1154451,ARS
2021-07-08,144.3,144.5,142.05,142.2,1250867,ARS
2021-07-12,142.95,148.5,142.0,148.4,1776673,ARS
2021-07-13,145.45,148.2,144.7,147.75,1826674,ARS
2021-07-14,149.5,150.0,146.1,147.8,1747108,ARS
2021-07-15,147.7,148.75,144.55,145.0,1167630,ARS
2021-07-16,144.85,144.95,142.0,143.0,670592,ARS
2021-07-19,141.0,141.6,138.75,140.4,1629368,ARS
2021-07-20,139.0,144.0,138.35,143.0,1296224,ARS
2021-07-21,146.1,150.2,146.1,148.7,1420084,ARS
2021-07-22,148.0,148.0,145.4,148.0,1115394,ARS
2021-07-23,146.95,147.0,144.0,144.95,1017987,ARS
2021-07-26,147.05,148.5,146.0,148.35,886161,ARS
2021-07-27,146.75,147.8,146.25,147.45,822841,ARS
2021-07-28,148.5,149.5,147.55,149.2,1167820,ARS
2021-07-29,148.9,150.0,146.4,148.5,1541161,ARS
2021-07-30,146.85,147.0,142.5,142.7,4351847,ARS
2021-08-02,142.6,144.9,142.1,142.4,1082154,ARS
2021-08-03,142.65,146.0,140.3,145.95,1357974,ARS
2021-08-04,146.95,146.95,143.1,143.5,919793,ARS
2021-08-05,147.4,147.4,144.3,145.5,1028818,ARS
2021-08-06,145.55,147.15,145.05,145.5,767569,ARS
2021-08-09,144.95,145.25,143.95,144.5,404321,ARS
2021-08-10,144.05,151.6,144.05,151.4,2191307,ARS
2021-08-11,149.9,156.15,148.35,155.85,2906965,ARS
2021-08-12,154.75,156.85,152.8,152.8,1205547,ARS
2021-08-13,150.0,151.5,148.0,150.6,1267439,ARS
2021-08-17,147.5,151.5,146.7,148.45,1006449,ARS
2021-08-18,147.0,149.6,146.4,147.0,1865770,ARS
2021-08-19,146.5,149.7,145.9,149.25,1497064,ARS
2021-08-20,151.5,154.0,151.2,153.45,1645825,ARS
