Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-14,33.0,33.0,33.0,33.0,1,ARS
2021-05-17,33.65,33.65,33.65,33.65,29,ARS
2021-05-18,33.65,33.65,33.65,33.65,56,ARS
2021-05-20,33.5,33.5,33.5,33.5,17,ARS
2021-05-26,35.0,35.0,35.0,35.0,330,ARS
2021-05-27,36.0,36.0,35.0,35.0,39,ARS
2021-05-28,34.95,34.95,34.0,34.0,1831,ARS
2021-05-31,35.5,35.5,35.5,35.5,1,ARS
2021-06-02,35.4,35.4,35.0,35.0,128,ARS
2021-06-03,35.0,35.0,35.0,35.0,875,ARS
2021-06-04,35.0,35.0,35.0,35.0,633,ARS
2021-06-07,34.0,34.1,34.0,34.1,416,ARS
2021-06-08,34.0,34.0,34.0,34.0,512,ARS
2021-06-09,35.0,35.0,35.0,35.0,2,ARS
2021-06-10,34.5,35.5,34.5,35.5,2013,ARS
2021-06-11,35.0,35.5,35.0,35.5,114,ARS
2021-06-14,34.0,36.5,34.0,36.5,329,ARS
2021-06-15,36.5,36.5,36.5,36.5,268,ARS
2021-06-16,37.0,38.0,37.0,38.0,105,ARS
2021-06-17,38.0,38.5,38.0,38.5,738,ARS
2021-06-18,38.0,38.2,38.0,38.2,191,ARS
2021-06-22,38.2,38.2,38.2,38.2,7,ARS
2021-06-23,38.2,38.2,38.2,38.2,81,ARS
2021-06-29,37.9,37.9,37.9,37.9,1,ARS
2021-07-01,37.9,37.9,37.9,37.9,5,ARS
2021-07-02,37.9,37.9,37.9,37.9,1001,ARS
2021-07-05,37.7,40.5,37.7,40.5,606,ARS
2021-07-06,40.1,42.0,40.1,42.0,12,ARS
2021-07-07,41.0,41.0,41.0,41.0,1003,ARS
2021-07-12,42.1,42.1,42.1,42.1,3,ARS
2021-07-13,42.1,42.1,42.1,42.1,1,ARS
2021-07-14,42.0,42.0,39.1,41.95,803,ARS
2021-07-15,45.0,45.0,44.9,44.9,206,ARS
2021-07-16,44.9,44.9,44.9,44.9,900,ARS
2021-07-19,45.55,45.55,45.55,45.55,2342,ARS
2021-07-20,48.0,48.0,46.0,46.0,400,ARS
2021-07-21,46.0,46.0,46.0,46.0,150,ARS
2021-07-22,46.0,46.0,46.0,46.0,55,ARS
2021-07-23,49.0,49.0,49.0,49.0,2204,ARS
2021-07-26,49.5,49.5,49.5,49.5,500,ARS
2021-07-27,49.5,49.5,49.5,49.5,899,ARS
2021-07-28,50.0,50.0,49.5,49.5,1010,ARS
2021-07-30,49.5,49.5,49.5,49.5,5,ARS
2021-08-02,49.5,49.5,49.5,49.5,1600,ARS
2021-08-04,49.5,49.5,49.5,49.5,100,ARS
2021-08-05,49.55,49.55,49.55,49.55,150,ARS
2021-08-06,49.5,49.5,49.5,49.5,240,ARS
2021-08-09,50.0,50.0,50.0,50.0,268,ARS
2021-08-10,49.0,49.0,49.0,49.0,500,ARS
2021-08-11,49.5,50.0,49.5,50.0,725,ARS
2021-08-12,50.0,51.0,50.0,51.0,501,ARS
2021-08-13,53.0,53.0,53.0,53.0,500,ARS
2021-08-17,54.0,54.0,54.0,54.0,500,ARS
2021-08-18,49.0,50.0,49.0,50.0,133,ARS
2021-08-19,52.0,52.0,52.0,52.0,500,ARS
2021-08-20,50.0,50.5,50.0,50.5,2500,ARS
