Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,143.0,150.0,143.0,150.0,729,ARS
2021-05-14,150.0,150.0,150.0,150.0,953,ARS
2021-05-17,150.0,165.0,150.0,165.0,446,ARS
2021-05-18,155.0,155.0,154.0,154.0,35,ARS
2021-05-19,160.0,160.0,156.75,156.75,131,ARS
2021-05-20,164.0,164.0,160.0,160.0,277,ARS
2021-05-21,160.0,160.0,160.0,160.0,109,ARS
2021-05-26,165.0,165.0,159.0,159.0,33,ARS
2021-05-27,158.0,158.0,155.0,155.0,973,ARS
2021-05-28,155.0,155.0,155.0,155.0,74,ARS
2021-05-31,150.0,150.0,150.0,150.0,93,ARS
2021-06-01,150.0,150.0,145.0,150.0,166,ARS
2021-06-02,150.0,150.0,150.0,150.0,211,ARS
2021-06-03,150.0,160.0,150.0,160.0,94,ARS
2021-06-04,152.0,152.0,152.0,152.0,1022,ARS
2021-06-07,152.0,154.5,152.0,154.25,527,ARS
2021-06-08,154.0,154.0,153.0,153.0,159,ARS
2021-06-09,157.0,157.0,150.5,150.5,560,ARS
2021-06-10,160.0,164.0,155.0,155.0,358,ARS
2021-06-11,160.0,160.0,160.0,160.0,94,ARS
2021-06-14,164.75,164.75,162.0,162.0,291,ARS
2021-06-15,162.0,162.0,162.0,162.0,45,ARS
2021-06-16,162.0,162.0,160.0,160.0,51,ARS
2021-06-17,155.0,155.0,150.0,150.0,245,ARS
2021-06-18,153.0,153.0,149.75,149.75,912,ARS
2021-06-22,149.0,162.0,149.0,162.0,66,ARS
2021-06-23,162.0,162.0,150.0,150.0,863,ARS
2021-06-24,152.0,155.0,150.0,150.0,19,ARS
2021-06-25,145.0,145.0,140.0,145.0,536,ARS
2021-06-28,145.0,145.0,145.0,145.0,4,ARS
2021-06-29,145.0,145.0,145.0,145.0,707,ARS
2021-06-30,155.0,155.0,155.0,155.0,10,ARS
2021-07-01,155.0,165.0,155.0,165.0,286,ARS
2021-07-02,165.0,165.0,160.0,160.0,133,ARS
2021-07-05,160.0,160.0,159.0,159.0,135,ARS
2021-07-06,164.0,164.0,160.0,160.0,1011,ARS
2021-07-07,152.5,160.0,152.5,160.0,1247,ARS
2021-07-08,159.0,159.0,159.0,159.0,1604,ARS
2021-07-12,159.0,159.0,159.0,159.0,100,ARS
2021-07-13,160.0,163.0,160.0,163.0,211,ARS
2021-07-14,162.25,162.25,162.25,162.25,177,ARS
2021-07-15,162.25,162.25,156.5,157.0,252,ARS
2021-07-16,157.0,157.0,157.0,157.0,537,ARS
2021-07-19,157.0,160.0,157.0,160.0,15,ARS
2021-07-20,160.0,160.0,160.0,160.0,356,ARS
2021-07-21,160.0,160.0,160.0,160.0,1000,ARS
2021-07-22,160.0,164.0,160.0,164.0,118,ARS
2021-07-23,160.0,160.0,160.0,160.0,176,ARS
2021-07-26,160.0,165.0,155.0,165.0,43,ARS
2021-07-27,165.0,165.0,165.0,165.0,68,ARS
2021-07-28,169.0,169.0,165.0,165.0,11,ARS
2021-07-29,170.0,170.0,170.0,170.0,6,ARS
2021-07-30,170.0,170.0,170.0,170.0,33,ARS
2021-08-02,170.0,170.0,165.0,165.0,30,ARS
2021-08-03,165.0,165.0,165.0,165.0,65,ARS
2021-08-04,160.0,160.0,160.0,160.0,117,ARS
2021-08-05,160.0,160.0,159.0,160.0,665,ARS
2021-08-06,160.0,160.0,160.0,160.0,5,ARS
2021-08-09,170.0,170.0,165.0,165.0,236,ARS
2021-08-10,165.0,165.0,165.0,165.0,346,ARS
2021-08-11,160.0,162.0,160.0,162.0,475,ARS
2021-08-12,162.0,162.0,161.0,161.0,97,ARS
2021-08-17,161.0,161.0,160.0,160.0,164,ARS
2021-08-18,155.0,160.0,155.0,160.0,549,ARS
2021-08-19,164.75,164.75,164.5,164.5,74,ARS
2021-08-20,160.0,160.0,157.5,160.0,151,ARS
