Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-05,15.95,15.95,15.95,15.95,1700,ARS
2021-07-07,15.8,15.8,15.8,15.8,2,ARS
2021-07-12,15.7,15.7,15.7,15.7,445,ARS
2021-07-13,16.0,16.0,16.0,16.0,809,ARS
2021-07-14,16.0,16.0,16.0,16.0,1230,ARS
2021-07-15,16.0,16.0,16.0,16.0,11466,ARS
2021-07-16,16.0,16.0,16.0,16.0,3000,ARS
2021-07-19,15.9,16.0,15.9,16.0,15079,ARS
2021-07-20,16.0,16.1,16.0,16.1,909,ARS
2021-07-22,16.1,16.1,16.0,16.0,2186,ARS
2021-07-26,17.0,17.0,17.0,17.0,500,ARS
2021-07-27,17.0,17.0,17.0,17.0,227,ARS
2021-07-30,16.0,16.0,16.0,16.0,2000,ARS
2021-08-02,16.0,16.0,16.0,16.0,62,ARS
2021-08-04,16.0,16.0,16.0,16.0,25,ARS
2021-08-06,16.5,16.5,16.5,16.5,500,ARS
2021-08-10,16.3,16.3,16.3,16.3,5,ARS
2021-08-11,16.3,16.3,16.3,16.3,1,ARS
2021-08-12,16.3,16.3,16.3,16.3,500,ARS
2021-08-17,16.3,16.3,16.25,16.25,2668,ARS
2021-08-18,16.25,16.25,16.25,16.25,1500,ARS
