Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,16.55,16.6,16.1,16.5,543,ARS
2021-05-14,16.2,16.9,16.2,16.9,13975,ARS
2021-05-17,16.4,16.85,16.3,16.8,4138,ARS
2021-05-18,16.8,16.8,15.95,16.5,12599,ARS
2021-05-19,16.0,16.5,16.0,16.5,3936,ARS
2021-05-20,16.4,16.75,16.1,16.5,15072,ARS
2021-05-21,16.7,16.7,16.1,16.5,7673,ARS
2021-05-26,16.65,16.7,16.6,16.7,4211,ARS
2021-05-27,16.7,16.85,16.7,16.8,1903,ARS
2021-05-28,16.65,16.8,16.6,16.7,14891,ARS
2021-05-31,17.05,17.05,16.6,16.7,10044,ARS
2021-06-01,16.6,17.4,16.3,17.3,13612,ARS
2021-06-02,17.5,17.5,16.7,17.4,7336,ARS
2021-06-03,17.4,17.6,17.0,17.5,20229,ARS
2021-06-04,17.15,17.8,16.7,17.55,4451,ARS
2021-06-07,17.85,17.9,17.55,17.75,19273,ARS
2021-06-08,17.3,17.5,17.0,17.5,14154,ARS
2021-06-09,16.9,17.7,16.9,17.7,23017,ARS
2021-06-10,17.7,18.0,17.5,17.55,8897,ARS
2021-06-11,17.2,17.95,17.2,17.4,1663,ARS
2021-06-14,18.0,18.3,17.5,18.3,63448,ARS
2021-06-15,18.55,18.55,18.0,18.0,2481,ARS
2021-06-16,18.6,19.0,18.0,18.5,8528,ARS
2021-06-17,18.9,18.9,18.25,18.45,3419,ARS
2021-06-18,19.0,19.0,17.6,18.75,3289,ARS
2021-06-22,19.0,19.0,17.2,18.15,7172,ARS
2021-06-23,17.4,18.9,17.1,18.7,6049,ARS
2021-06-24,18.65,19.2,18.1,18.7,3134,ARS
2021-06-25,18.0,18.5,17.3,18.4,5903,ARS
2021-06-28,18.4,18.5,17.6,17.8,9569,ARS
2021-06-29,17.5,18.5,17.0,18.5,15129,ARS
2021-06-30,18.0,18.9,17.6,18.5,2725,ARS
2021-07-01,18.4,20.0,18.2,18.85,3981,ARS
2021-07-02,18.75,19.95,17.7,19.0,2357,ARS
2021-07-05,19.1,19.9,18.5,19.0,859,ARS
2021-07-06,18.9,19.1,17.95,18.5,5531,ARS
2021-07-07,19.0,19.0,18.0,18.5,2240,ARS
2021-07-08,18.9,18.9,17.6,18.5,2815,ARS
2021-07-12,19.0,20.0,18.75,19.55,9628,ARS
2021-07-13,19.95,19.95,19.4,19.5,339,ARS
2021-07-14,19.5,19.8,19.0,19.8,24448,ARS
2021-07-15,19.8,19.8,18.95,19.35,12006,ARS
2021-07-16,19.7,19.7,19.65,19.65,698,ARS
2021-07-19,19.45,19.45,18.5,18.7,242,ARS
2021-07-20,18.85,19.0,18.5,19.0,2753,ARS
2021-07-21,18.5,19.7,18.5,19.2,9392,ARS
2021-07-22,19.7,19.7,18.7,19.2,770,ARS
2021-07-23,18.5,19.1,18.5,19.0,7367,ARS
2021-07-26,19.0,19.0,18.95,19.0,16697,ARS
2021-07-27,19.0,19.0,18.7,18.7,7239,ARS
2021-07-28,18.7,19.0,18.7,19.0,17566,ARS
2021-07-29,19.0,19.0,18.6,19.0,3303,ARS
2021-07-30,18.9,19.15,18.9,18.95,3827,ARS
2021-08-02,18.65,18.65,18.1,18.3,1719,ARS
2021-08-03,18.2,18.3,18.0,18.3,40,ARS
2021-08-04,19.0,19.05,18.3,18.3,2384,ARS
2021-08-05,18.3,19.1,18.3,18.35,814,ARS
2021-08-06,18.2,19.4,18.2,19.2,11412,ARS
2021-08-09,19.45,19.45,18.3,18.3,2156,ARS
2021-08-10,19.0,19.0,18.2,18.5,9353,ARS
2021-08-11,18.2,19.5,18.2,19.4,8915,ARS
2021-08-12,19.4,19.4,18.7,19.3,3666,ARS
2021-08-13,18.9,18.9,18.9,18.9,1115,ARS
2021-08-17,18.9,18.9,18.3,18.7,2234,ARS
2021-08-18,18.7,18.7,18.4,18.7,472,ARS
2021-08-19,19.25,19.25,18.0,18.0,592,ARS
2021-08-20,18.25,19.0,18.25,18.4,8647,ARS
