Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,80.32,82.16,80.32,82.04,838,ARS
2021-05-14,82.16,84.97,81.95,81.95,2689,ARS
2021-05-17,82.18,83.81,81.48,82.64,1121,ARS
2021-05-18,86.14,86.14,81.48,82.41,3686,ARS
2021-05-19,82.64,83.58,79.5,82.64,872,ARS
2021-05-20,80.32,84.74,80.32,84.74,3561,ARS
2021-05-21,84.74,85.9,84.74,84.97,8767,ARS
2021-05-26,85.9,87.3,84.97,87.3,6456,ARS
2021-05-27,84.97,87.3,84.97,87.3,485,ARS
2021-05-28,87.18,88.46,85.67,88.35,3381,ARS
2021-05-31,88.46,89.63,84.97,85.55,189,ARS
2021-06-01,86.14,91.26,86.14,91.26,4111,ARS
2021-06-02,93.12,98.94,91.96,98.94,7277,ARS
2021-06-03,98.78,111.74,98.77,104.88,13020,ARS
2021-06-04,107.09,111.28,107.09,107.09,6985,ARS
2021-06-07,106.62,116.4,106.62,116.4,5674,ARS
2021-06-08,116.4,121.06,109.42,112.21,3492,ARS
2021-06-09,111.16,114.07,107.32,111.74,1400,ARS
2021-06-10,111.74,111.74,109.42,109.42,1465,ARS
2021-06-11,108.37,108.37,102.43,102.43,855,ARS
2021-06-14,102.44,109.42,102.44,107.09,3230,ARS
2021-06-15,107.09,111.28,106.04,106.04,387,ARS
2021-06-16,104.99,106.16,102.43,102.66,4678,ARS
2021-06-17,101.27,107.09,98.94,107.09,1924,ARS
2021-06-18,102.43,102.43,97.78,98.94,120,ARS
2021-06-22,101.27,101.27,99.41,101.04,335,ARS
2021-06-23,101.04,105.92,101.04,101.5,172,ARS
2021-06-24,100.1,104.76,100.1,104.76,2049,ARS
2021-06-25,104.76,104.76,101.04,102.43,2990,ARS
2021-06-28,100.59,106.62,100.59,105.46,3153,ARS
2021-06-29,104.76,105.92,104.76,104.99,2556,ARS
2021-06-30,104.99,109.42,104.99,109.07,713,ARS
2021-07-01,109.07,109.07,104.99,105.23,1125,ARS
2021-07-02,105.23,105.92,103.6,104.29,1173,ARS
2021-07-05,104.27,104.76,103.83,103.83,1727,ARS
2021-07-06,103.83,104.76,102.2,102.2,1254,ARS
2021-07-07,101.27,102.2,101.27,101.5,1293,ARS
2021-07-08,101.27,103.6,101.27,103.6,979,ARS
2021-07-12,104.06,106.86,102.43,102.43,4102,ARS
2021-07-13,102.2,107.09,101.73,105.69,2298,ARS
2021-07-14,106.83,106.86,103.6,104.76,3411,ARS
2021-07-15,103.6,104.06,103.6,104.06,481,ARS
2021-07-21,105.0,110.0,102.0,104.0,629,ARS
2021-07-22,110.0,113.0,105.0,107.55,1375,ARS
2021-07-23,110.0,119.0,109.0,118.5,4825,ARS
2021-07-26,116.0,125.0,116.0,123.95,6946,ARS
2021-07-27,127.0,163.0,127.0,158.0,41229,ARS
2021-07-28,158.0,161.95,140.0,147.0,40771,ARS
2021-07-29,147.5,147.5,121.0,123.0,156022,ARS
2021-07-30,124.0,124.0,116.0,120.0,36171,ARS
2021-08-02,112.5,115.0,108.0,109.7,38490,ARS
2021-08-03,109.0,109.4,106.1,108.0,15054,ARS
2021-08-04,107.0,107.5,104.0,105.0,13325,ARS
2021-08-05,105.0,107.0,101.0,103.0,13727,ARS
2021-08-06,101.9,110.0,101.9,104.0,9200,ARS
2021-08-09,106.0,106.0,104.0,105.0,9416,ARS
2021-08-10,108.5,108.5,105.0,107.0,3350,ARS
2021-08-11,108.0,108.0,105.75,107.0,4920,ARS
2021-08-12,105.0,107.25,103.0,103.0,14840,ARS
2021-08-13,103.0,105.0,99.0,102.0,53149,ARS
2021-08-17,105.5,105.5,99.0,103.7,3924,ARS
2021-08-18,103.5,105.25,101.5,102.45,14649,ARS
2021-08-19,102.0,103.5,100.0,100.5,9983,ARS
2021-08-20,100.0,105.0,100.0,104.0,5040,ARS
