Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,59.0,60.0,59.0,59.8,9331,ARS
2021-05-14,59.0,62.9,59.0,62.8,38163,ARS
2021-05-17,62.5,66.0,62.0,65.0,49534,ARS
2021-05-18,65.0,65.0,62.55,62.7,33203,ARS
2021-05-19,63.0,63.0,61.7,62.3,47198,ARS
2021-05-20,62.5,63.9,62.35,63.15,15182,ARS
2021-05-21,63.2,64.0,61.2,61.5,27702,ARS
2021-05-26,61.25,62.0,59.5,61.2,30204,ARS
2021-05-27,60.8,61.8,60.0,60.9,32346,ARS
2021-05-28,63.6,63.7,60.8,62.1,63099,ARS
2021-05-31,62.1,63.75,61.5,63.25,15371,ARS
2021-06-01,64.6,65.0,63.3,65.0,71670,ARS
2021-06-02,65.1,68.0,65.1,67.9,60221,ARS
2021-06-03,68.0,71.5,67.95,71.0,161696,ARS
2021-06-04,71.7,73.7,67.6,67.8,441837,ARS
2021-06-07,67.55,69.75,67.4,69.0,728751,ARS
2021-06-08,69.1,69.8,67.35,67.35,131297,ARS
2021-06-09,67.5,70.0,67.3,69.4,279821,ARS
2021-06-10,68.5,70.0,66.5,66.7,401237,ARS
2021-06-11,67.9,67.95,65.2,66.0,105357,ARS
2021-06-14,67.75,68.9,66.4,68.9,186934,ARS
2021-06-15,68.8,69.0,67.6,68.3,80266,ARS
2021-06-16,68.5,69.5,68.0,68.9,139682,ARS
2021-06-17,68.5,69.5,66.5,68.0,45539,ARS
2021-06-18,68.4,69.4,68.0,69.2,80214,ARS
2021-06-22,69.8,69.8,67.0,69.7,33136,ARS
2021-06-23,69.85,69.85,67.7,68.0,74076,ARS
2021-06-24,68.2,69.0,67.5,68.2,24571,ARS
2021-06-25,65.05,66.5,65.05,66.5,54658,ARS
2021-06-28,66.6,66.6,65.05,65.7,42758,ARS
2021-06-29,67.4,67.4,64.0,65.0,11073,ARS
2021-06-30,65.0,65.75,63.7,65.5,35121,ARS
2021-07-01,67.0,67.0,64.0,64.95,39622,ARS
2021-07-02,66.9,66.9,65.0,66.0,12883,ARS
2021-07-05,66.0,69.0,66.0,68.5,16554,ARS
2021-07-06,68.3,68.85,66.0,68.0,32376,ARS
2021-07-07,68.8,69.2,66.45,67.6,40158,ARS
2021-07-08,68.85,76.0,68.45,76.0,441302,ARS
2021-07-12,78.9,83.1,77.0,78.9,249242,ARS
2021-07-13,80.0,82.3,78.7,81.3,164211,ARS
2021-07-14,80.25,84.4,80.25,82.1,199717,ARS
2021-07-15,83.0,83.5,81.0,82.1,110557,ARS
2021-07-16,82.45,82.45,79.0,80.5,46061,ARS
2021-07-19,78.0,78.1,75.0,77.75,61845,ARS
2021-07-20,76.0,78.5,74.8,78.2,77892,ARS
2021-07-21,79.1,82.7,79.1,82.7,47858,ARS
2021-07-22,82.0,83.0,79.4,81.5,47406,ARS
2021-07-23,82.0,83.0,81.0,81.7,24384,ARS
2021-07-26,81.0,81.7,79.6,81.65,25909,ARS
2021-07-27,81.55,86.8,80.65,86.8,52422,ARS
2021-07-28,86.5,87.0,81.0,83.9,90906,ARS
2021-07-29,82.6,85.5,81.1,81.7,155516,ARS
2021-07-30,81.7,84.0,81.0,81.0,46782,ARS
2021-08-02,82.5,82.5,80.1,80.9,25059,ARS
2021-08-03,80.0,80.0,76.45,79.2,74857,ARS
2021-08-04,78.5,79.0,77.0,77.3,13476,ARS
2021-08-05,79.0,80.6,76.8,77.1,12698,ARS
2021-08-06,79.7,79.7,75.0,75.65,35184,ARS
2021-08-09,75.65,76.8,74.8,74.8,19081,ARS
2021-08-10,74.0,75.9,73.5,75.0,37361,ARS
2021-08-11,74.0,80.0,74.0,78.0,46518,ARS
2021-08-12,78.15,78.15,75.1,77.5,14488,ARS
2021-08-13,75.35,76.75,74.5,74.9,14643,ARS
2021-08-17,74.0,77.0,72.5,73.3,43437,ARS
2021-08-18,73.0,73.0,70.5,70.8,36077,ARS
2021-08-19,71.0,79.2,69.6,79.2,243244,ARS
2021-08-20,76.6,78.6,76.0,77.4,103239,ARS
