Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,39.6,39.6,38.15,39.4,43390,ARS
2021-05-14,39.3,42.0,38.6,42.0,69720,ARS
2021-05-17,42.0,42.0,39.95,40.95,77795,ARS
2021-05-18,41.0,41.3,39.45,40.0,25858,ARS
2021-05-19,40.0,40.0,38.9,39.4,33883,ARS
2021-05-20,40.4,40.4,39.2,39.3,80420,ARS
2021-05-21,40.8,42.4,39.0,39.2,51345,ARS
2021-05-26,39.2,39.8,38.45,39.75,45214,ARS
2021-05-27,40.2,40.7,39.0,39.8,14440,ARS
2021-05-28,39.15,42.5,39.15,42.5,207456,ARS
2021-05-31,42.4,44.5,41.7,44.0,357055,ARS
2021-06-01,44.0,45.9,44.0,45.4,374787,ARS
2021-06-02,45.4,46.95,45.3,46.8,80871,ARS
2021-06-03,46.8,46.8,44.9,46.7,32704,ARS
2021-06-04,46.7,48.45,45.5,48.15,356129,ARS
2021-06-07,48.3,48.95,47.8,48.45,161419,ARS
2021-06-08,49.0,49.0,47.7,48.15,18038,ARS
2021-06-09,48.0,49.45,46.0,48.9,228007,ARS
2021-06-10,48.5,53.0,48.5,52.8,375617,ARS
2021-06-11,52.9,56.4,51.4,55.0,337624,ARS
2021-06-14,55.1,58.0,53.1,55.0,127831,ARS
2021-06-15,55.1,56.0,53.0,54.4,24722,ARS
2021-06-16,54.9,54.9,52.6,53.4,19889,ARS
2021-06-17,53.4,54.8,52.3,52.8,28766,ARS
2021-06-18,52.3,52.9,50.0,52.9,174094,ARS
2021-06-22,52.9,53.5,50.7,53.0,259825,ARS
2021-06-23,54.8,54.8,51.7,52.9,12736,ARS
2021-06-24,54.0,54.5,52.5,54.4,65929,ARS
2021-06-25,52.0,54.0,51.0,54.0,192960,ARS
2021-06-28,53.5,53.5,52.3,53.4,2482,ARS
2021-06-29,53.5,53.5,52.5,52.8,1658,ARS
2021-06-30,53.5,53.5,52.4,53.2,15049,ARS
2021-07-01,53.5,55.0,52.8,54.2,15499,ARS
2021-07-02,55.0,58.0,53.5,58.0,157943,ARS
2021-07-05,58.1,63.0,57.0,62.6,32545,ARS
2021-07-06,62.4,62.4,58.8,60.0,35278,ARS
2021-07-07,59.4,60.0,57.1,58.1,77951,ARS
2021-07-08,60.0,60.0,57.0,58.2,4477,ARS
2021-07-12,60.0,60.0,57.5,58.6,54268,ARS
2021-07-13,59.8,59.8,57.6,58.0,5179,ARS
2021-07-14,59.3,61.9,56.0,60.7,207109,ARS
2021-07-15,60.5,60.5,59.0,59.0,11887,ARS
2021-07-16,59.0,60.0,58.7,59.0,6441,ARS
2021-07-19,59.0,59.9,56.1,58.0,15083,ARS
2021-07-20,60.0,60.3,58.2,60.0,30488,ARS
2021-07-21,60.0,63.0,60.0,61.5,42329,ARS
2021-07-22,61.5,61.9,60.0,60.9,9954,ARS
2021-07-23,61.0,61.9,60.5,61.0,14837,ARS
2021-07-26,62.0,62.8,59.5,59.6,23567,ARS
2021-07-27,60.9,60.9,59.1,60.3,15115,ARS
2021-07-28,60.0,60.5,59.3,60.3,5560,ARS
2021-07-29,60.3,61.0,59.9,60.5,6557,ARS
2021-07-30,60.8,61.3,58.2,59.5,11688,ARS
2021-08-02,59.5,60.9,58.8,58.9,8723,ARS
2021-08-03,58.9,60.0,58.0,59.0,12219,ARS
2021-08-04,60.7,60.7,56.3,58.6,14718,ARS
2021-08-05,59.5,59.5,58.0,59.0,7224,ARS
2021-08-06,59.0,60.8,59.0,60.2,16730,ARS
2021-08-09,61.0,61.0,57.5,58.9,17491,ARS
2021-08-10,60.0,60.0,57.6,58.0,80822,ARS
2021-08-11,59.0,59.5,56.4,57.0,28909,ARS
2021-08-12,57.1,60.0,56.0,56.8,53081,ARS
2021-08-13,57.9,57.9,53.3,56.7,122252,ARS
2021-08-17,56.5,56.6,55.3,56.2,14771,ARS
2021-08-18,55.8,57.0,55.2,56.0,14905,ARS
2021-08-19,55.0,57.0,55.0,55.8,29220,ARS
2021-08-20,56.5,58.0,55.1,58.0,52927,ARS
