Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,226.0,229.9,226.0,229.8,17032,ARS
2021-07-05,229.5,247.0,229.5,242.9,72943,ARS
2021-07-06,243.5,243.5,234.2,239.95,203251,ARS
2021-07-07,241.75,243.0,235.25,242.0,129568,ARS
2021-07-08,236.85,241.05,229.0,240.3,104509,ARS
2021-07-12,242.65,255.0,242.65,252.1,103078,ARS
2021-07-13,251.1,253.0,248.0,248.75,186253,ARS
2021-07-14,251.5,258.0,251.5,257.0,154236,ARS
2021-07-15,257.4,265.0,257.4,265.0,340060,ARS
2021-07-16,268.0,268.0,258.0,258.0,119784,ARS
2021-07-19,248.0,257.45,247.0,256.0,162574,ARS
2021-07-20,255.0,269.0,255.0,269.0,144134,ARS
2021-07-21,267.0,273.0,266.0,273.0,141128,ARS
2021-07-22,273.4,277.0,270.5,276.3,100918,ARS
2021-07-23,277.75,281.0,275.5,276.0,161922,ARS
2021-07-26,280.0,287.0,280.0,286.0,108462,ARS
2021-07-27,284.8,287.0,282.1,284.6,109704,ARS
2021-07-28,284.4,294.0,284.0,290.0,114575,ARS
2021-07-29,294.85,299.0,294.0,297.2,174681,ARS
2021-07-30,297.3,297.3,288.45,290.0,292548,ARS
2021-08-02,289.0,294.0,285.0,289.0,168669,ARS
2021-08-03,289.0,292.95,286.0,292.7,120347,ARS
2021-08-04,295.0,296.0,284.0,292.5,444705,ARS
2021-08-05,296.0,296.0,280.0,288.45,713109,ARS
2021-08-06,288.45,292.8,280.1,284.0,379133,ARS
2021-08-09,283.5,283.6,271.5,277.0,162064,ARS
2021-08-10,277.0,285.0,275.55,283.0,289529,ARS
2021-08-11,283.0,290.45,281.9,288.0,184334,ARS
2021-08-12,283.0,286.5,283.0,284.6,224804,ARS
2021-08-13,285.5,286.5,276.1,286.5,231187,ARS
2021-08-17,285.25,285.25,272.0,276.5,551853,ARS
2021-08-18,276.8,276.8,266.1,272.0,548083,ARS
2021-08-19,269.9,269.9,256.0,263.95,222961,ARS
2021-08-20,263.0,267.0,260.0,266.9,195293,ARS
