Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,6.63,6.73,6.63,6.7,62152,ARS
2021-05-14,6.8,6.8,6.68,6.79,157388,ARS
2021-05-17,6.75,6.87,6.69,6.74,39283,ARS
2021-05-18,6.75,6.8,6.7,6.74,17419,ARS
2021-05-19,6.65,6.9,6.65,6.9,27602,ARS
2021-05-20,6.68,6.88,6.68,6.74,12740,ARS
2021-05-21,6.67,6.74,6.6,6.69,74761,ARS
2021-05-26,6.7,6.8,6.66,6.8,79667,ARS
2021-05-27,6.88,6.9,6.72,6.8,319450,ARS
2021-05-28,6.8,6.87,6.8,6.85,192119,ARS
2021-05-31,6.9,6.91,6.8,6.85,235210,ARS
2021-06-01,6.87,6.89,6.8,6.85,102902,ARS
2021-06-02,6.85,7.75,6.78,7.53,612610,ARS
2021-06-03,7.8,7.88,7.6,7.73,90478,ARS
2021-06-04,7.86,8.3,7.8,8.1,235190,ARS
2021-06-07,8.39,8.45,7.32,8.38,183989,ARS
2021-06-08,8.2,8.2,7.82,8.0,52346,ARS
2021-06-09,8.14,8.14,7.9,8.0,59859,ARS
2021-06-10,8.0,8.35,7.95,8.19,209677,ARS
2021-06-11,8.4,8.4,7.95,8.25,43373,ARS
2021-06-14,8.25,8.25,8.1,8.25,12218,ARS
2021-06-15,8.35,8.35,8.0,8.05,43744,ARS
2021-06-16,8.05,8.34,8.05,8.33,21005,ARS
2021-06-17,8.33,8.33,7.95,8.09,17869,ARS
2021-06-18,7.96,8.19,7.96,8.11,21754,ARS
2021-06-22,8.15,8.19,8.0,8.19,46503,ARS
2021-06-23,8.19,8.23,8.0,8.2,29584,ARS
2021-06-24,8.3,8.3,8.02,8.21,57327,ARS
2021-06-25,7.95,8.1,7.8,8.1,132035,ARS
2021-06-28,7.87,8.15,7.87,8.15,22300,ARS
2021-06-29,8.29,8.29,7.96,8.03,4292,ARS
2021-06-30,8.03,8.03,7.9,7.95,22070,ARS
2021-07-01,8.0,8.15,7.85,7.99,46341,ARS
2021-07-02,8.0,8.0,7.9,7.9,35836,ARS
2021-07-05,8.0,8.3,7.89,8.29,55990,ARS
2021-07-06,8.23,8.24,8.2,8.24,1491,ARS
2021-07-07,8.0,8.3,7.97,8.19,23379,ARS
2021-07-08,8.2,8.4,8.0,8.39,8434,ARS
2021-07-12,8.5,8.5,8.1,8.25,104703,ARS
2021-07-13,8.25,8.36,8.1,8.2,20363,ARS
2021-07-14,8.46,8.46,8.03,8.3,25937,ARS
2021-07-15,8.49,8.49,8.03,8.34,2011,ARS
2021-07-16,8.2,8.35,8.0,8.06,12046,ARS
2021-07-19,7.92,8.09,7.92,8.07,9979,ARS
2021-07-20,8.34,8.34,7.95,8.14,3923,ARS
2021-07-21,8.35,8.35,8.05,8.2,4067,ARS
2021-07-22,7.88,8.21,7.81,8.18,37098,ARS
2021-07-23,7.8,8.45,7.8,8.15,6413,ARS
2021-07-26,8.19,8.19,7.95,8.02,16836,ARS
2021-07-27,7.84,8.1,7.84,8.03,35155,ARS
2021-07-28,8.1,8.2,7.96,8.2,8785,ARS
2021-07-29,8.17,8.17,8.04,8.05,23762,ARS
2021-07-30,8.1,8.1,7.96,7.96,10408,ARS
2021-08-02,8.0,8.24,8.0,8.05,79077,ARS
2021-08-03,8.24,8.24,7.97,8.08,64890,ARS
2021-08-04,8.25,8.25,7.95,8.09,34147,ARS
2021-08-05,7.95,8.26,7.95,8.25,119919,ARS
2021-08-06,8.26,8.26,8.0,8.05,47673,ARS
2021-08-09,8.1,8.24,8.1,8.1,7018,ARS
2021-08-10,8.14,8.45,8.0,8.45,204376,ARS
2021-08-11,8.7,8.8,8.42,8.79,54867,ARS
2021-08-12,8.99,9.1,8.47,8.88,34384,ARS
2021-08-13,9.1,9.1,8.8,8.89,23760,ARS
2021-08-17,8.83,9.0,8.83,8.89,696,ARS
2021-08-18,8.85,8.85,8.8,8.83,37736,ARS
2021-08-19,9.0,9.0,8.4,8.7,20039,ARS
2021-08-20,8.51,8.83,8.51,8.73,33662,ARS
