Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,26.0,26.4,25.1,25.7,5565,ARS
2021-07-05,25.5,26.5,25.0,25.65,5683,ARS
2021-07-06,25.7,27.25,25.7,26.0,36087,ARS
2021-07-07,26.45,26.45,25.7,25.8,315,ARS
2021-07-08,25.8,25.8,25.2,25.8,23496,ARS
2021-07-12,25.8,26.5,24.5,26.0,9023,ARS
2021-07-13,26.75,26.75,25.5,26.75,12178,ARS
2021-07-14,26.75,27.15,26.5,26.9,4279,ARS
2021-07-15,26.7,27.5,26.7,27.4,83627,ARS
2021-07-16,28.0,28.0,26.1,27.1,5337,ARS
2021-07-19,26.85,26.85,25.3,26.25,15741,ARS
2021-07-20,26.4,26.4,25.15,26.3,14684,ARS
2021-07-21,25.6,26.95,25.6,26.6,13094,ARS
2021-07-22,27.0,27.0,26.0,26.6,10474,ARS
2021-07-23,26.0,26.6,26.0,26.5,9293,ARS
2021-07-26,25.5,28.0,25.5,28.0,41770,ARS
2021-07-27,27.0,27.2,26.8,27.2,42981,ARS
2021-07-28,27.8,27.8,26.55,27.5,17615,ARS
2021-07-29,27.55,27.55,26.6,27.1,14846,ARS
2021-07-30,26.7,26.95,26.3,26.95,39112,ARS
2021-08-02,26.2,27.3,25.6,25.95,3599,ARS
2021-08-03,26.0,26.8,26.0,26.1,2465,ARS
2021-08-04,26.1,26.3,25.85,26.3,27319,ARS
2021-08-05,26.0,26.1,25.25,26.1,102,ARS
2021-08-06,26.15,26.5,26.15,26.2,1809,ARS
2021-08-09,25.0,26.0,25.0,25.8,5257,ARS
2021-08-10,26.0,26.3,26.0,26.0,51,ARS
2021-08-11,25.2,26.95,25.2,26.95,39345,ARS
2021-08-12,27.25,27.25,26.05,26.5,919,ARS
2021-08-13,27.25,27.25,25.8,26.3,2211,ARS
2021-08-17,26.9,27.4,25.3,26.3,13154,ARS
2021-08-18,26.0,26.9,25.6,26.8,3046,ARS
2021-08-19,26.8,26.8,25.5,26.0,21341,ARS
2021-08-20,25.1,26.65,25.1,26.5,1158,ARS
