Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,1552.0,1600.0,1552.0,1600.0,2929,ARS
2021-05-14,1600.0,1649.5,1600.0,1635.0,16495,ARS
2021-05-17,1637.0,1648.0,1604.5,1640.0,15890,ARS
2021-05-18,1640.0,1640.0,1607.0,1639.0,7042,ARS
2021-05-19,1649.0,1649.0,1601.0,1630.0,15257,ARS
2021-05-20,1647.5,1691.0,1630.5,1678.0,10437,ARS
2021-05-21,1670.0,1690.0,1651.5,1674.0,3556,ARS
2021-05-26,1667.5,1698.0,1640.0,1687.0,4434,ARS
2021-05-27,1687.0,1740.0,1651.5,1730.0,16806,ARS
2021-05-28,1743.0,1760.0,1741.0,1757.5,6196,ARS
2021-05-31,1760.0,1808.0,1755.0,1757.0,4146,ARS
2021-06-01,1779.0,1800.0,1730.0,1745.0,8252,ARS
2021-06-02,1759.5,1831.0,1750.0,1824.5,10050,ARS
2021-06-03,1870.0,1912.0,1853.0,1901.0,19072,ARS
2021-06-04,1905.0,1950.0,1900.0,1940.0,14899,ARS
2021-06-07,1951.0,1995.0,1950.0,1968.0,25536,ARS
2021-06-08,1967.0,2044.0,1911.0,1959.0,9243,ARS
2021-06-09,1920.0,1995.0,1918.0,1989.0,17075,ARS
2021-06-10,2000.0,2050.0,1973.0,1991.0,7655,ARS
2021-06-11,2000.0,2038.0,1955.0,1979.5,8915,ARS
2021-06-14,1951.0,2024.5,1951.0,1997.0,10161,ARS
2021-06-15,1993.0,2034.5,1970.5,1996.0,3536,ARS
2021-06-16,1995.5,1995.5,1971.5,1987.0,7259,ARS
2021-06-17,1985.0,1985.0,1902.0,1962.0,5507,ARS
2021-06-18,1950.0,1967.0,1917.5,1961.0,4392,ARS
2021-06-22,1995.0,1995.0,1921.5,1969.5,4886,ARS
2021-06-23,1985.0,2024.5,1936.0,1964.5,11255,ARS
2021-06-24,1940.0,1994.0,1936.0,1960.0,4950,ARS
2021-06-25,1950.0,1950.0,1851.0,1925.0,7186,ARS
2021-06-28,1925.0,1949.0,1900.0,1921.0,3402,ARS
2021-06-29,1910.0,1950.0,1900.5,1902.0,5282,ARS
2021-06-30,1902.0,1945.0,1880.5,1906.0,4299,ARS
2021-07-01,1954.5,1954.5,1865.0,1898.0,4964,ARS
2021-07-02,1897.0,1979.5,1870.0,1956.0,5417,ARS
2021-07-05,1956.0,1994.0,1952.0,1974.0,7134,ARS
2021-07-06,1999.5,1999.5,1917.5,1967.0,3439,ARS
2021-07-07,1970.0,1980.0,1935.0,1961.0,2808,ARS
2021-07-08,1975.0,1975.0,1930.0,1953.5,2416,ARS
2021-07-12,1942.0,1974.5,1912.0,1966.5,4473,ARS
2021-07-13,1965.5,1979.0,1960.5,1965.0,2557,ARS
2021-07-14,1985.0,1985.0,1955.0,1961.5,4300,ARS
2021-07-15,1950.0,1988.5,1905.5,1961.0,2121,ARS
2021-07-16,1929.5,1988.5,1929.5,1956.5,1638,ARS
2021-07-19,1917.0,1969.5,1900.5,1924.0,3500,ARS
2021-07-20,1924.0,1979.5,1924.0,1939.5,3218,ARS
2021-07-21,1990.0,1990.0,1950.0,1969.5,4503,ARS
2021-07-22,1960.0,1982.0,1940.0,1964.0,2292,ARS
2021-07-23,1980.0,1980.0,1945.0,1960.0,2408,ARS
2021-07-26,1980.0,1999.5,1960.0,1969.0,1646,ARS
2021-07-27,1969.0,1986.5,1940.0,1969.5,3545,ARS
2021-07-28,1989.5,1989.5,1962.0,1986.5,4995,ARS
2021-07-29,1999.5,1999.5,1979.5,1989.5,2477,ARS
2021-07-30,2014.0,2014.0,1971.0,1978.5,4111,ARS
2021-08-02,2017.0,2030.0,1960.5,1988.5,2282,ARS
2021-08-03,2007.0,2007.0,1972.0,1994.0,4883,ARS
2021-08-04,2004.0,2004.5,1985.0,2002.0,12077,ARS
2021-08-05,2005.0,2125.0,2005.0,2125.0,13483,ARS
2021-08-06,2130.0,2148.0,2105.0,2135.0,5272,ARS
2021-08-09,2165.0,2165.0,2111.5,2143.0,3813,ARS
2021-08-10,2143.0,2200.0,2130.0,2180.0,7767,ARS
2021-08-11,2190.0,2289.0,2190.0,2274.0,5791,ARS
2021-08-12,2270.0,2328.0,2240.0,2328.0,9040,ARS
2021-08-13,2300.0,2334.5,2267.0,2295.5,5848,ARS
2021-08-17,2288.0,2288.0,2223.0,2269.0,5777,ARS
2021-08-18,2293.0,2365.5,2250.0,2261.0,4210,ARS
2021-08-19,2267.0,2267.0,2218.0,2219.5,4334,ARS
2021-08-20,2240.0,2343.5,2220.0,2254.0,4255,ARS
