Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,1000.0,1010.0,992.0,1000.0,737,ARS
2021-07-05,1000.0,1030.0,980.0,1025.0,1709,ARS
2021-07-06,1030.0,1070.0,1009.0,1037.5,804,ARS
2021-07-07,1037.5,1070.0,1010.0,1015.0,342,ARS
2021-07-08,1048.5,1053.0,1007.0,1020.0,301,ARS
2021-07-12,1050.0,1090.0,1015.0,1043.0,952,ARS
2021-07-13,1080.0,1080.0,1040.0,1052.0,686,ARS
2021-07-14,1055.0,1078.0,1052.0,1073.0,739,ARS
2021-07-15,1080.0,1111.0,1055.0,1100.0,2513,ARS
2021-07-16,1100.0,1154.0,1052.0,1138.0,1094,ARS
2021-07-19,1138.0,1139.0,1055.0,1075.0,2522,ARS
2021-07-20,1100.0,1161.0,1075.0,1109.0,2851,ARS
2021-07-21,1102.0,1120.0,1077.0,1098.0,1631,ARS
2021-07-22,1105.0,1120.0,1093.0,1095.0,2017,ARS
2021-07-23,1114.0,1147.0,1051.0,1060.0,2662,ARS
2021-07-26,1066.0,1066.0,1040.0,1054.0,1601,ARS
2021-07-27,1055.0,1100.0,1000.0,1030.0,870,ARS
2021-07-28,942.0,995.0,927.5,950.0,1584,ARS
2021-07-29,970.0,970.0,915.0,934.0,922,ARS
2021-07-30,940.0,940.0,860.0,894.0,1241,ARS
2021-08-02,894.0,964.5,875.0,877.0,1677,ARS
2021-08-03,877.0,964.5,877.0,957.0,1998,ARS
2021-08-04,963.0,1060.0,940.0,1030.0,3895,ARS
2021-08-05,1049.5,1068.0,1004.0,1068.0,4161,ARS
2021-08-06,1089.0,1098.0,1040.0,1089.5,1458,ARS
2021-08-09,1090.0,1099.5,1050.0,1069.0,1560,ARS
2021-08-10,1070.5,1078.0,1000.0,1037.0,1233,ARS
2021-08-11,1074.0,1074.0,999.5,1017.0,2991,ARS
2021-08-12,1020.0,1030.0,1010.0,1014.0,707,ARS
2021-08-13,1020.0,1029.0,1014.0,1027.0,1312,ARS
2021-08-17,1027.0,1045.0,1027.0,1044.0,1316,ARS
2021-08-18,1040.0,1065.0,1040.0,1049.0,2132,ARS
2021-08-19,1020.0,1045.0,1020.0,1044.0,605,ARS
2021-08-20,1050.0,1063.0,1039.5,1063.0,1646,ARS
