Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,72.7,72.7,71.1,72.7,29912,ARS
2021-05-14,74.0,75.5,72.0,74.2,40266,ARS
2021-05-17,74.2,74.2,71.6,73.3,23015,ARS
2021-05-18,73.0,73.4,72.0,73.4,37038,ARS
2021-05-19,74.0,74.0,72.0,73.0,26139,ARS
2021-05-20,73.0,73.9,72.5,73.8,46949,ARS
2021-05-21,73.8,75.7,72.0,75.7,36312,ARS
2021-05-26,76.0,79.3,75.0,77.2,44716,ARS
2021-05-27,76.0,79.9,75.0,79.6,25945,ARS
2021-05-28,80.0,83.5,79.6,83.5,21961,ARS
2021-05-31,83.0,85.9,83.0,85.6,45583,ARS
2021-06-01,87.0,88.0,83.3,85.6,34920,ARS
2021-06-02,85.0,87.8,83.3,87.3,24402,ARS
2021-06-03,87.5,88.0,84.5,86.6,6075,ARS
2021-06-04,85.0,88.3,83.3,88.3,10600,ARS
2021-06-07,88.3,91.9,88.3,90.3,27498,ARS
2021-06-08,90.3,92.0,87.0,89.5,19854,ARS
2021-06-09,89.5,93.9,89.2,91.5,20126,ARS
2021-06-10,91.6,92.5,90.0,90.5,17221,ARS
2021-06-11,91.0,91.0,88.0,88.4,20292,ARS
2021-06-14,86.8,91.0,86.8,88.5,10337,ARS
2021-06-15,90.0,92.5,89.0,90.0,12161,ARS
2021-06-16,90.5,93.9,88.0,93.9,19075,ARS
2021-06-17,93.9,94.0,90.0,92.0,16636,ARS
2021-06-18,91.9,91.9,89.0,89.0,8911,ARS
2021-06-22,87.0,88.0,83.5,87.5,11028,ARS
2021-06-23,89.0,89.5,88.0,89.0,7407,ARS
2021-06-24,89.5,90.5,86.0,89.5,7398,ARS
2021-06-25,89.5,89.5,83.0,87.0,18255,ARS
2021-06-28,87.0,87.0,84.0,85.5,8265,ARS
2021-06-29,85.5,86.0,82.5,84.9,17307,ARS
2021-06-30,81.6,90.8,81.6,90.8,10491,ARS
2021-07-01,90.0,90.5,88.5,88.5,3763,ARS
2021-07-02,86.8,91.0,85.2,87.7,4917,ARS
2021-07-05,87.7,91.1,86.5,88.0,7560,ARS
2021-07-06,90.0,90.0,87.9,88.8,13505,ARS
2021-07-07,88.8,90.0,88.1,88.6,5458,ARS
2021-07-08,88.0,89.3,86.0,88.5,3169,ARS
2021-07-12,88.0,91.7,88.0,89.5,8864,ARS
2021-07-13,91.5,91.5,88.3,89.5,4859,ARS
2021-07-14,88.4,91.7,88.4,89.0,2796,ARS
2021-07-15,88.2,90.2,87.7,87.9,4217,ARS
2021-07-16,87.9,89.8,87.6,88.0,11998,ARS
2021-07-19,87.2,87.9,86.3,86.7,2413,ARS
2021-07-20,86.0,90.0,86.0,88.0,2965,ARS
2021-07-21,87.5,90.2,87.5,89.8,4286,ARS
2021-07-22,88.0,90.8,86.0,90.0,8915,ARS
2021-07-23,91.0,91.0,86.2,89.0,18078,ARS
2021-07-26,89.0,90.0,86.5,86.5,3911,ARS
2021-07-27,87.0,89.9,87.0,88.0,5261,ARS
2021-07-28,92.0,92.0,86.8,87.0,11756,ARS
2021-07-29,89.9,89.9,85.2,87.3,12735,ARS
2021-07-30,88.0,89.0,85.0,85.4,5118,ARS
2021-08-02,84.7,87.0,84.7,85.6,2970,ARS
2021-08-03,82.5,89.5,82.5,88.0,1564,ARS
2021-08-04,88.9,89.0,85.1,88.7,3455,ARS
2021-08-05,89.9,91.2,88.1,91.2,13971,ARS
2021-08-06,91.1,91.1,88.5,90.0,5450,ARS
2021-08-09,91.1,91.1,88.1,91.0,7081,ARS
2021-08-10,91.9,91.9,89.0,90.0,4920,ARS
2021-08-11,90.0,90.0,88.0,88.5,7014,ARS
2021-08-12,90.0,91.7,86.5,91.5,16846,ARS
2021-08-13,91.0,91.0,86.9,88.8,9812,ARS
2021-08-17,88.0,88.5,87.0,88.0,2842,ARS
2021-08-18,90.0,90.0,86.0,88.5,3944,ARS
2021-08-19,88.5,89.0,84.1,88.0,3467,ARS
2021-08-20,89.5,89.5,85.2,85.3,8570,ARS
