Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,16.85,16.85,16.0,16.35,91089,ARS
2021-07-05,16.55,16.55,16.2,16.3,66698,ARS
2021-07-06,16.0,16.45,16.0,16.35,24824,ARS
2021-07-07,16.6,16.6,16.0,16.4,63347,ARS
2021-07-08,16.2,16.35,15.95,16.1,70859,ARS
2021-07-12,16.0,16.3,15.85,16.0,49121,ARS
2021-07-13,16.5,16.5,15.8,16.0,94742,ARS
2021-07-14,16.4,16.4,15.85,15.9,70591,ARS
2021-07-15,15.9,16.4,15.7,16.0,52895,ARS
2021-07-16,16.15,16.15,15.25,15.55,167160,ARS
2021-07-19,15.55,15.8,15.25,15.45,77034,ARS
2021-07-20,15.8,15.8,15.15,15.5,60099,ARS
2021-07-21,15.8,15.8,15.3,15.5,97499,ARS
2021-07-22,15.5,15.75,15.25,15.7,80496,ARS
2021-07-23,15.7,15.7,15.0,15.35,196481,ARS
2021-07-26,15.35,15.5,15.25,15.45,136236,ARS
2021-07-27,15.65,15.65,15.1,15.4,81906,ARS
2021-07-28,15.1,15.5,15.1,15.45,88815,ARS
2021-07-29,15.5,15.55,15.15,15.55,66243,ARS
2021-07-30,15.65,15.7,15.15,15.45,67919,ARS
2021-08-02,15.4,15.55,14.9,15.05,154014,ARS
2021-08-03,15.05,15.3,14.6,15.2,102756,ARS
2021-08-04,15.2,15.3,14.8,15.0,92771,ARS
2021-08-05,15.25,15.3,15.0,15.05,71578,ARS
2021-08-06,15.4,15.4,14.9,15.3,106090,ARS
2021-08-09,15.0,15.4,15.0,15.3,66088,ARS
2021-08-10,15.3,15.3,14.9,15.25,187449,ARS
2021-08-11,15.25,15.95,15.1,15.9,376079,ARS
2021-08-12,16.0,16.1,15.8,15.95,216109,ARS
2021-08-13,16.2,16.2,15.4,15.75,154141,ARS
2021-08-17,15.85,15.85,14.8,15.25,135281,ARS
2021-08-18,15.35,15.8,14.8,15.75,102875,ARS
2021-08-19,15.8,15.8,15.3,15.7,92319,ARS
2021-08-20,15.5,15.9,15.3,15.7,123018,ARS
