Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,22.5,22.7,22.3,22.65,10133,ARS
2021-05-14,23.4,23.4,22.1,23.35,11300,ARS
2021-05-17,23.0,24.0,23.0,23.9,3268,ARS
2021-05-18,23.0,24.0,23.0,23.9,13340,ARS
2021-05-19,23.0,23.9,23.0,23.85,826,ARS
2021-05-20,23.85,25.0,23.5,24.3,11188,ARS
2021-05-21,24.3,24.9,23.5,24.5,3785,ARS
2021-05-26,24.5,24.5,23.55,24.4,1007,ARS
2021-05-27,24.4,26.2,24.0,25.45,23081,ARS
2021-05-28,26.0,26.0,24.6,25.75,10886,ARS
2021-05-31,25.65,27.5,25.45,26.7,43347,ARS
2021-06-01,26.7,26.7,26.0,26.45,2879,ARS
2021-06-02,26.45,26.45,25.2,25.9,15459,ARS
2021-06-03,26.3,27.6,26.3,27.5,55848,ARS
2021-06-04,27.25,29.3,27.0,29.3,71478,ARS
2021-06-07,29.3,32.8,28.5,32.3,89915,ARS
2021-06-08,32.5,33.0,31.0,32.2,19345,ARS
2021-06-09,31.5,35.75,31.5,33.8,39076,ARS
2021-06-10,34.5,35.4,34.0,34.0,33410,ARS
2021-06-11,34.5,34.5,32.0,33.7,45496,ARS
2021-06-14,33.5,36.0,33.4,35.5,40948,ARS
2021-06-15,36.0,36.5,34.5,35.8,17404,ARS
2021-06-16,36.5,36.5,34.4,35.25,21735,ARS
2021-06-17,34.9,36.7,34.3,35.0,33527,ARS
2021-06-18,33.6,36.0,33.3,35.0,65560,ARS
2021-06-22,35.0,35.8,33.95,35.75,35373,ARS
2021-06-23,35.4,37.0,35.1,35.2,2377,ARS
2021-06-24,36.0,36.0,34.0,35.0,36595,ARS
2021-06-25,34.3,35.45,33.8,35.3,8639,ARS
2021-06-28,35.0,35.8,34.2,35.8,28725,ARS
2021-06-29,35.45,36.5,34.0,35.8,27967,ARS
2021-06-30,35.8,36.8,35.4,36.75,28568,ARS
2021-07-01,37.0,37.1,37.0,37.1,7877,ARS
2021-07-02,37.1,37.65,36.9,37.5,2900,ARS
2021-07-05,37.2,37.55,37.0,37.45,10180,ARS
2021-07-06,37.65,37.65,36.8,37.35,41469,ARS
2021-07-07,37.65,37.65,37.0,37.5,17030,ARS
2021-07-08,37.5,37.7,37.0,37.6,9525,ARS
2021-07-12,37.5,38.0,36.9,37.5,4995,ARS
2021-07-13,37.2,37.5,36.4,37.5,8146,ARS
2021-07-14,37.5,38.5,37.5,38.0,2227,ARS
2021-07-15,37.5,38.0,37.5,38.0,2809,ARS
2021-07-16,37.7,38.3,37.0,38.15,792,ARS
2021-07-19,37.8,37.8,36.0,37.65,16522,ARS
2021-07-20,37.3,37.85,37.3,37.8,21821,ARS
2021-07-21,38.0,38.3,37.5,38.1,22080,ARS
2021-07-22,38.7,38.7,38.0,38.65,15980,ARS
2021-07-23,38.65,38.65,37.9,38.6,3082,ARS
2021-07-26,39.1,39.1,38.4,39.05,1022,ARS
2021-07-27,39.05,39.4,37.9,39.2,40478,ARS
2021-07-28,38.9,39.9,37.6,39.8,62826,ARS
2021-07-29,39.8,39.8,38.5,39.5,9046,ARS
2021-07-30,39.0,39.5,38.8,39.5,13003,ARS
2021-08-02,38.5,39.3,38.5,39.3,13415,ARS
2021-08-03,39.0,39.5,37.8,39.0,19313,ARS
2021-08-04,38.5,39.0,36.5,36.5,2825,ARS
2021-08-05,36.5,37.0,36.25,36.75,8551,ARS
2021-08-06,36.1,37.6,35.9,36.5,451,ARS
2021-08-09,36.5,37.0,34.5,36.5,7902,ARS
2021-08-10,36.0,36.5,35.25,36.5,2063,ARS
2021-08-11,35.05,36.25,35.0,35.85,5792,ARS
2021-08-12,35.8,35.8,32.5,34.4,19764,ARS
2021-08-13,34.4,35.0,33.4,34.9,3684,ARS
2021-08-17,33.7,34.9,33.1,34.85,219,ARS
2021-08-18,34.8,34.8,34.0,34.8,141,ARS
2021-08-19,33.5,34.7,31.5,34.0,5318,ARS
2021-08-20,33.5,34.0,32.15,33.6,7415,ARS
