Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,89.9,95.0,89.9,95.0,375504,ARS
2021-05-14,98.1,100.5,96.3,99.75,518814,ARS
2021-05-17,98.3,98.3,95.5,96.0,533736,ARS
2021-05-18,96.0,97.3,95.0,97.3,484016,ARS
2021-05-19,94.5,97.45,94.5,97.3,606240,ARS
2021-05-20,96.5,98.2,95.8,97.5,305509,ARS
2021-05-21,97.5,98.7,96.55,96.7,617880,ARS
2021-05-26,96.25,97.7,94.05,97.5,252982,ARS
2021-05-27,98.5,98.5,96.0,97.6,283833,ARS
2021-05-28,98.0,101.05,98.0,100.45,472540,ARS
2021-05-31,100.4,101.45,98.0,98.25,91317,ARS
2021-06-01,103.2,107.0,103.2,106.95,914478,ARS
2021-06-02,107.8,113.0,106.0,113.0,748757,ARS
2021-06-03,110.7,114.0,109.1,113.0,414890,ARS
2021-06-04,113.95,114.25,110.15,113.5,1086191,ARS
2021-06-07,116.15,120.0,115.25,117.0,735477,ARS
2021-06-08,118.55,118.55,114.05,115.9,332958,ARS
2021-06-09,116.0,118.0,115.0,115.7,1636665,ARS
2021-06-10,118.0,118.0,114.0,114.1,745047,ARS
2021-06-11,114.0,114.0,109.0,110.15,414284,ARS
2021-06-14,110.4,112.95,110.4,112.5,163392,ARS
2021-06-15,112.2,113.5,109.0,113.0,204487,ARS
2021-06-16,113.6,113.75,111.5,113.75,247365,ARS
2021-06-17,113.35,113.5,111.4,113.0,365530,ARS
2021-06-18,112.8,112.8,109.75,110.4,242118,ARS
2021-06-22,109.5,114.7,104.1,114.2,374192,ARS
2021-06-23,114.85,114.85,110.2,111.0,387809,ARS
2021-06-24,111.4,112.35,109.2,111.35,527657,ARS
2021-06-25,105.0,106.7,103.25,104.8,973414,ARS
2021-06-28,104.2,105.55,102.1,103.0,622977,ARS
2021-06-29,102.85,104.0,100.1,101.9,419209,ARS
2021-06-30,101.25,104.0,100.5,102.9,504752,ARS
2021-07-01,102.9,104.05,101.85,102.05,144193,ARS
2021-07-02,102.55,105.4,101.15,104.9,1617436,ARS
2021-07-05,104.6,108.15,104.6,107.85,152824,ARS
2021-07-06,109.0,109.45,104.2,105.7,308647,ARS
2021-07-07,105.0,108.45,105.0,107.9,411111,ARS
2021-07-08,106.0,109.3,105.0,108.5,252679,ARS
2021-07-12,108.0,113.2,108.0,113.0,293126,ARS
2021-07-13,113.2,114.0,111.0,112.15,546924,ARS
2021-07-14,113.2,113.8,108.0,108.0,275442,ARS
2021-07-15,109.95,109.95,106.75,107.6,331110,ARS
2021-07-16,108.85,110.7,107.85,110.5,222395,ARS
2021-07-19,106.4,110.8,104.8,109.0,199899,ARS
2021-07-20,110.95,115.2,108.9,115.2,456349,ARS
2021-07-21,115.05,118.0,115.05,116.2,532144,ARS
2021-07-22,117.0,118.95,114.5,118.7,302815,ARS
2021-07-23,118.0,119.0,115.5,115.7,333452,ARS
2021-07-26,117.5,118.1,116.2,117.45,125437,ARS
2021-07-27,117.3,119.95,116.2,119.8,181795,ARS
2021-07-28,119.9,119.95,118.9,119.5,277244,ARS
2021-07-29,119.9,120.9,119.05,119.9,248072,ARS
2021-07-30,120.3,120.3,112.5,113.4,552081,ARS
2021-08-02,114.0,114.0,110.55,112.45,538042,ARS
2021-08-03,113.95,113.95,110.0,112.3,359236,ARS
2021-08-04,113.6,113.6,108.6,109.1,411735,ARS
2021-08-05,109.65,111.5,109.05,110.0,481785,ARS
2021-08-06,111.95,112.0,109.85,111.0,384051,ARS
2021-08-09,111.95,111.95,108.9,109.3,139296,ARS
2021-08-10,109.8,113.0,109.5,112.9,505875,ARS
2021-08-11,112.55,112.75,110.1,112.0,649712,ARS
2021-08-12,112.0,114.0,111.0,113.5,343404,ARS
2021-08-13,113.5,117.85,113.5,117.3,667920,ARS
2021-08-17,114.95,115.0,111.0,113.0,215688,ARS
2021-08-18,112.55,112.55,109.4,109.8,204809,ARS
2021-08-19,108.9,110.7,107.25,110.6,293724,ARS
2021-08-20,110.2,113.0,110.0,111.0,277900,ARS
