Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,31.4,31.4,30.0,31.35,2233,ARS
2021-05-14,31.0,31.7,30.6,31.65,16578,ARS
2021-05-17,30.5,31.2,30.3,31.0,4001,ARS
2021-05-18,30.1,31.0,30.1,30.7,9337,ARS
2021-05-19,30.7,30.7,30.2,30.6,4412,ARS
2021-05-20,31.2,31.2,30.1,30.6,6024,ARS
2021-05-21,30.95,30.95,30.0,30.6,5146,ARS
2021-05-26,30.6,30.6,30.1,30.5,11605,ARS
2021-05-27,30.5,31.2,30.5,30.5,3682,ARS
2021-05-28,31.5,31.5,30.55,30.8,28389,ARS
2021-05-31,31.0,31.4,30.8,31.35,44934,ARS
2021-06-01,31.1,33.0,31.0,32.0,115507,ARS
2021-06-02,32.0,32.1,31.5,31.65,38664,ARS
2021-06-03,31.75,32.5,31.4,32.5,21063,ARS
2021-06-04,32.5,35.0,31.6,34.2,66225,ARS
2021-06-07,34.0,36.0,34.0,35.55,33456,ARS
2021-06-08,35.65,35.65,32.5,34.5,8206,ARS
2021-06-09,34.5,36.0,34.5,35.5,8923,ARS
2021-06-10,35.5,37.0,35.5,36.5,21168,ARS
2021-06-11,35.3,36.5,33.6,35.8,3112,ARS
2021-06-14,35.8,36.2,35.1,36.2,1721,ARS
2021-06-15,37.0,37.0,35.0,35.6,664,ARS
2021-06-16,34.8,34.95,34.55,34.85,7072,ARS
2021-06-17,34.85,34.85,33.8,34.0,7658,ARS
2021-06-18,34.0,34.3,33.6,33.6,21556,ARS
2021-06-22,33.2,34.3,33.2,34.2,3540,ARS
2021-06-23,34.2,34.4,34.1,34.2,13082,ARS
2021-06-24,34.2,35.9,34.0,34.5,14077,ARS
2021-06-25,34.5,34.5,33.1,33.9,17862,ARS
2021-06-28,33.6,33.6,32.9,33.1,7053,ARS
2021-06-29,32.9,33.0,32.3,32.7,11338,ARS
2021-06-30,33.0,34.2,33.0,33.0,6984,ARS
2021-07-01,32.4,34.0,32.3,34.0,5495,ARS
2021-07-02,34.5,34.5,32.6,33.35,2391,ARS
2021-07-05,34.0,35.0,34.0,34.45,15267,ARS
2021-07-06,35.0,35.0,34.2,34.2,1224,ARS
2021-07-07,34.0,34.0,33.1,33.1,1566,ARS
2021-07-08,33.9,33.9,32.85,32.85,6680,ARS
2021-07-12,33.0,34.5,32.85,33.0,3100,ARS
2021-07-13,33.0,34.0,33.0,33.6,965,ARS
2021-07-14,33.6,33.6,33.0,33.3,7967,ARS
2021-07-15,33.6,33.6,33.0,33.5,1030,ARS
2021-07-16,33.15,33.4,33.1,33.2,1202,ARS
2021-07-19,33.1,33.1,32.15,32.7,7318,ARS
2021-07-20,32.7,32.7,32.2,32.7,277,ARS
2021-07-21,32.2,34.0,32.2,33.7,1742,ARS
2021-07-22,34.0,34.0,32.3,34.0,1992,ARS
2021-07-23,34.0,34.0,32.7,33.2,40205,ARS
2021-07-26,32.6,34.0,32.6,33.0,2336,ARS
2021-07-27,33.5,33.5,32.6,33.0,835,ARS
2021-07-28,33.0,33.2,32.7,32.9,1524,ARS
2021-07-29,32.75,32.85,32.4,32.4,5014,ARS
2021-07-30,33.45,33.45,32.1,32.2,26869,ARS
2021-08-02,32.1,32.1,31.9,32.0,6639,ARS
2021-08-03,31.9,32.0,31.9,32.0,715,ARS
2021-08-04,33.45,33.45,32.0,32.1,1406,ARS
2021-08-05,32.1,33.5,31.8,33.0,3223,ARS
2021-08-06,33.0,33.5,33.0,33.5,5240,ARS
2021-08-09,33.8,33.8,32.65,32.65,1853,ARS
2021-08-10,33.7,33.7,32.6,32.8,3042,ARS
2021-08-11,33.5,33.8,32.85,32.85,20689,ARS
2021-08-12,33.5,33.5,32.8,33.2,5848,ARS
2021-08-13,33.2,33.4,32.5,33.4,4027,ARS
2021-08-17,33.4,33.5,33.4,33.5,3537,ARS
2021-08-18,33.8,33.8,32.55,33.0,65,ARS
2021-08-19,32.6,33.7,31.9,31.9,17438,ARS
2021-08-20,32.45,32.5,32.1,32.5,2574,ARS
