Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,11.8,11.8,11.1,11.75,75390,ARS
2021-07-05,11.95,12.0,11.55,11.85,30654,ARS
2021-07-06,12.0,12.0,11.65,11.85,6634,ARS
2021-07-07,11.8,11.8,11.25,11.6,28208,ARS
2021-07-08,11.35,11.55,11.2,11.2,34454,ARS
2021-07-12,11.2,11.7,11.2,11.45,23267,ARS
2021-07-13,11.7,11.7,11.3,11.45,9801,ARS
2021-07-14,11.9,11.9,11.25,11.65,7756,ARS
2021-07-15,11.3,11.75,11.3,11.5,12832,ARS
2021-07-16,11.25,11.5,11.2,11.4,18257,ARS
2021-07-19,11.1,11.1,10.75,11.0,61546,ARS
2021-07-20,11.0,11.4,10.85,11.1,6112,ARS
2021-07-21,11.2,11.7,11.2,11.6,19651,ARS
2021-07-22,11.75,11.75,11.1,11.5,33657,ARS
2021-07-23,11.7,11.7,11.1,11.55,44987,ARS
2021-07-26,11.75,11.75,11.25,11.45,26837,ARS
2021-07-27,11.25,11.65,11.25,11.3,10642,ARS
2021-07-28,11.5,11.5,11.25,11.3,11759,ARS
2021-07-29,11.4,11.8,11.4,11.75,41094,ARS
2021-07-30,11.8,11.8,11.25,11.3,11823,ARS
2021-08-02,11.2,11.7,11.1,11.2,22157,ARS
2021-08-03,11.2,11.8,11.2,11.7,141280,ARS
2021-08-04,11.85,12.2,11.5,12.2,108049,ARS
2021-08-05,12.3,12.3,11.55,11.95,57416,ARS
2021-08-06,12.3,12.3,11.65,12.1,37130,ARS
2021-08-09,12.5,12.5,11.6,11.75,23584,ARS
2021-08-10,12.0,12.0,11.55,11.85,149924,ARS
2021-08-11,11.65,11.95,11.4,11.75,68804,ARS
2021-08-12,11.5,12.0,11.35,11.8,17560,ARS
2021-08-13,11.55,11.95,11.45,11.65,51071,ARS
2021-08-17,11.65,11.95,11.35,11.65,55804,ARS
2021-08-18,11.35,11.55,11.2,11.4,30046,ARS
2021-08-19,11.55,11.55,11.15,11.45,31221,ARS
2021-08-20,11.7,11.7,11.2,11.35,26942,ARS
