Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,8.5,8.5,8.5,8.5,100,ARS
2021-05-14,9.0,9.0,8.85,8.85,470,ARS
2021-05-17,8.85,8.85,8.85,8.85,983,ARS
2021-05-18,8.5,8.5,8.5,8.5,2109,ARS
2021-05-19,8.5,8.5,8.5,8.5,65,ARS
2021-05-20,8.5,8.5,8.5,8.5,200,ARS
2021-05-21,8.5,8.9,8.5,8.9,1470,ARS
2021-05-26,9.2,9.2,8.9,8.9,1050,ARS
2021-05-27,8.8,8.8,8.8,8.8,5,ARS
2021-05-28,9.0,9.0,9.0,9.0,3150,ARS
2021-05-31,9.0,9.3,8.75,9.3,2518,ARS
2021-06-01,9.4,9.4,9.4,9.4,2892,ARS
2021-06-02,8.6,9.1,8.6,9.1,2646,ARS
2021-06-04,8.7,8.73,8.7,8.73,630,ARS
2021-06-07,8.96,8.96,8.95,8.95,4874,ARS
2021-06-08,9.0,9.0,9.0,9.0,1405,ARS
2021-06-09,9.0,9.01,9.0,9.01,228,ARS
2021-06-10,9.9,9.9,9.48,9.48,250,ARS
2021-06-11,10.0,10.0,9.6,9.6,82,ARS
2021-06-14,9.4,9.5,9.4,9.5,6232,ARS
2021-06-15,9.5,9.6,9.5,9.6,1510,ARS
2021-06-17,9.0,9.0,9.0,9.0,1000,ARS
2021-06-22,9.2,9.2,9.2,9.2,100,ARS
2021-06-23,9.1,9.1,9.1,9.1,8228,ARS
2021-06-24,9.1,9.1,9.1,9.1,1500,ARS
2021-06-28,9.15,9.15,9.15,9.15,2744,ARS
2021-06-29,9.3,9.3,9.3,9.3,3000,ARS
2021-06-30,9.5,9.5,9.5,9.5,6421,ARS
2021-07-01,9.5,9.7,9.5,9.7,4730,ARS
2021-07-02,10.0,10.4,10.0,10.4,13962,ARS
2021-07-05,10.8,10.8,10.5,10.5,2472,ARS
2021-07-06,10.0,10.0,10.0,10.0,2872,ARS
2021-07-07,10.3,10.3,10.3,10.3,3938,ARS
2021-07-08,10.3,10.3,10.3,10.3,7341,ARS
2021-07-12,10.35,10.35,10.35,10.35,309,ARS
2021-07-13,10.5,10.5,10.5,10.5,1153,ARS
2021-07-14,11.3,11.3,11.1,11.1,220,ARS
2021-07-15,11.0,11.0,11.0,11.0,1711,ARS
2021-07-16,10.5,11.0,10.5,11.0,3733,ARS
2021-07-19,11.0,11.0,11.0,11.0,267,ARS
2021-07-20,11.0,11.5,11.0,11.5,832,ARS
2021-07-21,11.5,11.8,11.5,11.8,989,ARS
2021-07-23,11.7,11.8,11.7,11.8,1594,ARS
2021-07-28,11.8,11.8,11.8,11.8,9107,ARS
2021-07-29,12.35,13.0,12.35,13.0,747,ARS
2021-07-30,14.15,15.0,14.15,15.0,690,ARS
2021-08-02,15.0,15.0,14.9,14.9,912,ARS
2021-08-03,14.9,14.9,14.9,14.9,405,ARS
2021-08-04,14.8,14.8,14.8,14.8,377,ARS
2021-08-06,14.7,14.7,14.7,14.7,436,ARS
2021-08-09,14.7,14.7,13.5,13.5,2235,ARS
2021-08-10,13.45,13.45,13.45,13.45,491,ARS
2021-08-11,13.5,13.5,13.5,13.5,7302,ARS
2021-08-12,14.0,14.5,14.0,14.5,2276,ARS
2021-08-13,15.5,15.5,15.0,15.0,4598,ARS
2021-08-17,14.65,14.65,14.65,14.65,299,ARS
2021-08-18,14.65,14.65,14.65,14.65,30,ARS
2021-08-20,15.0,15.2,15.0,15.2,9806,ARS
