Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,249.0,252.0,240.0,247.0,8638,ARS
2021-07-05,251.0,251.0,244.5,246.0,7276,ARS
2021-07-06,246.0,246.0,237.0,240.0,6438,ARS
2021-07-07,240.0,245.0,235.5,238.0,6685,ARS
2021-07-08,239.0,239.0,230.0,236.0,10736,ARS
2021-07-12,239.5,239.5,230.0,232.5,9972,ARS
2021-07-13,233.0,248.0,233.0,235.0,20088,ARS
2021-07-14,236.5,239.5,230.0,232.0,6138,ARS
2021-07-15,232.0,235.0,221.0,232.75,9682,ARS
2021-07-16,235.5,243.5,229.0,233.0,12781,ARS
2021-07-19,239.0,239.0,222.0,228.75,5965,ARS
2021-07-20,228.75,230.0,222.0,230.0,8901,ARS
2021-07-21,230.0,230.0,224.0,227.0,16878,ARS
2021-07-22,228.75,228.75,215.0,219.0,41964,ARS
2021-07-23,219.0,224.5,215.5,219.75,21667,ARS
2021-07-26,219.0,224.0,213.25,217.0,20807,ARS
2021-07-27,217.0,217.0,209.25,212.0,27347,ARS
2021-07-28,210.0,214.75,208.5,213.0,32910,ARS
2021-07-29,215.0,221.0,215.0,220.0,43990,ARS
2021-07-30,219.0,223.0,215.0,220.0,20407,ARS
2021-08-02,220.0,224.5,216.25,220.0,11328,ARS
2021-08-03,220.0,223.75,217.0,222.5,28478,ARS
2021-08-04,224.0,224.0,218.0,220.0,31627,ARS
2021-08-05,220.0,222.75,215.5,220.0,16082,ARS
2021-08-06,219.0,225.0,219.0,224.0,9453,ARS
2021-08-09,224.0,240.0,224.0,234.75,18427,ARS
2021-08-10,235.0,239.5,230.75,237.0,6984,ARS
2021-08-11,237.0,251.0,233.0,250.0,31925,ARS
2021-08-12,250.0,252.0,237.25,240.0,9690,ARS
2021-08-13,238.0,245.0,234.0,242.75,14178,ARS
2021-08-17,243.0,246.0,235.0,243.0,14936,ARS
2021-08-18,242.5,242.5,235.0,238.75,5327,ARS
2021-08-19,235.5,240.0,230.75,237.0,11299,ARS
2021-08-20,237.0,241.0,233.0,241.0,9253,ARS
