Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,145.0,145.0,145.0,145.0,4,ARS
2021-07-05,146.0,146.0,146.0,146.0,1,ARS
2021-07-06,147.0,147.0,147.0,147.0,1,ARS
2021-07-07,147.0,147.0,146.5,146.5,342,ARS
2021-07-08,146.5,146.5,146.5,146.5,10,ARS
2021-07-12,145.0,145.0,145.0,145.0,4,ARS
2021-07-13,145.0,145.0,144.0,144.0,265,ARS
2021-07-14,144.0,144.0,144.0,144.0,15,ARS
2021-07-15,149.0,149.0,149.0,149.0,144,ARS
2021-07-16,149.0,149.0,149.0,149.0,96,ARS
2021-07-20,149.0,149.0,149.0,149.0,1,ARS
2021-07-21,152.0,152.0,152.0,152.0,233,ARS
2021-07-22,152.0,152.0,151.5,151.5,179,ARS
2021-07-27,150.0,150.0,149.5,149.5,212,ARS
2021-07-28,149.5,149.5,149.5,149.5,180,ARS
2021-07-29,149.5,149.5,149.5,149.5,460,ARS
2021-07-30,149.0,149.0,149.0,149.0,301,ARS
2021-08-02,147.0,147.0,147.0,147.0,64,ARS
2021-08-03,147.0,147.0,147.0,147.0,7,ARS
2021-08-04,147.0,147.0,147.0,147.0,200,ARS
2021-08-05,143.0,143.0,143.0,143.0,239,ARS
2021-08-06,141.0,141.0,141.0,141.0,500,ARS
2021-08-09,140.0,140.0,140.0,140.0,428,ARS
2021-08-10,140.0,140.0,140.0,140.0,373,ARS
2021-08-11,140.0,140.0,140.0,140.0,55,ARS
2021-08-12,140.0,140.0,140.0,140.0,348,ARS
2021-08-13,136.0,136.0,136.0,136.0,1355,ARS
2021-08-17,134.0,134.0,134.0,134.0,108,ARS
2021-08-18,133.0,133.0,133.0,133.0,447,ARS
2021-08-19,128.0,128.0,128.0,128.0,1,ARS
2021-08-20,128.0,128.0,128.0,128.0,3,ARS
