Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,10.85,10.85,10.8,10.8,8358,ARS
2021-07-05,10.8,10.8,10.5,10.5,4421,ARS
2021-07-06,10.45,10.5,10.45,10.5,140,ARS
2021-07-07,10.8,10.8,10.5,10.8,4601,ARS
2021-07-12,10.8,10.8,10.8,10.8,100,ARS
2021-07-14,10.7,10.8,10.7,10.8,160,ARS
2021-07-15,10.6,10.6,10.6,10.6,250,ARS
2021-07-16,10.4,10.4,10.4,10.4,2001,ARS
2021-07-19,10.75,10.75,10.75,10.75,777,ARS
2021-07-20,10.75,10.75,10.75,10.75,1344,ARS
2021-07-21,10.0,10.0,10.0,10.0,4,ARS
2021-07-22,10.05,10.05,10.0,10.0,2200,ARS
2021-07-23,10.0,10.0,9.9,9.9,1014,ARS
2021-07-26,9.9,9.9,9.9,9.9,1852,ARS
2021-07-27,10.0,10.0,10.0,10.0,2,ARS
2021-07-28,10.8,10.8,10.8,10.8,4000,ARS
2021-07-29,10.65,10.65,10.65,10.65,877,ARS
2021-08-02,10.1,10.5,10.1,10.5,350,ARS
2021-08-03,10.5,10.5,10.4,10.4,499,ARS
2021-08-04,10.35,10.35,10.35,10.35,700,ARS
2021-08-05,10.35,10.35,10.35,10.35,1400,ARS
2021-08-06,10.35,10.35,10.35,10.35,203,ARS
2021-08-09,10.0,10.35,10.0,10.35,3760,ARS
2021-08-10,10.4,10.4,10.35,10.4,510,ARS
2021-08-11,10.45,10.45,10.45,10.45,683,ARS
2021-08-12,10.4,10.5,10.4,10.5,1234,ARS
2021-08-13,10.55,10.55,10.45,10.45,1743,ARS
2021-08-17,10.45,10.65,10.45,10.65,728,ARS
2021-08-18,10.65,10.65,10.65,10.65,1800,ARS
2021-08-19,10.6,10.6,10.45,10.45,2000,ARS
2021-08-20,10.6,10.6,10.6,10.6,1265,ARS
