Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,5.5,5.5,5.32,5.35,34987,ARS
2021-05-14,5.4,5.41,5.35,5.39,4329,ARS
2021-05-17,5.49,5.49,5.28,5.33,104071,ARS
2021-05-18,5.29,5.4,5.25,5.4,210238,ARS
2021-05-19,5.39,5.39,5.24,5.3,34407,ARS
2021-05-20,5.28,5.38,5.25,5.34,182746,ARS
2021-05-21,5.44,5.44,5.23,5.3,125502,ARS
2021-05-26,5.3,5.44,5.22,5.44,42778,ARS
2021-05-27,5.44,5.48,5.27,5.42,338479,ARS
2021-05-28,5.48,5.64,5.3,5.59,113585,ARS
2021-05-31,5.65,5.7,5.51,5.61,23219,ARS
2021-06-01,5.7,5.73,5.57,5.65,123045,ARS
2021-06-02,5.65,5.65,5.45,5.65,98662,ARS
2021-06-03,5.65,5.65,5.55,5.55,119516,ARS
2021-06-04,5.72,5.86,5.55,5.73,77071,ARS
2021-06-07,5.73,6.01,5.55,5.95,212834,ARS
2021-06-08,6.0,6.0,5.75,5.78,26881,ARS
2021-06-09,5.7,6.16,5.7,6.15,194341,ARS
2021-06-10,6.15,6.38,5.95,5.95,142894,ARS
2021-06-11,6.05,6.05,5.72,5.78,102690,ARS
2021-06-14,5.75,6.18,5.66,6.0,152783,ARS
2021-06-15,6.0,6.1,5.76,5.88,250533,ARS
2021-06-16,5.9,6.1,5.8,5.97,113640,ARS
2021-06-17,5.97,6.0,5.75,5.97,27131,ARS
2021-06-18,5.99,5.99,5.76,5.76,50912,ARS
2021-06-22,5.76,5.76,5.41,5.41,129795,ARS
2021-06-23,5.5,5.75,5.5,5.59,42739,ARS
2021-06-24,5.76,5.76,5.6,5.6,33741,ARS
2021-06-25,5.55,5.7,5.35,5.49,76809,ARS
2021-06-28,5.4,5.6,5.39,5.39,47988,ARS
2021-06-29,5.47,5.55,5.4,5.55,15321,ARS
2021-06-30,5.75,5.75,5.5,5.51,21592,ARS
2021-07-01,5.6,5.65,5.32,5.54,60492,ARS
2021-07-02,5.6,5.69,5.46,5.65,53601,ARS
2021-07-05,5.66,5.72,5.66,5.72,18366,ARS
2021-07-06,5.71,5.72,5.55,5.72,58842,ARS
2021-07-07,5.7,5.72,5.5,5.7,17601,ARS
2021-07-08,5.75,5.75,5.5,5.6,26342,ARS
2021-07-12,5.6,5.7,5.46,5.48,96783,ARS
2021-07-13,5.55,5.7,5.5,5.63,29091,ARS
2021-07-14,5.7,5.7,5.5,5.6,22956,ARS
2021-07-15,5.62,5.62,5.4,5.59,35768,ARS
2021-07-16,5.55,5.55,5.43,5.5,45792,ARS
2021-07-19,5.46,5.6,5.3,5.3,81498,ARS
2021-07-20,5.31,5.55,5.3,5.5,49079,ARS
2021-07-21,5.59,5.59,5.4,5.53,29879,ARS
2021-07-22,5.53,5.6,5.4,5.41,4795,ARS
2021-07-23,5.6,5.6,5.35,5.55,5163,ARS
2021-07-26,5.64,5.64,5.55,5.55,4378,ARS
2021-07-27,5.5,5.5,5.38,5.5,3641,ARS
2021-07-28,5.48,5.64,5.48,5.52,20965,ARS
2021-07-29,5.55,5.55,5.4,5.5,7470,ARS
2021-07-30,5.49,5.55,5.4,5.45,48854,ARS
2021-08-02,5.49,5.6,5.49,5.55,4311,ARS
2021-08-03,5.55,5.6,5.38,5.55,8307,ARS
2021-08-04,5.55,5.55,5.25,5.4,30841,ARS
2021-08-05,5.5,5.5,5.38,5.45,30391,ARS
2021-08-06,5.47,5.55,5.45,5.45,52275,ARS
2021-08-09,5.6,5.6,5.4,5.45,67787,ARS
2021-08-10,5.58,5.58,5.4,5.42,9219,ARS
2021-08-11,5.55,5.55,5.4,5.5,10025,ARS
2021-08-12,5.58,5.6,5.35,5.56,56516,ARS
2021-08-13,5.58,5.58,5.4,5.57,21618,ARS
2021-08-17,5.39,5.55,5.39,5.4,21860,ARS
2021-08-18,5.4,5.57,5.31,5.57,91292,ARS
2021-08-19,5.6,5.6,5.4,5.55,44166,ARS
2021-08-20,5.45,5.45,5.41,5.41,47588,ARS
