Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,68.0,71.0,67.25,70.35,180898,ARS
2021-07-05,70.5,71.9,70.1,71.5,61438,ARS
2021-07-06,71.75,72.0,69.0,69.95,60969,ARS
2021-07-07,71.4,71.4,68.0,69.4,178184,ARS
2021-07-08,69.0,69.0,66.1,67.5,659581,ARS
2021-07-12,66.5,70.7,66.5,70.5,190059,ARS
2021-07-13,70.65,72.0,69.5,71.5,143187,ARS
2021-07-14,71.4,72.45,69.7,70.85,89115,ARS
2021-07-15,70.55,71.25,69.2,70.5,83604,ARS
2021-07-16,70.5,70.5,67.5,68.9,88010,ARS
2021-07-19,68.0,68.35,66.6,68.1,54942,ARS
2021-07-20,68.15,69.8,68.15,69.2,139594,ARS
2021-07-21,71.3,72.8,70.2,72.7,127046,ARS
2021-07-22,72.65,72.65,70.35,71.5,48511,ARS
2021-07-23,71.5,72.05,68.55,69.0,338016,ARS
2021-07-26,69.9,72.0,69.0,69.85,124830,ARS
2021-07-27,70.0,70.1,69.0,69.45,55623,ARS
2021-07-28,70.0,70.9,69.3,70.4,90491,ARS
2021-07-29,70.5,71.2,69.35,70.85,166416,ARS
2021-07-30,71.0,71.75,68.65,68.75,162831,ARS
2021-08-02,71.0,71.0,68.0,68.3,161879,ARS
2021-08-03,69.7,70.0,67.2,69.8,94247,ARS
2021-08-04,70.0,70.15,68.1,69.3,107007,ARS
2021-08-05,69.1,70.0,68.35,69.5,126375,ARS
2021-08-06,69.5,70.4,68.35,69.45,58552,ARS
2021-08-09,70.1,70.1,68.7,69.5,94401,ARS
2021-08-10,69.5,73.0,69.0,72.9,464774,ARS
2021-08-11,73.35,75.0,71.1,74.7,275367,ARS
2021-08-12,74.8,75.3,72.5,73.7,174575,ARS
2021-08-13,71.0,73.9,71.0,73.5,75466,ARS
2021-08-17,70.9,72.9,70.1,71.2,109329,ARS
2021-08-18,70.7,72.55,69.5,70.9,110580,ARS
2021-08-19,69.1,70.7,69.0,69.9,153170,ARS
2021-08-20,70.7,72.0,70.0,71.25,100876,ARS
