Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,156.0,159.5,154.25,158.0,101926,ARS
2021-05-14,160.0,164.75,159.5,163.0,134925,ARS
2021-05-17,162.0,164.5,158.35,164.0,91107,ARS
2021-05-18,162.5,173.5,162.5,172.0,238272,ARS
2021-05-19,168.0,173.8,166.0,172.5,222565,ARS
2021-05-20,172.0,173.45,168.0,171.0,130917,ARS
2021-05-21,173.3,174.5,168.0,171.5,122799,ARS
2021-05-26,167.15,174.4,161.7,172.45,126714,ARS
2021-05-27,177.0,198.75,177.0,184.2,1269900,ARS
2021-05-28,185.5,193.1,184.5,187.5,143797,ARS
2021-05-31,189.25,190.75,186.2,189.3,49527,ARS
2021-06-01,190.5,193.8,188.0,189.5,112996,ARS
2021-06-02,189.5,192.35,188.0,191.5,77122,ARS
2021-06-03,187.4,190.0,183.65,189.45,105672,ARS
2021-06-04,189.7,196.0,186.1,195.9,278347,ARS
2021-06-07,197.0,208.7,197.0,208.5,421714,ARS
2021-06-08,207.5,209.0,203.25,208.5,130053,ARS
2021-06-09,211.6,217.7,211.45,216.0,129303,ARS
2021-06-10,217.8,217.8,214.0,214.0,180396,ARS
2021-06-11,212.0,212.0,200.95,206.0,131841,ARS
2021-06-14,202.65,204.75,198.2,202.7,141273,ARS
2021-06-15,203.0,203.1,199.05,202.2,58596,ARS
2021-06-16,203.0,205.85,200.4,201.75,35875,ARS
2021-06-17,201.15,203.0,194.5,197.8,207451,ARS
2021-06-18,194.15,194.15,186.5,188.0,196712,ARS
2021-06-22,184.9,187.75,181.9,187.2,154602,ARS
2021-06-23,188.0,194.75,184.0,194.75,330467,ARS
2021-06-24,193.45,194.45,190.5,191.5,172221,ARS
2021-06-25,188.0,191.45,185.2,190.6,173507,ARS
2021-06-28,190.0,190.0,184.2,185.0,109977,ARS
2021-06-29,184.0,188.95,182.0,185.7,242137,ARS
2021-06-30,184.85,185.2,181.7,184.65,37852,ARS
2021-07-01,181.7,182.45,174.0,175.7,154109,ARS
2021-07-02,176.0,179.1,175.75,179.1,133929,ARS
2021-07-05,179.0,183.5,177.9,183.3,28977,ARS
2021-07-06,181.0,181.0,173.9,175.7,364295,ARS
2021-07-07,175.5,175.5,172.0,175.0,366268,ARS
2021-07-08,174.45,175.0,170.05,173.75,56094,ARS
2021-07-12,172.0,180.0,171.75,179.0,205345,ARS
2021-07-13,176.65,177.65,173.5,175.1,307173,ARS
2021-07-14,175.1,177.3,173.0,175.5,82333,ARS
2021-07-15,176.0,176.35,172.2,176.0,114164,ARS
2021-07-16,175.0,180.2,173.7,178.55,76606,ARS
2021-07-19,174.0,176.75,168.75,176.0,25373,ARS
2021-07-20,176.35,180.0,176.0,179.9,39425,ARS
2021-07-21,180.25,185.0,178.0,185.0,86852,ARS
2021-07-22,185.0,185.6,179.75,182.25,61665,ARS
2021-07-23,182.0,187.9,177.0,179.0,53386,ARS
2021-07-26,179.05,183.0,179.05,180.9,43176,ARS
2021-07-27,178.9,183.0,178.4,182.5,30580,ARS
2021-07-28,181.5,186.0,181.5,184.4,27657,ARS
2021-07-29,184.4,185.0,180.55,183.5,21939,ARS
2021-07-30,184.0,184.0,178.0,182.1,41667,ARS
2021-08-02,185.7,185.7,179.5,181.6,43561,ARS
2021-08-03,182.0,184.15,178.05,179.75,28280,ARS
2021-08-04,180.0,181.5,178.5,180.5,47996,ARS
2021-08-05,180.45,183.0,180.0,182.75,28805,ARS
2021-08-06,183.0,186.9,182.6,186.9,54619,ARS
2021-08-09,186.0,187.0,180.0,180.15,787456,ARS
2021-08-10,180.2,181.45,177.1,180.5,70876,ARS
2021-08-11,179.5,182.05,178.0,182.0,60768,ARS
2021-08-12,182.95,182.95,172.0,179.9,211448,ARS
2021-08-13,180.5,180.5,173.0,178.4,79705,ARS
2021-08-17,178.75,179.9,174.1,177.7,82932,ARS
2021-08-18,177.0,182.75,174.1,180.1,54716,ARS
2021-08-19,181.1,181.1,174.2,179.5,46011,ARS
2021-08-20,179.55,188.5,178.0,186.0,356800,ARS
