Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,3.06,3.14,3.04,3.08,247817,ARS
2021-05-14,3.09,3.17,3.08,3.17,929715,ARS
2021-05-17,3.18,3.25,3.09,3.16,458291,ARS
2021-05-18,3.23,3.23,3.12,3.17,333958,ARS
2021-05-19,3.19,3.19,3.1,3.13,380684,ARS
2021-05-20,3.11,3.5,3.11,3.23,1177604,ARS
2021-05-21,3.25,3.35,3.17,3.22,702970,ARS
2021-05-26,3.21,3.21,3.08,3.2,510269,ARS
2021-05-27,3.23,3.6,3.16,3.49,2179763,ARS
2021-05-28,3.5,3.79,3.5,3.74,2130411,ARS
2021-05-31,3.74,4.07,3.74,3.85,1569527,ARS
2021-06-01,4.0,4.0,3.65,3.85,866109,ARS
2021-06-02,3.95,3.95,3.6,3.73,878496,ARS
2021-06-03,3.77,3.77,3.64,3.68,587375,ARS
2021-06-04,3.69,3.9,3.69,3.87,1008546,ARS
2021-06-07,3.93,4.25,3.89,4.03,1494335,ARS
2021-06-08,4.1,4.17,3.99,3.99,1208440,ARS
2021-06-09,3.99,4.2,3.99,4.15,565667,ARS
2021-06-10,4.15,4.29,4.03,4.23,1127148,ARS
2021-06-11,4.24,4.24,4.0,4.1,454341,ARS
2021-06-14,4.13,4.17,4.0,4.0,389756,ARS
2021-06-15,4.01,4.11,3.96,3.98,227581,ARS
2021-06-16,3.98,4.11,3.9,4.07,618144,ARS
2021-06-17,4.12,4.12,3.84,3.9,844763,ARS
2021-06-18,4.0,4.0,3.85,3.9,117782,ARS
2021-06-22,3.95,3.95,3.7,3.78,382086,ARS
2021-06-23,3.8,3.9,3.76,3.76,136509,ARS
2021-06-24,3.89,3.89,3.69,3.74,284304,ARS
2021-06-25,3.65,3.68,3.49,3.59,1058657,ARS
2021-06-28,3.6,3.7,3.55,3.69,366977,ARS
2021-06-29,3.6,3.72,3.59,3.64,176904,ARS
2021-06-30,3.75,3.75,3.57,3.64,376416,ARS
2021-07-01,3.6,3.68,3.55,3.58,273411,ARS
2021-07-02,3.75,3.77,3.5,3.73,977943,ARS
2021-07-05,3.8,4.15,3.72,4.11,1301316,ARS
2021-07-06,4.2,4.29,4.0,4.18,875071,ARS
2021-07-07,4.19,4.19,4.01,4.05,512400,ARS
2021-07-08,4.05,4.18,3.97,4.03,556588,ARS
2021-07-12,4.11,4.18,3.92,3.97,402338,ARS
2021-07-13,3.97,4.14,3.82,3.9,406580,ARS
2021-07-14,3.95,3.99,3.85,3.89,228029,ARS
2021-07-15,3.9,3.93,3.8,3.87,127217,ARS
2021-07-16,3.95,3.97,3.81,3.96,244822,ARS
2021-07-19,3.94,4.0,3.81,3.93,103200,ARS
2021-07-20,3.93,4.06,3.82,4.03,478673,ARS
2021-07-21,4.1,4.11,3.99,4.02,363284,ARS
2021-07-22,4.05,4.05,3.93,3.98,88423,ARS
2021-07-23,4.02,4.08,3.93,3.96,212017,ARS
2021-07-26,4.0,4.03,3.85,3.97,185560,ARS
2021-07-27,4.03,4.03,3.9,3.95,178999,ARS
2021-07-28,3.97,4.0,3.84,3.93,225473,ARS
2021-07-29,3.94,3.99,3.81,3.87,235518,ARS
2021-07-30,3.96,3.96,3.8,3.8,209148,ARS
2021-08-02,3.8,3.92,3.75,3.9,247031,ARS
2021-08-03,3.89,3.9,3.77,3.8,77799,ARS
2021-08-04,3.8,3.89,3.77,3.8,57767,ARS
2021-08-05,3.8,3.87,3.77,3.82,118449,ARS
2021-08-06,3.89,3.9,3.77,3.86,112352,ARS
2021-08-09,3.89,3.89,3.77,3.8,134309,ARS
2021-08-10,3.84,3.84,3.76,3.8,158072,ARS
2021-08-11,3.92,3.92,3.77,3.87,70524,ARS
2021-08-12,3.88,3.88,3.79,3.81,177225,ARS
2021-08-13,3.9,3.9,3.81,3.85,37222,ARS
2021-08-17,3.85,3.85,3.75,3.79,92580,ARS
2021-08-18,3.79,3.79,3.7,3.76,159172,ARS
2021-08-19,3.74,3.75,3.6,3.67,146374,ARS
2021-08-20,3.6,3.86,3.6,3.76,116006,ARS
