Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,56.3,56.3,54.1,55.9,557571,ARS
2021-07-05,56.0,56.9,55.2,56.6,362226,ARS
2021-07-06,56.5,56.5,55.7,56.4,214140,ARS
2021-07-07,56.0,57.2,55.8,56.1,126108,ARS
2021-07-08,55.9,55.9,53.7,54.0,273100,ARS
2021-07-12,53.5,56.9,52.6,56.4,145948,ARS
2021-07-13,56.1,57.0,55.1,56.4,148010,ARS
2021-07-14,57.0,57.4,55.7,56.1,297162,ARS
2021-07-15,55.5,57.0,54.6,55.9,125187,ARS
2021-07-16,55.1,55.7,54.2,55.0,178607,ARS
2021-07-19,54.0,55.2,52.3,54.9,136930,ARS
2021-07-20,55.1,55.5,54.0,55.5,120580,ARS
2021-07-21,55.9,56.5,55.6,56.3,240377,ARS
2021-07-22,56.7,57.6,56.0,56.4,187346,ARS
2021-07-23,56.4,56.8,55.0,55.5,149935,ARS
2021-07-26,55.5,56.5,53.8,54.4,180536,ARS
2021-07-27,54.1,54.6,53.5,53.9,120458,ARS
2021-07-28,54.0,54.7,52.6,53.0,138617,ARS
2021-07-29,53.1,53.5,52.6,53.0,264719,ARS
2021-07-30,53.0,53.3,51.2,51.4,202461,ARS
2021-08-02,53.6,53.6,51.2,51.3,151965,ARS
2021-08-03,51.3,53.7,50.5,53.7,194843,ARS
2021-08-04,52.5,54.1,52.0,52.2,96855,ARS
2021-08-05,52.8,53.2,52.1,53.2,157056,ARS
2021-08-06,53.2,53.9,51.6,53.3,80888,ARS
2021-08-09,53.5,56.0,52.4,54.8,273381,ARS
2021-08-10,55.0,59.7,55.0,59.3,601817,ARS
2021-08-11,59.1,62.0,58.2,60.8,657508,ARS
2021-08-12,60.9,62.4,59.3,61.9,418789,ARS
2021-08-13,61.7,62.2,59.0,59.0,191134,ARS
2021-08-17,59.5,59.8,57.2,58.3,154589,ARS
2021-08-18,57.5,60.1,57.2,58.9,196320,ARS
2021-08-19,59.0,59.0,56.2,58.7,270850,ARS
2021-08-20,58.3,60.9,58.3,60.4,200745,ARS
