Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,154.3,161.0,154.25,158.3,46000,ARS
2021-07-05,158.9,165.0,158.9,162.0,17124,ARS
2021-07-06,164.0,164.0,155.0,158.0,61814,ARS
2021-07-07,160.0,160.0,154.9,157.0,50529,ARS
2021-07-08,157.0,161.0,152.0,154.95,54328,ARS
2021-07-12,156.35,165.8,156.35,163.1,135774,ARS
2021-07-13,164.5,165.5,161.2,164.1,49235,ARS
2021-07-14,164.1,166.0,157.0,157.0,97072,ARS
2021-07-15,160.0,162.0,154.25,158.35,49132,ARS
2021-07-16,159.5,159.5,154.3,156.5,58649,ARS
2021-07-19,155.9,156.0,149.0,155.0,37926,ARS
2021-07-20,155.0,162.0,155.0,162.0,32080,ARS
2021-07-21,161.5,164.0,159.0,162.0,77055,ARS
2021-07-22,162.0,164.0,158.65,160.5,16412,ARS
2021-07-23,161.0,163.0,158.0,159.0,22168,ARS
2021-07-26,158.95,164.7,158.95,163.0,31914,ARS
2021-07-27,165.0,165.0,159.55,164.0,13967,ARS
2021-07-28,164.0,165.2,159.0,161.95,76988,ARS
2021-07-29,161.0,163.5,158.5,163.4,86006,ARS
2021-07-30,162.1,164.0,156.6,160.0,129917,ARS
2021-08-02,158.0,162.0,158.0,160.25,33749,ARS
2021-08-03,157.0,163.0,156.15,161.5,47500,ARS
2021-08-04,164.0,164.0,157.0,158.0,82356,ARS
2021-08-05,159.5,166.5,158.3,165.5,117031,ARS
2021-08-06,165.0,173.0,163.5,171.9,154074,ARS
2021-08-09,171.85,172.5,166.0,166.1,63928,ARS
2021-08-10,167.0,171.0,165.5,171.0,57257,ARS
2021-08-11,173.9,173.9,168.25,172.75,79003,ARS
2021-08-12,173.0,173.95,168.9,173.85,85408,ARS
2021-08-13,170.5,174.5,168.0,168.75,40441,ARS
2021-08-17,170.0,170.0,163.0,165.9,53552,ARS
2021-08-18,165.8,165.8,160.0,162.9,26473,ARS
2021-08-19,159.75,164.5,157.55,163.75,80625,ARS
2021-08-20,164.2,171.0,163.85,169.75,67803,ARS
