Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,32.0,32.3,31.5,32.2,112932,ARS
2021-07-05,32.05,32.8,32.05,32.25,304098,ARS
2021-07-06,32.45,32.8,31.25,31.85,335897,ARS
2021-07-07,32.4,32.4,30.4,30.7,430724,ARS
2021-07-08,30.9,30.95,29.65,30.85,395468,ARS
2021-07-12,31.0,32.0,30.8,32.0,121801,ARS
2021-07-13,32.5,32.75,31.7,32.75,256143,ARS
2021-07-14,33.15,33.4,32.8,33.25,229667,ARS
2021-07-15,33.2,33.7,33.0,33.2,269458,ARS
2021-07-16,33.3,33.3,32.3,33.0,259831,ARS
2021-07-19,32.5,33.15,31.55,32.5,238949,ARS
2021-07-20,33.0,33.5,32.0,33.3,118917,ARS
2021-07-21,33.35,34.45,33.35,34.35,269255,ARS
2021-07-22,34.0,34.5,33.5,34.4,431162,ARS
2021-07-23,34.0,34.6,33.55,34.4,743106,ARS
2021-07-26,34.4,34.9,33.5,33.7,203326,ARS
2021-07-27,33.15,33.9,32.15,33.9,380985,ARS
2021-07-28,33.7,33.95,32.7,33.15,80024,ARS
2021-07-29,32.65,34.0,32.65,33.65,337675,ARS
2021-07-30,33.9,33.9,32.3,32.35,170728,ARS
2021-08-02,33.3,33.3,31.75,32.45,322402,ARS
2021-08-03,32.3,33.2,31.05,32.25,126838,ARS
2021-08-04,32.25,32.7,31.35,31.45,79071,ARS
2021-08-05,31.95,32.8,31.45,32.65,246494,ARS
2021-08-06,32.8,33.0,32.1,32.75,96592,ARS
2021-08-09,32.75,33.0,32.05,32.25,123660,ARS
2021-08-10,32.25,33.25,32.05,32.85,296153,ARS
2021-08-11,32.85,33.9,32.25,33.3,716125,ARS
2021-08-12,33.35,34.0,33.2,33.55,280246,ARS
2021-08-13,33.55,33.9,33.25,33.75,285960,ARS
2021-08-17,33.7,33.75,32.6,33.0,235538,ARS
2021-08-18,32.35,33.15,32.15,32.85,183880,ARS
2021-08-19,32.7,32.7,31.4,31.9,421072,ARS
2021-08-20,31.85,32.2,31.55,32.15,376394,ARS
