Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,55.8,57.0,55.8,56.7,771465,ARS
2021-05-14,56.7,59.3,55.7,58.7,898263,ARS
2021-05-17,59.5,60.0,57.1,57.2,1598375,ARS
2021-05-18,56.5,58.4,56.5,57.8,535068,ARS
2021-05-19,57.5,59.0,56.1,59.0,746812,ARS
2021-05-20,58.9,60.0,58.1,60.0,542465,ARS
2021-05-21,59.9,60.0,58.2,58.6,534676,ARS
2021-05-26,58.7,60.0,58.2,59.5,366220,ARS
2021-05-27,59.5,60.3,59.0,59.9,1188391,ARS
2021-05-28,60.0,62.6,59.9,62.6,798031,ARS
2021-05-31,63.0,64.0,62.5,63.5,480648,ARS
2021-06-01,63.4,64.1,61.1,61.3,907949,ARS
2021-06-02,61.4,64.5,59.5,64.5,1407921,ARS
2021-06-03,64.4,66.7,63.1,66.5,1061752,ARS
2021-06-04,66.5,69.5,65.8,68.5,1026354,ARS
2021-06-07,69.0,71.0,67.0,67.2,663750,ARS
2021-06-08,67.0,68.5,65.1,67.0,1094845,ARS
2021-06-09,66.7,68.9,66.7,68.6,1011129,ARS
2021-06-10,69.3,69.5,66.8,67.9,1004733,ARS
2021-06-11,68.1,69.0,67.2,68.7,855225,ARS
2021-06-14,69.0,70.8,68.1,70.5,721074,ARS
2021-06-15,70.5,70.8,68.0,70.5,783052,ARS
2021-06-16,70.5,70.8,68.7,70.8,747289,ARS
2021-06-17,70.9,71.4,69.8,71.0,784268,ARS
2021-06-18,71.3,71.3,69.3,69.3,240374,ARS
2021-06-22,69.0,70.4,68.0,70.4,593626,ARS
2021-06-23,70.3,73.4,70.0,72.2,1197268,ARS
2021-06-24,73.0,77.1,71.5,77.1,629678,ARS
2021-06-25,73.5,77.5,71.1,77.4,1111592,ARS
2021-06-28,77.0,78.0,73.6,75.0,502836,ARS
2021-06-29,75.2,75.2,72.9,73.5,888701,ARS
2021-06-30,73.9,74.4,69.5,70.6,933539,ARS
2021-07-01,70.8,71.5,69.5,70.5,450712,ARS
2021-07-02,70.8,73.3,69.9,72.9,619129,ARS
2021-07-05,73.5,75.9,73.5,75.9,472767,ARS
2021-07-06,75.8,77.0,74.0,76.6,755462,ARS
2021-07-07,77.0,77.9,74.6,76.1,634351,ARS
2021-07-08,76.2,76.2,74.0,74.4,449791,ARS
2021-07-12,74.8,76.8,73.3,74.2,690930,ARS
2021-07-13,74.5,75.4,72.6,74.8,1809405,ARS
2021-07-14,75.0,75.5,73.4,74.3,301261,ARS
2021-07-15,74.4,75.0,73.2,75.0,416880,ARS
2021-07-16,75.8,75.8,74.0,75.3,213824,ARS
2021-07-19,74.3,75.5,72.7,72.8,392916,ARS
2021-07-20,72.8,75.0,72.8,74.9,548662,ARS
2021-07-21,75.1,80.0,75.1,79.8,746775,ARS
2021-07-22,79.0,80.7,78.8,79.7,381549,ARS
2021-07-23,79.6,80.0,79.0,79.0,397906,ARS
2021-07-26,79.9,79.9,78.3,78.3,233111,ARS
2021-07-27,79.0,80.5,78.0,80.0,525581,ARS
2021-07-28,79.9,83.7,78.1,83.6,553275,ARS
2021-07-29,84.5,85.4,83.8,85.3,731490,ARS
2021-07-30,86.0,86.5,83.8,84.0,586899,ARS
2021-08-02,85.0,85.8,82.5,84.9,614561,ARS
2021-08-03,84.5,85.4,82.3,82.8,455487,ARS
2021-08-04,84.3,84.3,80.1,83.2,621980,ARS
2021-08-05,83.7,83.7,82.6,83.5,539804,ARS
2021-08-06,83.0,83.9,79.3,81.0,1230058,ARS
2021-08-09,80.5,84.5,80.3,84.4,723911,ARS
2021-08-10,85.1,86.8,84.4,86.5,685598,ARS
2021-08-11,86.4,89.2,86.1,88.5,416117,ARS
2021-08-12,88.5,89.6,87.0,88.6,570991,ARS
2021-08-13,89.0,90.0,87.0,90.0,320096,ARS
2021-08-17,90.5,91.3,88.0,90.0,323435,ARS
2021-08-18,89.7,90.3,86.4,87.5,494245,ARS
2021-08-19,87.5,88.5,85.1,88.3,427202,ARS
2021-08-20,88.0,90.1,87.5,90.0,654060,ARS
