Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,26.0,26.3,25.5,26.25,738023,ARS
2021-07-05,26.3,26.85,26.3,26.6,294284,ARS
2021-07-06,26.8,27.0,26.35,26.5,579890,ARS
2021-07-07,26.5,26.95,26.2,26.3,171245,ARS
2021-07-08,26.1,26.25,25.55,25.6,136155,ARS
2021-07-12,25.5,26.5,25.5,26.0,277261,ARS
2021-07-13,26.1,26.45,25.45,25.55,741284,ARS
2021-07-14,25.6,25.95,25.35,25.55,200839,ARS
2021-07-15,25.8,25.8,25.35,25.35,106697,ARS
2021-07-16,25.4,25.7,25.35,25.5,79526,ARS
2021-07-19,25.3,25.5,25.0,25.2,189389,ARS
2021-07-20,25.1,25.8,25.1,25.55,128715,ARS
2021-07-21,25.65,26.0,25.65,25.95,555698,ARS
2021-07-22,26.0,26.1,25.55,25.6,126437,ARS
2021-07-23,25.6,25.95,25.25,25.6,819565,ARS
2021-07-26,25.2,25.9,25.2,25.4,85282,ARS
2021-07-27,25.25,25.75,25.25,25.5,213054,ARS
2021-07-28,25.95,25.95,24.9,25.15,437221,ARS
2021-07-29,25.45,25.45,24.85,24.95,686177,ARS
2021-07-30,25.1,25.15,24.25,24.35,404626,ARS
2021-08-02,24.35,24.9,23.75,24.0,872373,ARS
2021-08-03,23.85,24.45,23.7,23.95,341245,ARS
2021-08-04,24.1,24.5,23.6,23.95,632452,ARS
2021-08-05,23.85,24.4,23.5,23.9,612908,ARS
2021-08-06,24.0,24.05,23.45,23.6,706124,ARS
2021-08-09,23.8,23.95,23.05,23.35,1032601,ARS
2021-08-10,23.25,23.6,23.0,23.6,2366425,ARS
2021-08-11,23.7,24.5,23.7,24.5,1828988,ARS
2021-08-12,24.6,24.95,23.9,24.1,1054899,ARS
2021-08-13,24.0,24.3,23.45,23.8,503748,ARS
2021-08-17,23.9,24.35,23.15,23.25,252367,ARS
2021-08-18,23.45,23.65,22.6,22.8,388627,ARS
2021-08-19,22.6,23.25,22.45,22.7,250915,ARS
2021-08-20,22.7,23.3,22.3,23.2,378235,ARS
