Date,Open,High,Low,Adj Close,Volume,Currency
2021-05-13,671.05,681.25,650.15,667.0,297652,ARS
2021-05-14,691.0,715.9,684.1,702.5,394453,ARS
2021-05-17,700.0,751.0,690.0,735.0,294305,ARS
2021-05-18,739.0,763.0,735.0,753.0,242323,ARS
2021-05-19,733.0,749.95,720.0,734.5,116296,ARS
2021-05-20,746.0,754.3,731.5,744.0,130692,ARS
2021-05-21,742.95,753.5,728.6,730.05,188608,ARS
2021-05-26,734.05,745.95,731.6,742.5,49208,ARS
2021-05-27,740.05,753.95,740.0,749.0,78614,ARS
2021-05-28,763.0,770.0,756.9,758.0,202412,ARS
2021-05-31,763.05,768.0,745.1,745.1,50937,ARS
2021-06-01,780.05,803.0,780.05,800.9,268284,ARS
2021-06-02,820.1,829.9,807.05,815.65,177044,ARS
2021-06-03,813.95,855.0,810.0,850.95,206234,ARS
2021-06-04,852.0,890.45,844.15,886.0,309640,ARS
2021-06-07,903.35,953.0,900.05,948.0,446933,ARS
2021-06-08,922.0,930.0,902.0,908.0,208415,ARS
2021-06-09,905.0,924.5,896.0,910.5,175472,ARS
2021-06-10,940.05,951.95,922.0,932.0,192754,ARS
2021-06-11,920.0,927.35,867.0,881.9,178351,ARS
2021-06-14,899.65,922.0,888.0,890.0,96731,ARS
2021-06-15,891.15,904.95,867.0,898.0,99866,ARS
2021-06-16,889.95,904.45,880.0,896.0,125492,ARS
2021-06-17,897.9,897.95,846.05,860.0,138209,ARS
2021-06-18,832.95,854.0,821.2,844.0,126546,ARS
2021-06-22,832.15,897.0,822.05,874.0,123736,ARS
2021-06-23,894.0,904.35,854.0,865.0,107341,ARS
2021-06-24,859.95,885.0,851.0,875.95,57439,ARS
2021-06-25,785.0,835.0,781.0,831.0,699339,ARS
2021-06-28,811.0,811.0,794.0,807.45,242519,ARS
2021-06-29,799.95,799.95,782.0,782.0,199524,ARS
2021-06-30,781.25,804.95,781.25,795.0,166028,ARS
2021-07-01,798.95,811.5,796.05,799.0,66113,ARS
2021-07-02,792.5,799.0,781.1,795.0,96017,ARS
2021-07-05,809.0,809.0,797.0,797.0,41923,ARS
2021-07-06,800.05,813.0,763.5,769.0,204449,ARS
2021-07-07,763.75,770.0,747.05,769.4,157450,ARS
2021-07-08,758.4,759.95,743.0,746.0,93790,ARS
2021-07-12,760.0,800.0,755.0,785.6,201209,ARS
2021-07-13,787.95,800.0,783.0,792.15,90820,ARS
2021-07-14,800.0,805.0,779.0,779.5,72604,ARS
2021-07-15,780.0,788.15,764.0,768.2,42342,ARS
2021-07-16,758.45,760.0,738.05,744.0,96929,ARS
2021-07-19,728.0,742.0,715.0,735.05,131047,ARS
2021-07-20,735.95,759.0,728.0,745.0,138006,ARS
2021-07-21,767.05,790.0,767.05,790.0,123700,ARS
2021-07-22,776.95,784.95,768.0,784.5,93112,ARS
2021-07-23,779.05,780.25,763.0,766.0,82894,ARS
2021-07-26,777.6,790.0,777.1,784.0,51993,ARS
2021-07-27,781.95,781.95,760.0,772.9,31090,ARS
2021-07-28,778.0,780.1,765.05,780.0,48520,ARS
2021-07-29,785.0,804.0,780.0,804.0,84267,ARS
2021-07-30,806.0,810.0,786.1,788.0,72016,ARS
2021-08-02,787.95,796.0,775.0,779.1,86009,ARS
2021-08-03,772.95,785.0,755.5,781.85,98612,ARS
2021-08-04,775.95,783.5,755.05,757.0,100891,ARS
2021-08-05,781.45,796.0,779.0,790.5,136440,ARS
2021-08-06,789.0,797.0,784.0,787.0,53568,ARS
2021-08-09,785.0,807.25,782.0,802.5,133452,ARS
2021-08-10,811.05,845.0,811.05,845.0,184759,ARS
2021-08-11,860.0,900.0,855.0,891.0,283333,ARS
2021-08-12,895.0,899.0,865.05,874.5,302539,ARS
2021-08-13,850.05,866.0,845.05,860.0,144145,ARS
2021-08-17,851.05,865.0,823.05,840.0,149213,ARS
2021-08-18,822.05,834.95,809.0,810.0,176403,ARS
2021-08-19,793.95,794.2,769.0,788.0,201953,ARS
2021-08-20,785.0,808.1,785.0,804.0,168235,ARS
